rep,random_MAE,random_R2,random_n_test,scaffold_MAE,scaffold_R2,scaffold_n_test,scaffold_n_train,gap
0,2.2111012197321775,0.738507202500361,2255,2.46876523949969,0.7720762884915957,2255,22921,0.25766401976751263
1,2.2568171812629756,0.732757334573078,2255,2.4725190041563074,0.7717906542530618,2255,22921,0.21570182289333184
2,2.198111145925652,0.7633607395955337,2255,2.4795474143851726,0.7694213125715895,2255,22921,0.28143626845952063
3,2.306061217441634,0.7116783759851283,2255,2.493220849720064,0.7676878479624366,2255,22921,0.1871596322784299
4,2.307681633739831,0.7026666298627393,2255,2.4697769702451664,0.7733828404571557,2255,22921,0.16209533650533547
