id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
KITYZFRHYJGWGN-UHFFFAOYSA-N__ZLASHERPSCZFGF-UHFFFAOYSA-N,KITYZFRHYJGWGN-UHFFFAOYSA-N,ZLASHERPSCZFGF-UHFFFAOYSA-N,KITYZFRHYJGWGN-UHFFFAOYSA-N__ZLASHERPSCZFGF-UHFFFAOYSA-N,carbo-hetero,CC(C)(C)S(=O)NC(CC=O)(C1=CC=CC=C1F)C(F)F,CCCC1=NN(C(=C1)CCC=O)C2=C(C(=C(C=C2)F)F)F,CCCc1cc(CCC(O)C(=O)CC(NS(=O)C(C)(C)C)(c2ccccc2F)C(F)F)n(-c2ccc(F)c(F)c2F)n1,-12.4257,-2.1581,2.8744643360376356,0.8238586841132115,0.7163643360376355
RRHVOHDIDXBDCY-UHFFFAOYSA-N__CHCBKKUVHGAIEA-UHFFFAOYSA-N,RRHVOHDIDXBDCY-UHFFFAOYSA-N,CHCBKKUVHGAIEA-UHFFFAOYSA-N,CHCBKKUVHGAIEA-UHFFFAOYSA-N__RRHVOHDIDXBDCY-UHFFFAOYSA-N,hetero-hetero,CS(=O)(=O)C1=CC=C(C=C1)CSC2=C(SC=C2)C=O,C1=C(C=C(C2=C1C(=C(C(=O)O2)C=O)Cl)F)F,CS(=O)(=O)c1ccc(CSc2ccsc2C(=O)C(O)c2c(Cl)c3cc(F)cc(F)c3oc2=O)cc1,-15.1518,4.2826,3.863075667619705,0.8237568304034458,8.145675667619706
MHNRAZNOBAUOOU-UHFFFAOYSA-N__DXCOGUFALTYNMP-UHFFFAOYSA-N,MHNRAZNOBAUOOU-UHFFFAOYSA-N,DXCOGUFALTYNMP-UHFFFAOYSA-N,DXCOGUFALTYNMP-UHFFFAOYSA-N__MHNRAZNOBAUOOU-UHFFFAOYSA-N,hetero-hetero,C1=C(N=C(C(=C1I)C(F)F)C(F)(F)F)C=O,C1=CC2=C(C(=C1)F)C(=NC(=N2)C3=C(C=CC(=C3)F)C=O)Cl,O=C(c1cc(I)c(C(F)F)c(C(F)(F)F)n1)C(O)c1ccc(F)cc1-c1nc(Cl)c2c(F)cccc2n1,-15.5579,11.5444,0.28574316219892354,0.8237400233991851,11.830143162198922
VXCUWLOYRUEHLY-UHFFFAOYSA-N__UXESJFWGTPOPSY-UHFFFAOYSA-N,VXCUWLOYRUEHLY-UHFFFAOYSA-N,UXESJFWGTPOPSY-UHFFFAOYSA-N,UXESJFWGTPOPSY-UHFFFAOYSA-N__VXCUWLOYRUEHLY-UHFFFAOYSA-N,hetero-hetero,CNC1=C(C=CC(=N1)C=O)F,C1=CC(=C(N=C1)Cl)C2=CC=C(O2)C=O,CNc1nc(C(=O)C(O)c2ccc(-c3cccnc3Cl)o2)ccc1F,-10.8959,2.0078,2.132845915853977,0.823689782624944,4.140645915853977
NHZVFRKGFQYFIW-UHFFFAOYSA-N__FCLJGBRQTJISPR-UHFFFAOYSA-N,NHZVFRKGFQYFIW-UHFFFAOYSA-N,FCLJGBRQTJISPR-UHFFFAOYSA-N,FCLJGBRQTJISPR-UHFFFAOYSA-N__NHZVFRKGFQYFIW-UHFFFAOYSA-N,hetero-hetero,C1=CC=C2C(=C1)C3=C(C4=C(C5=CC=CC=C5N4)C(=C3N2)C(=O)C(=O)O)C=O,C1=CC=C(C(=C1)C=O)OC2=CC=[N+](C=C2)[O-],O=C(O)C(=O)c1c2[nH]c3ccccc3c2c(C(=O)C(O)c2ccccc2Oc2cc[n+]([O-])cc2)c2[nH]c3ccccc3c12,-8.5847,-1.3669,8.141010308265686,0.8235887393208757,6.774110308265686
KYZRGPFKBWFORB-UHFFFAOYSA-N__RZIUTQMBXRUPMR-UHFFFAOYSA-N,KYZRGPFKBWFORB-UHFFFAOYSA-N,RZIUTQMBXRUPMR-UHFFFAOYSA-N,KYZRGPFKBWFORB-UHFFFAOYSA-N__RZIUTQMBXRUPMR-UHFFFAOYSA-N,carbo-hetero,COCC(=O)C1=CC=C(C=C1)C2=CC(=C(C(=C2OC)C=O)OS(=O)(=O)C(F)(F)F)OC,CC1=C(C=CC=C1C2=CC=CC=N2)C=O,COCC(=O)c1ccc(-c2cc(OC)c(OS(=O)(=O)C(F)(F)F)c(C(=O)C(O)c3cccc(-c4ccccn4)c3C)c2OC)cc1,-11.15,16.9322,2.622746489942074,0.8234266727138941,19.554946489942076
AZHHXYXFCNKJPX-BQYQJAHWSA-N__MOOHEONAFQJBAM-UHFFFAOYSA-N,AZHHXYXFCNKJPX-BQYQJAHWSA-N,MOOHEONAFQJBAM-UHFFFAOYSA-N,AZHHXYXFCNKJPX-BQYQJAHWSA-N__MOOHEONAFQJBAM-UHFFFAOYSA-N,carbo-carbo,CCOC(=O)/C=C/C(=O)OC1=CC=CC=C1C=O,CCC(CC)N(CCO)C1=C(C=C(C=C1F)C=O)F,CCOC(=O)C=CC(=O)Oc1ccccc1C(=O)C(O)c1cc(F)c(N(CCO)C(CC)CC)c(F)c1,-8.515,8.9141,2.311397190392017,0.8234251791859379,11.225497190392016
HOGCDUINWNJWEP-UHFFFAOYSA-N__UKRWYBCBNTWQQY-UHFFFAOYSA-N,HOGCDUINWNJWEP-UHFFFAOYSA-N,UKRWYBCBNTWQQY-UHFFFAOYSA-N,HOGCDUINWNJWEP-UHFFFAOYSA-N__UKRWYBCBNTWQQY-UHFFFAOYSA-N,hetero-hetero,C1=CC(=C(C=C1CN2C=NC=C2C=O)OC(F)(F)F)C#N,CC(CN(C)C1=CC=C(C=C1)C(F)(F)F)N2C=CC(=C2C=O)C(=O)O,CC(CN(C)c1ccc(C(F)(F)F)cc1)n1ccc(C(=O)O)c1C(O)C(=O)c1cncn1Cc1ccc(C#N)c(OC(F)(F)F)c1,-6.6606,3.1409,5.421161490678787,0.8232907978908087,8.562061490678786
GUHYNVANFDIGTO-XPYUAMARSA-N__FQXYIISLLAMHMP-UHFFFAOYSA-N,GUHYNVANFDIGTO-XPYUAMARSA-N,FQXYIISLLAMHMP-UHFFFAOYSA-N,FQXYIISLLAMHMP-UHFFFAOYSA-N__GUHYNVANFDIGTO-XPYUAMARSA-N,carbo-hetero,CN1C2=C(C=C(C=C2)Cl)[C@@]3(C1=O)[C@H]([C@@H]([C@H](N3)C(F)(F)F)C4=CC=CC=C4)C=O,C1=C(C(=C(NC1=O)F)C(F)F)C=O,CN1C(=O)C2(NC(C(F)(F)F)C(c3ccccc3)C2C(=O)C(O)c2cc(=O)[nH]c(F)c2C(F)F)c2cc(Cl)ccc21,-14.777,6.0552,-0.6585129256360233,0.8232822617642797,5.396687074363977
FIIVRVMRSJVRGW-UHFFFAOYSA-N__BXSAHPXJVNCOFQ-UHFFFAOYSA-N,FIIVRVMRSJVRGW-UHFFFAOYSA-N,BXSAHPXJVNCOFQ-UHFFFAOYSA-N,BXSAHPXJVNCOFQ-UHFFFAOYSA-N__FIIVRVMRSJVRGW-UHFFFAOYSA-N,carbo-hetero,C1=C(C=C(C(=C1C=O)OCC(=O)O)F)Cl,C1=CC(=C(C=C1F)[N+](=O)[O-])NC2=C(C=NN2)C=O,O=C(O)COc1c(F)cc(Cl)cc1C(=O)C(O)c1cn[nH]c1Nc1ccc(F)cc1[N+](=O)[O-],-7.6304,1.7593,7.073079454898834,0.8231195457209053,8.832379454898835
