index,SMILES,PubChem_CID,xtb_optimized,error,xyz_file,MW,ExactMW,LogP,MolMR,TPSA,HBD,HBA,RotBonds,ArRings,ArHetRings,AlRings,Rings,Heteroatoms,FractionCSP3,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,LabuteASA,NumStereocenters,n_CHO,gasteiger_CHO_C,gasteiger_CHO_O,gasteiger_maxpos,gasteiger_minneg,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,xtb_alpha0,xtb_C6,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,wfn_HOMO,wfn_LUMO,wfn_gap,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_rho_CO,qtaim_lap_CO,qtaim_ell_CO
172679,CC(C)(C=O)C(/C=C\C1=NOCCC1)O,134839054,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000000_172679.xyz,211.261,211.120843,1.295,57.6128,58.89,1,4,4,0,0,1,1,4,0.636364,281.557621,9.141645,5.075003,11.912254,5.071152,89.6119,1,1,0.128004,-0.302676,0.210957,-0.395585,-47.267550321173,-10.3331,-7.3539,2.9792,7.8104,-0.1414,-3.8345,3.9759,1.849064,3.978,0.218667,-0.338277,0.054969,0.000898,0.027933,0.054071,1.904511,144.8097,9278.34,39.6947,58.1456,9.179,2.8528,6.2209,406.7778,17.3699,-10.33306,-7.353942,2.979118,0.119657,-0.319639,0.090109,0.020903,0.09001,0.400231,0.000306,0.130676
25804,CC1(CC=C[C@@]2([C@@H]1C=O)COC(=O)[C@]34[C@H]2CC[C@H]([C@H]3OC(=O)/C=C/C5=CSC=C5)C(=C)C4=O)C,172460702,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000001_25804.xyz,480.582,480.16066,4.169,126.511,86.74,0,7,4,1,1,4,5,7,0.481481,1127.979062,20.137972,12.572412,22.965883,7.870106,202.24648,6,1,0.12413,-0.303028,0.33061,-0.463853,-99.712392345914,-10.6701,-8.0737,2.5964,7.429,1.2576,-4.3433,3.0857,3.056722,6.934,0.224955,-0.324677,0.017589,-0.00043,0.00858,0.018019,1.919145,326.0873,45256.74,67.8014,65.0024,8.9642,3.7449,12.6507,662.5884,20.7767,-10.670129,-8.073729,2.5964,0.107418,-0.306432,0.031075,0.015119,0.064152,0.40395,0.003316,0.141332
110121,CC1=C[C@@H](C(C=C1)(N2CC(=C)CC2C3=NC4=C(N3)C=C(C(=C4)Cl)C(F)(F)F)N5C=CC=N5)C=O,145679111,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000002_110121.xyz,487.913,487.138673,5.4188,121.9617,66.81,1,4,4,3,2,2,5,10,0.291667,1340.570033,18.937063,11.038499,22.613776,7.954397,197.95615,3,1,0.130528,-0.302564,0.417421,-0.340618,-99.530815278974,-10.4264,-7.6309,2.7955,7.4759,0.8766,-4.17625,3.29965,2.642866,11.853,0.214339,-0.307797,0.023315,-0.00305,0.010132,0.026365,1.937842,311.6106,40579.17,73.4661,59.0413,6.5157,1.9676,10.2377,659.8295,20.9969,-10.426386,-7.63089,2.795496,-0.079112,-0.23299,-0.03908,-0.195431,0.119114,0.405372,0.018541,0.146923
243447,C1C2=C(C(=NN2CC(C=O)O)C(F)F)C34C1(C3)C4,162616623,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000003_243447.xyz,254.236,254.086684,0.9682,56.3038,55.12,1,3,4,1,1,3,4,6,0.666667,560.668796,9.566296,6.045355,10.606774,2.817574,101.592449,1,1,0.149886,-0.300397,0.281966,-0.383678,-55.159267659774,-10.1224,-7.9453,2.1771,7.9851,-0.0356,-3.97475,4.01035,1.969733,2.891,0.2052,-0.306566,0.07701,0.006447,0.041728,0.070563,1.94375,147.2626,9866.53,31.4285,44.404,9.5073,2.1793,6.2574,441.4968,17.6017,-10.122401,-7.945326,2.177075,0.076842,-0.296906,0.124362,0.022766,0.089941,0.405136,0.007985,0.141821
262966,C1C(=C(C(=N)N1/N=C/C=O)C2=NC3=CC=CC=C3S2)O,135504823,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000004_262966.xyz,286.316,286.052447,2.04297,78.1575,89.64,2,6,3,2,1,1,3,7,0.076923,729.571858,11.093056,6.643538,12.491605,4.857122,117.733696,0,1,0.16236,-0.296777,0.292707,-0.509449,-55.963101186706,-10.1897,-8.2436,1.9461,7.556,1.4009,-4.47845,3.07755,3.25852,8.467,0.203497,-0.33167,0.022213,0.007407,0.01481,0.014806,1.848354,192.7044,14826.6,60.8646,37.5804,13.7326,1.8263,5.1612,477.799,19.6378,-10.189674,-8.243587,1.946087,0.084971,-0.326695,0.0422,0.028855,0.109002,0.398644,-0.081074,0.164951
284134,CC1=C(SC(=C1)C2=C(OC(C2=O)(C)C)C3=CC=C(C=C3)S(=O)(=O)C)C=O,18385764,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000005_284134.xyz,390.482,390.059566,3.51872,100.9803,77.51,0,6,4,2,1,1,3,7,0.263158,1038.098678,16.454833,10.597329,18.538387,6.174289,155.779893,0,1,0.159787,-0.29698,0.210455,-0.478251,-76.655155262347,-10.6312,-8.6825,1.9487,7.7718,1.8947,-4.83325,2.93855,3.974801,5.082,0.202709,-0.357621,0.013624,0.002892,0.008258,0.010732,1.799862,264.1474,28410.65,63.6273,46.5739,12.228,2.7528,7.4466,609.2272,20.5496,-10.631151,-8.682504,1.948647,0.110839,-0.347502,0.039522,0.030323,0.092146,0.396294,-0.130937,0.177511
290593,CC1=C2CC(OC2=C(C(=C1N(C)C)C(C)C)CCC=O)(C)C,19781089,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000006_290593.xyz,303.446,303.219829,4.02942,92.391,29.54,0,3,5,1,0,1,2,3,0.631579,585.833359,15.039731,8.174269,16.853605,5.940943,134.20472,0,1,0.119824,-0.30339,0.126875,-0.486917,-66.552457887072,-9.0991,-6.9244,2.1747,6.756,-0.7492,-3.0034,3.7526,1.201888,5.426,0.215789,-0.331101,0.06576,0.001028,0.033394,0.064732,1.916395,229.5708,22848.55,54.156,44.2182,10.182,2.2849,6.7266,547.05,19.0386,-9.099106,-6.924397,2.174709,0.094158,-0.317983,0.108426,0.011998,0.067902,0.402486,0.00937,0.148021
45560,CC1(C2=C(C=C(C(=C2C(F)(F)F)N3CN=CC=C3)O)SN1O)C=O,57045792,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000007_45560.xyz,359.329,359.055147,2.899,80.9853,76.37,2,7,2,1,0,2,3,10,0.285714,765.857166,13.096813,7.51511,16.805106,5.501416,138.523786,1,1,0.147443,-0.30078,0.418446,-0.505706,-74.435652284847,-9.6537,-7.7166,1.9371,7.0627,0.8355,-3.9491,3.1136,2.504399,6.281,0.23004,-0.288583,0.024283,-0.005146,0.009568,0.029429,1.958246,209.6652,18570.44,43.1859,62.8634,6.3664,2.8075,9.6031,481.127,19.9009,-9.653668,-7.71658,1.937088,0.045286,-0.258942,0.033162,-0.004319,0.044229,0.409924,0.02401,0.139148
77553,CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CCC(=C(C(F)F)NNO)C=C2)C)C=O,91365932,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000008_77553.xyz,399.419,399.106434,2.24064,94.5529,107.53,4,6,7,1,0,1,2,10,0.235294,937.742062,15.401191,9.319684,20.748285,8.420379,154.99249,0,1,0.150127,-0.297874,0.279084,-0.297874,-83.717510642924,-10.0054,-8.2765,1.7289,7.401,1.1325,-4.26675,3.13425,2.904228,7.057,0.205053,-0.338141,0.032253,-0.001122,0.015565,0.033375,1.859724,253.8047,26944.32,50.8711,55.9996,7.8454,1.9365,7.2241,502.8655,22.032,-10.005443,-8.276476,1.728967,0.104877,-0.333047,0.060786,0.0136,0.03802,0.398367,-0.054693,0.160893
99190,CC(C)(C)C1=NC(=C2C(=C1)C=NN(C2=O)C3(C=C(C=CN3)Cl)C=O)F,141483485,True,,/scratch-local/schen3.23697411/desc_23697353_6/xyz/000009_99190.xyz,362.792,362.094582,2.3194,92.7057,76.88,1,5,2,2,2,1,3,8,0.294118,990.531016,14.634097,7.941116,17.288459,5.769349,147.556529,1,1,0.171663,-0.298134,0.281674,-0.357984,-73.662903362428,-10.0601,-8.524,1.5361,7.3821,1.2846,-4.33335,3.04875,3.07961,7.568,0.217962,-0.372242,-0.004172,-0.002347,-0.00326,-0.001825,1.815764,232.6002,22738.16,82.0572,57.2109,6.3545,3.1777,10.7702,555.5695,19.7807,-10.060125,-8.524021,1.536104,0.070125,-0.365976,-0.006526,0.007509,0.070693,0.403684,-0.223598,0.127839
