w_gnn,mae,config
0.0,2.5474498889235275,ensemble_only
0.05,2.516275306266028,blend
0.1,2.4851007236085296,blend
0.15,2.4539261409510305,blend
0.2,2.4227515582935317,blend
0.25,2.3915769756360326,blend
0.3,2.3794113428833055,blend
0.35,2.3719629874012202,blend
0.4,2.373871030406445,blend
0.45,2.3775729849036624,blend
0.5,2.382781257041403,blend
0.55,2.3926871186132432,blend
0.6,2.4095670419636113,blend
0.65,2.4300674118832752,blend
0.7,2.4531199838987257,blend
0.75,2.4761725559141743,blend
0.8,2.499225127929624,blend
0.85,2.5222776999450733,blend
0.9,2.545489498343562,blend
0.95,2.5727742571705443,blend
1.0,2.6165595054626465,gnn_only
