index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
23561,CC(C)(C)OC(=O)N1CC(C1)(C=O)C2CC2,166432670,-9.34,-9.41,-0.59
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486,-19.64,-20.33,9.65
23676,CCCCCC(C(CC=O)SCC(C(=O)[O-])[NH3+])O,90657989,-17.4836,-16.9032,-7.3311
23779,C=CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OCC(=O)O)/C2=CSC(=N2)N)C(=O)O,138857431,-15.0551,-14.9632,-7.2986
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193,-4.71,-3.81,2.49
25789,CC(C)CC(=O)C1=C(C(=C(C(=C1O)C=O)O)C[C@@H]2CC[C@@]([C@H]3[C@]2(CC[C@H](C3)C(=C)C)C)(C)O)O,172453541,17.9802,18.9858,23.8631
25804,CC1(CC=C[C@@]2([C@@H]1C=O)COC(=O)[C@]34[C@H]2CC[C@H]([C@H]3OC(=O)/C=C/C5=CSC=C5)C(=C)C4=O)C,172460702,-2.6433,-2.5815,6.6489
26521,COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],72942909,-15.74,-15.86,3.68
27953,C1=CC(=CC=C1C=O)N=O,11768628,-10.72,-10.68,2.3
28976,C(=C=C=O)C=O,14795057,-18.0057,-18.0375,-8.5396
29876,C1=C2C(=C(O1)C=O)O2,20340182,-10.5,-10.11,1.35
29960,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC(=O)[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O[C@H]3[C@H](C=C4)O,20627175,-12.1602,-12.295,-5.1242
31151,CC(C(C=O)(NC)NC)NC,53751853,-6.7478,-6.7009,-1.8739
31486,C(C=O)N(C(=O)CN)C(=O)CS,54287488,-9.8079,-10.8934,-12.1816
31509,C1=CC(=C(C=C1S)C=O)[N+](=O)[O-],54341187,-15.24,-15.13,-3.36
31662,C1=CC(NC=C1)(C=O)N,55285225,-13.0597,-12.7954,-1.1554
31693,C1CC2=CC3C=C4C=CC(=CC5=CC=C(N5)C(C6=CC=C(C1C2=N3)N6)C=O)N4,56627729,17.9235,17.6611,25.2554
32445,C(=NN(C(=N)N)C(=N)N)C=O,85999199,-33.9058,-34.4179,-20.8472
32575,C1=NC2=C(N1CC=O)NC(=NC2=S)N,87112815,-14.2336,-13.8283,-5.7559
33059,CNC(=O)/C=C/C1=CC=C(C=C1)C=O,88538962,-8.92,-8.64,2.92
33348,C1CC(=CC=C1)CC2(COCCO2)C=O,91264516,-14.6893,-14.5575,0.4339
33622,CCOC(=O)/C=C/C1=CC=C(N1C)C=O,122163598,-7.12,-5.99,2.85
33629,C#CC1=CC2=C(C=C1)N3C=NC(=C3CN=C2C4=CC=CC=N4)C=O,122574390,-13.3859,-11.9936,3.8678
33758,C(=O)C1OS(=O)O1,129637022,-23.9838,-24.1445,0.742
33788,C(=O)[C@@]([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,129642561,-1.6693,-1.8523,3.8218
33798,C([C@@]1([C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)O)O)O)O)C=O)O,129645034,-10.7094,-10.3178,1.8609
33973,C[C@@H]([C@H]([C@@]1([C@@](OS(=O)(=O)O1)(C=O)O)O)O)O,129696740,-28.2401,-28.2846,10.1984
34106,C1=CN=CC(N1)C=O,129777632,-9.0159,-8.7555,0.2201
34548,C[C+](C=O)C(=C)[O-],137193053,-40.082,-39.6044,-53.4489
34632,COC1=CC=C(C=C1)C(=NO)C=O,139928680,-15.84,-15.54,1.16
35723,C1CN(CCC1C(=O)N2CC3=CC=CC=C3C[C@@H]2CO)C4=CC=C(C=C4)C=O,177662836,-2.47,-0.99,5.61
35762,C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153,-6.88,-5.6,2.21
36337,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(F)(F)F,39199906,-10.46,-10.38,-1.2
37599,C1=CC(=CC(=C1)C=O)C=C(F)F,11593499,-11.25,-10.2,0.7
37949,CC(C)(COC(=O)C=C)C=O,13651710,-7.37,-6.43,6.36
38074,CC(C)C1=NN=C(C(=C1C=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,14461248,-11.85,-11.55,-7.15
38142,CC1(CC1(F)F)C=O,14695228,-5.21,-5.18,7.53
38887,C1=C(OC(=C1)F)C=O,18413346,-11.47,-11.09,1.85
39349,CSC1=CC=CC(=C1C=O)F,19007532,-12.03,-11.84,2.88
40340,CC1=C(C(=C(C=C1C=O)F)SC)C,20628688,-6.97,-6.82,2.73
42153,C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333,-12.15,-13.97,0.12
42376,C1=CC=C(C(=C1)C2=CC(=C(C=C2)C=O)F)F,23005044,-8.23,-8.08,3.54
42414,CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258,-4.11,-4.16,6.17
43168,C1=CC(=C(C=C1C(=O)CC=O)Cl)F,43114830,-14.82,-14.1,-5.06
43680,C1=CC(=C(C=C1OC(F)(F)F)OC(F)(F)F)C=O,53420118,-16.45,-15.9,1.19
44261,C1=CC(=C(C=C1Cl)OCF)C=O,53956927,-8.32,-8.1,0.88
44810,C1=NC=NC1(C[C@@H](C=O)N)F,54341648,-24.6438,-24.6559,-11.1969
45560,CC1(C2=C(C=C(C(=C2C(F)(F)F)N3CN=CC=C3)O)SN1O)C=O,57045792,-0.2102,-0.1138,8.2205
45617,C(C1=NC(NC(N1CC(F)(F)F)(N)N(CC(F)(F)F)COCO)C=O)O,57083388,-9.9908,-10.0177,3.2423
46082,C1=CC(=NC=C1C=O)CF,57367266,-11.56,-11.05,-0.07
49224,CC1=C(NC2=C1C(=O)N(CCC2)CCN(C)C)/C=C\3/C4=CC(=CC(=C4NC3=O)CC=O)F,59250045,-9.4379,-9.6032,-12.4786
