reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.0263859085520455,4.060756754609446
aliph-carbo,2.6239551240799868,3.72411310198107
aliph-hetero,2.6633619268336663,3.536737538802161
carbo-carbo,2.5019777043097666,4.391255517808254
carbo-hetero,2.326594698087912,4.606755543928752
hetero-hetero,2.2459662672032588,4.934544761007809
