error,E_acyl_sp_gfn2geom_Eh,E_acyl_opt_dftgeom_Eh,id,sample_group,smiles,bde_gxtb_kcal,bde_alfabet_kcal,E_parent_sp_gfn2geom_Eh,E_h_Eh
orca_opt_parent_failed,-1978.916256204602,-1978.947131096455,35117,sulfonyl,CC1=C(C=C(C=C1)F)S(=O)(=O)NC2=C(C=CNC2=O)N([C@@H](CCCN=C(N)N)C=O)C(=O)C,50.357,,-1979.574594307992,-0.497326434673
orca_opt_parent_failed,-1631.913252593285,-1631.948617185483,216242,n_oxide,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)NC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,72.268,,-1632.582594041874,-0.497326434673
