E_acyl_sp_gfn2geom_Eh,E_acyl_opt_dftgeom_Eh,E_parent_opt_dftgeom_Eh,bde_dft_sp_gfn2geom_kcal,bde_dft_opt_dftgeom_kcal,id,sample_group,smiles,bde_gxtb_kcal,bde_alfabet_kcal,E_parent_sp_gfn2geom_Eh,E_h_Eh,Delta_SP,Delta_geom,Delta_tot,error
-2277.242741204485,-2277.259777033353,-2277.922760672285,107.73537162345752,103.95146510879893,48110,sulfonyl,CS(=O)(=O)C1=CC(=CC2=C1N(C3=C2CCC[C@@H]3CC(=O)O)[C@@H](C=O)C4=CC=C(C=C4)Cl)F,81.72,,-2277.911754882279,-0.497326434673,-26.015371623457526,3.7839065146585966,-22.23146510879893,
-1797.669585605117,,,,,202042,phosphorus,C1=CC=C(C=C1)N2C3=CC=CC=C3C(=C2N=P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)C=O,86.323,,-1798.345453675856,-0.497326434673,,,,orca_opt_acyl_failed
