error,E_acyl_sp_gfn2geom_Eh,id,sample_group,smiles,bde_gxtb_kcal,bde_alfabet_kcal,E_parent_sp_gfn2geom_Eh,E_h_Eh,E_acyl_opt_dftgeom_Eh,E_parent_opt_dftgeom_Eh,bde_dft_sp_gfn2geom_kcal,bde_dft_opt_dftgeom_kcal,Delta_SP,Delta_geom,Delta_tot
orca_opt_acyl_failed,-1601.907345275668,12837,imine,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C=O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)C,65.412,,-1602.559085606832,-0.497326434673,,,,,,,
,-1914.884745163627,81062,phosphorus,C[C@@](COCC1=CC=C(C=C1)F)(C=O)NP(=O)(OC2=CC=CC=C2)Cl,80.255,,-1915.534067619653,-0.497326434673,-1914.900578080204,-1915.550821137526,95.37894340927802,95.95662944443872,-15.123943409278027,-0.5776860351606956,-15.701629444438723
