error,E_acyl_sp_gfn2geom_Eh,id,sample_group,smiles,bde_gxtb_kcal,bde_alfabet_kcal,E_parent_sp_gfn2geom_Eh,E_h_Eh,E_acyl_opt_dftgeom_Eh,E_parent_opt_dftgeom_Eh,bde_dft_sp_gfn2geom_kcal,bde_dft_opt_dftgeom_kcal,Delta_SP,Delta_geom,Delta_tot
orca_opt_acyl_failed,-1990.503067877563,56372,imine,CN1CN=C(C2=C1C=CC(=C2)C3=CC=C(O3)C=O)NC4=CC(=C(C=C4)OCC5=CC=CC=C5F)Cl,74.943,,-1991.175509803174,-0.497326434673,,,,,,,
,-1951.795695242684,121395,phosphorus,CCOP(=O)(C(C[C@@H](CC1=CC=CC=C1)C=O)P(=O)(OCC)OCC)OCC,72.97,,-1952.447831268065,-0.497326434673,-1951.816017817063,-1952.463665753309,97.14448483550963,94.32816638295668,-24.17448483550963,2.8163184525529488,-21.358166382956682
