bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
54.711,-2399.119430009129,-1672.881954354142,-726.150288583809,,KGFNYDWUWYJPIG-KRWDZBQOSA-N__WCVBWBBWWWOKAU-UHFFFAOYSA-N
,-2692.317403612461,,,determine_bonds_failed,RCWVORRNTMLSSH-UHFFFAOYSA-N__LEUCGQXOGNUVMK-UHFFFAOYSA-N
55.438,-2135.2244226113844,-1220.669801232848,-914.46627481182,,ZUHDVKPUOYOTAC-IRXDYDNUSA-N__LVVBQJMBCQKLLF-UHFFFAOYSA-N
66.822,-2135.236282112067,-913.265206968789,-1221.864587155726,,LVVBQJMBCQKLLF-UHFFFAOYSA-N__ZUHDVKPUOYOTAC-IRXDYDNUSA-N
62.764,-6528.470404917721,-3550.541930530745,-2977.82845299347,,OTFBAPKDRJPEOC-PTOXDTDZSA-N__OWTYSJVXJJXCQQ-UHFFFAOYSA-N
,-2435.839254857481,,,determine_bonds_failed,GTDLAOQXSZVPQC-UHFFFAOYSA-N__XOGIFCAGQBTOQE-OLZOCXBDSA-N
56.966,-2867.7768607047988,-1836.512709610085,-1031.173370614744,,JAFGGPZDJFMFSZ-PGRDOPGGSA-N__USCSKAAEPJVLMA-UHFFFAOYSA-N
49.09,-2259.123514975396,-1456.730211779974,-802.315072631106,,FKJHFXORYHDPFN-WXVAWEFUSA-N__XZLPWSFARGEQQO-MVIOUDGNSA-N
40.223,-2259.1089158168547,-801.117012941879,-1457.927803217917,,XZLPWSFARGEQQO-MVIOUDGNSA-N__FKJHFXORYHDPFN-WXVAWEFUSA-N
54.751,-2867.780026407147,-1029.975872209625,-1837.716902560377,,USCSKAAEPJVLMA-UHFFFAOYSA-N__JAFGGPZDJFMFSZ-PGRDOPGGSA-N
60.7,-5832.662778297497,-1891.373865676266,-3941.192181666127,,LPJPFAWDDZCDHJ-AVRDEDQJSA-N__CYQNIHXWDNSVSN-UHFFFAOYSA-N
46.223,-4328.459344217024,-1155.724655236553,-3172.661027831062,,PQQWMZUICPTURB-TYJDENFWSA-N__JDMRZTVPHYCKFK-UHFFFAOYSA-N
,-4586.345365780264,,,determine_bonds_failed,XXEKNCLBDOYVEX-UHFFFAOYSA-N__WGWOEGRMFKFDOJ-UHFFFAOYSA-N
,-4586.34843337465,,,determine_bonds_failed,WGWOEGRMFKFDOJ-UHFFFAOYSA-N__XXEKNCLBDOYVEX-UHFFFAOYSA-N
70.187,-6528.477872521202,-2976.623946581527,-3551.742075379402,,OWTYSJVXJJXCQQ-UHFFFAOYSA-N__OTFBAPKDRJPEOC-PTOXDTDZSA-N
43.477,-4328.452155378152,-3171.457708893181,-1156.925161602261,,JDMRZTVPHYCKFK-UHFFFAOYSA-N__PQQWMZUICPTURB-TYJDENFWSA-N
66.279,-1814.5050596992012,-810.587917120691,-1003.811519848281,,IIQIBZLMJBKJRV-BAILOTOSSA-N__WMILFBJQFJMXIY-ZBEGNZNMSA-N
47.673,-2702.87928491853,-1459.353246228091,-1243.450067034028,,ROHBGUMNYUENBT-UHFFFAOYSA-N__UBCCCNYBZJEFPV-UHFFFAOYSA-N
55.413,-2702.8921525737537,-1242.250620197711,-1460.553225598062,,UBCCCNYBZJEFPV-UHFFFAOYSA-N__ROHBGUMNYUENBT-UHFFFAOYSA-N
58.126,-1462.8435794805998,-697.532846064918,-765.21810449524,,ADIPDRPBEZELRZ-ICPASMAVSA-N__CGQACAQYADAOQY-UHFFFAOYSA-N
52.533,-2809.841364737226,-1435.420833718727,-1374.336814588965,,ZHJKVXOTASUSMY-UHFFFAOYSA-N__QZDHCLGWIMBBFC-UHFFFAOYSA-N
50.244,-2400.0571395009174,-1728.924141044186,-671.052929788984,,QLOAJVFWUFKFQJ-RVPGIHGFSA-N__BRERDPQJHOLOAD-UHFFFAOYSA-N
34.47,-3426.479471201605,-1419.499576654025,-2006.924962482547,,MKIPRQYZGBHIBH-UHFFFAOYSA-N__OVJQTDWQGHORGZ-RFUYNDQBSA-N
63.648,-1462.84832714716,-582.99432646171,-879.752571128362,,CGQACAQYADAOQY-UHFFFAOYSA-N__ADIPDRPBEZELRZ-ICPASMAVSA-N
53.305,-2400.0588699596383,-669.850584228828,-1730.12333903172,,BRERDPQJHOLOAD-UHFFFAOYSA-N__QLOAJVFWUFKFQJ-RVPGIHGFSA-N
68.294,-2262.6825711852584,-1150.11356481802,-1112.460172896974,,RYCQESLUKNIABI-UHFFFAOYSA-N__UZLOHZCVZNELCR-VIFPVBQESA-N
34.708,-4853.225281894464,-3283.146716132513,-1570.023254734804,,UZJHQGSMSHTGRD-UHFFFAOYSA-N__YBYRGBYECIGPCM-UHFFFAOYSA-N
57.057,-4853.224094668979,-1568.789652529973,-3284.343515262048,,YBYRGBYECIGPCM-UHFFFAOYSA-N__UZJHQGSMSHTGRD-UHFFFAOYSA-N
58.774,-1737.286138831752,-1043.851410731987,-693.341066357582,,HEUAKFKRQHLLCM-UHFFFAOYSA-N__UYFGVJKWFSOUIJ-UHFFFAOYSA-N
63.38,-4536.398340776455,-538.069189464223,-3998.228149018732,,IXMIAPGTLICYSU-UHFFFAOYSA-N__YPMROFPZIPQVBE-UHFFFAOYSA-N
71.769,-4536.404696581303,-3997.023200262513,-539.267125257634,,YPMROFPZIPQVBE-UHFFFAOYSA-N__IXMIAPGTLICYSU-UHFFFAOYSA-N
60.349,-2211.3110280598407,-1520.111834428797,-691.103022067291,,FRJNYUCRFJHOBH-UHFFFAOYSA-N__TZGIHUVVJVQDHY-UHFFFAOYSA-N
42.07,-2543.465372990366,-1890.57979607784,-652.818533469701,,IXZJHXZDUFPRPB-UHFFFAOYSA-N__KFFVXKYZOZIFPM-BQBZGAKWSA-N
57.982,-1737.277404897394,-692.141901071961,-1045.043103990431,,UYFGVJKWFSOUIJ-UHFFFAOYSA-N__HEUAKFKRQHLLCM-UHFFFAOYSA-N
58.445,-2211.301538144859,-689.897379840674,-1521.311019951518,,TZGIHUVVJVQDHY-UHFFFAOYSA-N__FRJNYUCRFJHOBH-UHFFFAOYSA-N
63.388,-1660.610146872943,-600.218944328938,-1060.290186691576,,HMUMKXUGHMOXHF-UHFFFAOYSA-N__MIXGOAIDROFZRH-UHFFFAOYSA-N
47.645,-2543.4568063782367,-651.615043277155,-1891.765835638483,,KFFVXKYZOZIFPM-BQBZGAKWSA-N__IXZJHXZDUFPRPB-UHFFFAOYSA-N
59.977,-2075.3744741984924,-1262.231966632203,-813.046928459387,,BVWMROSCGYTJLB-CYBMUJFWSA-N__MYUGFQQMAMOFAX-UHFFFAOYSA-N
47.916,-3068.826527428193,-1610.745620124919,-1458.004547837918,,OBURTLFPOGBPOS-CJNGLKHVSA-N__HGEDDONNROPYHN-ZVZYQTTQSA-N
57.045,-2746.156950925135,-1650.576102743468,-1095.489940736871,,NXXFNLZWXGEEAG-SGWGQVFISA-N__UDUIBSCXEKKWSD-UHFFFAOYSA-N
3.309,-2727.015993424782,-1154.504840455144,-1572.50587971406,,YCSIGVSHBWAUNH-JPXWGHGXSA-N__LTUSQXXSNQKQCI-FKBYEOEOSA-N
66.119,-1642.3820983490962,-825.888992928165,-816.387737909914,,KDOARGSMGYPUES-UHFFFAOYSA-N__KHROSQKQKOPKSY-UHFFFAOYSA-N
