bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
80.0,-1273.978800344853,-580.751147182226,-693.100164494086,,HYKCINQHISTPBW-UHFFFAOYSA-N__DVOGSCUAHMIHRH-UHFFFAOYSA-N
64.078,-1244.987757028445,-690.741807864261,-554.143833863432,,SEPIVKHCMVANBT-UHFFFAOYSA-N__RVCMVAQMGJKIDG-UHFFFAOYSA-N
67.788,-1659.354502397317,-747.279180298035,-911.967295272657,,RLIPZGIXBDBAHL-ASKATJPDSA-N__BJNGWAVTDXNMJJ-CQSZACIVSA-N
80.989,-1273.973730518834,-691.897923933002,-581.946743151123,,DVOGSCUAHMIHRH-UHFFFAOYSA-N__HYKCINQHISTPBW-UHFFFAOYSA-N
71.92,-1245.005154296436,-552.946720844986,-691.943821487421,,RVCMVAQMGJKIDG-UHFFFAOYSA-N__SEPIVKHCMVANBT-UHFFFAOYSA-N
54.336,-1880.84401870933,-1338.11015166745,-542.647276586258,,ITFOOCGHXCZPIT-HOTGVXAUSA-N__UEHMUHUCIVYCQX-UHFFFAOYSA-N
24.999,-2501.20267486862,-1355.683064384605,-1145.47977231086,,IBYNORVPGFGKFS-UHFFFAOYSA-N__HNYKSEQGRXPQMT-UHFFFAOYSA-N
55.939,-2501.190746113928,-1144.280468617743,-1356.821133777733,,HNYKSEQGRXPQMT-UHFFFAOYSA-N__IBYNORVPGFGKFS-UHFFFAOYSA-N
64.609,-1666.7257854836812,-826.159069264976,-840.463754512387,,GKYHLPJDZRATQT-CTRRNMDHSA-N__KQEGTQVLYPCRMI-UHFFFAOYSA-N
62.951,-1666.7358742652732,-839.267561515251,-827.367994128738,,KQEGTQVLYPCRMI-UHFFFAOYSA-N__GKYHLPJDZRATQT-CTRRNMDHSA-N
49.592,-6635.122067266987,-5844.160347237234,-790.882689885032,,SNLBNQCPMBDBKT-UHFFFAOYSA-N__MZVQXBPCVMAQNO-UHFFFAOYSA-N
51.257,-6635.126332515334,-789.681176434554,-5845.363472706701,,MZVQXBPCVMAQNO-UHFFFAOYSA-N__SNLBNQCPMBDBKT-UHFFFAOYSA-N
71.499,-1400.053087028413,-575.931044018558,-824.008102216073,,GSOMXRHRADQEBE-UHFFFAOYSA-N__KQVNIGVRUGYWQN-UHFFFAOYSA-N
72.9,-1807.1122438952339,-900.318760392672,-906.677309865585,,PQRCTWFWPMRGJJ-UHFFFAOYSA-N__YBOMSGOULMJSBE-UHFFFAOYSA-N
