bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
60.526,-4562.438794219653,-942.827586057148,-3619.514754569678,,RJRAVAZFBQRGBT-UHFFFAOYSA-N__NUXVJGVTMYGZDL-UHFFFAOYSA-N
64.296,-1806.968733220618,-1148.662170225639,-658.204100437741,,IJZKLUDEIQQJNM-UHFFFAOYSA-N__KKDZERXKIVKAHB-UHFFFAOYSA-N
54.741,-1806.965982096507,-656.995903779982,-1149.882842393882,,KKDZERXKIVKAHB-UHFFFAOYSA-N__IJZKLUDEIQQJNM-UHFFFAOYSA-N
71.805,-4285.6051269179325,-839.064776927178,-3446.425921145047,,LGQYHMUTCJGHHG-UHFFFAOYSA-N__SLGXDMYROMHVNY-UHFFFAOYSA-N
56.464,-4285.607389909235,-3445.226344421498,-840.291064617168,,SLGXDMYROMHVNY-UHFFFAOYSA-N__LGQYHMUTCJGHHG-UHFFFAOYSA-N
55.02,-1747.2590752055162,-822.531902038414,-924.639492848896,,DYZAFPSXJVPEDR-UHFFFAOYSA-N__GEAQWIMTIXDMFN-LWOQYNTDSA-N
47.562,-1747.243042242547,-923.411480631767,-823.755766497255,,GEAQWIMTIXDMFN-LWOQYNTDSA-N__DYZAFPSXJVPEDR-UHFFFAOYSA-N
54.93,-1631.1805927314888,-629.139190098282,-1001.953865923008,,BHRPHOAZXJCXAV-UHFFFAOYSA-N__VQHFIZBBUFCHRZ-UHFFFAOYSA-N
46.754,-2946.29560032515,-1444.363966006026,-1501.857126309858,,CHXSSHDZNBSVRN-UHFFFAOYSA-N__LPOVEBGBQSLPNI-UHFFFAOYSA-N
76.485,-1631.1896066132708,-1000.728125576174,-630.339593944974,,VQHFIZBBUFCHRZ-UHFFFAOYSA-N__BHRPHOAZXJCXAV-UHFFFAOYSA-N
66.236,-2946.302377763729,-1500.632810833396,-1445.564013332598,,LPOVEBGBQSLPNI-UHFFFAOYSA-N__CHXSSHDZNBSVRN-UHFFFAOYSA-N
70.092,-2271.078595067957,-1364.447597758193,-906.519299281159,,ODMBEMIXWNJLLC-UHFFFAOYSA-N__ZZUHBEFANOEZJO-UHFFFAOYSA-N
55.766,-2271.075379551191,-905.313479204703,-1365.673031253817,,ZZUHBEFANOEZJO-UHFFFAOYSA-N__ODMBEMIXWNJLLC-UHFFFAOYSA-N
60.314,-2960.612957858013,-1137.360548642346,-1823.156292920788,,SKMCKEANCHNBEU-UHFFFAOYSA-N__WWFXVKMESHTWOK-UHFFFAOYSA-N
46.467,-2960.609894608584,-1821.951125608522,-1138.584719465883,,WWFXVKMESHTWOK-UHFFFAOYSA-N__SKMCKEANCHNBEU-UHFFFAOYSA-N
9.794,-2604.78168355627,-1835.813479399133,-768.952596919553,,GWHALLUSDLKUGD-UHFFFAOYSA-N__JPZGQUNRDLBZME-UHFFFAOYSA-N
34.797,-2604.78866658081,-767.737712088491,-1836.995501526935,,JPZGQUNRDLBZME-UHFFFAOYSA-N__GWHALLUSDLKUGD-UHFFFAOYSA-N
65.997,-1618.592741506444,-886.704802361901,-731.782765990356,,GQOPINYRMOOWQS-UHFFFAOYSA-N__IQHOHOTUHSVKLH-UHFFFAOYSA-N
48.309,-1618.595988909993,-730.584362768091,-887.934640636653,,IQHOHOTUHSVKLH-UHFFFAOYSA-N__GQOPINYRMOOWQS-UHFFFAOYSA-N
67.552,-1694.24891598453,-910.888028199741,-783.253236091681,,DYYJTCHOKHABHH-UHFFFAOYSA-N__RSYPFYSKJPWNMQ-VXNVDRBHSA-N
78.852,-983.7315380741429,-499.940627276513,-483.665252022632,,ZJNXEXUNRLHHKE-UHFFFAOYSA-N__QSYTVTHOJDISFU-UHFFFAOYSA-N
47.107,-1694.247785512395,-782.055361090763,-912.117355220481,,RSYPFYSKJPWNMQ-VXNVDRBHSA-N__DYYJTCHOKHABHH-UHFFFAOYSA-N
57.276,-983.728984805592,-482.469846978738,-501.167863031314,,QSYTVTHOJDISFU-UHFFFAOYSA-N__ZJNXEXUNRLHHKE-UHFFFAOYSA-N
54.66,-2100.9374751271307,-1351.785783579283,-749.064586082299,,WYXPVNQGWZQRMX-UHFFFAOYSA-N__DWNUVKSVKOGBQX-UHFFFAOYSA-N
85.008,-2100.953694875299,-747.835894789102,-1352.98233142002,,DWNUVKSVKOGBQX-UHFFFAOYSA-N__WYXPVNQGWZQRMX-UHFFFAOYSA-N
74.037,-1117.076651420324,-410.321963213037,-706.636702530009,,DMNLQSWHWCKOGP-UHFFFAOYSA-N__DPIKLOUJUJPJNA-YFKPBYRVSA-N
60.21,-1117.0684552651728,-705.416785427805,-411.555719290607,,DPIKLOUJUJPJNA-YFKPBYRVSA-N__DMNLQSWHWCKOGP-UHFFFAOYSA-N
75.867,-6688.224361933899,-5564.350236997401,-1123.753223423066,,JUZMDIWVKURVFF-UHFFFAOYSA-N__QXKIBRIPTOIAEL-UHFFFAOYSA-N
