bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
51.367,-1965.5240781161829,-1012.870037856324,-952.572181397758,,PACUPSBCMMOYBM-PBHICJAKSA-N__CAYUBOUWXZOIGG-UHFFFAOYSA-N
63.415,-4646.985911336022,-3323.879791415363,-1323.005061020798,,KNAZXCMRYYUVBP-UHFFFAOYSA-N__RUYOJGDQYFSHNU-UHFFFAOYSA-N
45.004,-4646.9730843985935,-1321.802832240983,-3325.09853321966,,RUYOJGDQYFSHNU-UHFFFAOYSA-N__KNAZXCMRYYUVBP-UHFFFAOYSA-N
57.52,-1563.48357775161,-953.842716276285,-609.549198199285,,DEPQLDXULVQFBJ-UHFFFAOYSA-N__PGXRHCLACCCFHJ-UHFFFAOYSA-N
64.993,-1563.484527338412,-608.332924765146,-955.048029977903,,PGXRHCLACCCFHJ-UHFFFAOYSA-N__DEPQLDXULVQFBJ-UHFFFAOYSA-N
40.109,-2522.80408033299,-1752.862836490725,-769.877326303424,,BRYPBTROLDBAKF-UHFFFAOYSA-N__IJIWCOGKTAMDNJ-UHFFFAOYSA-N
43.428,-2522.7958088851624,-768.64891125172,-1754.077690701101,,IJIWCOGKTAMDNJ-UHFFFAOYSA-N__BRYPBTROLDBAKF-UHFFFAOYSA-N
52.556,-2221.71126142696,-1036.973197041028,-1184.654310483035,,NPNJQVRTLWNEAT-UHFFFAOYSA-N__ZXAYCQAKBIGUJI-UHFFFAOYSA-N
66.916,-1227.595370369654,-722.741092069007,-504.747640099694,,LOPVGDXYIZNBTQ-UHFFFAOYSA-N__NKDJAHQCXWHMGY-UHFFFAOYSA-N
54.588,-1809.886419587285,-1118.069644487149,-691.729784206242,,RZXAQPPSMOVUBA-SFTDATJTSA-N__UBQIRFAQMBAOQO-UHFFFAOYSA-N
71.8,-1494.1390180862409,-598.018264736382,-896.00633235084,,JUJLFWGIOHOODU-UHFFFAOYSA-N__HCEKTYMKPPKBRK-UHFFFAOYSA-N
59.781,-1809.871544440593,-690.512567936606,-1119.263710201652,,UBQIRFAQMBAOQO-UHFFFAOYSA-N__RZXAQPPSMOVUBA-SFTDATJTSA-N
52.983,-1494.133854271171,-894.811594649979,-599.237825450896,,HCEKTYMKPPKBRK-UHFFFAOYSA-N__JUJLFWGIOHOODU-UHFFFAOYSA-N
45.06,-2221.716348043224,-1183.453485822304,-1038.19105470981,,ZXAYCQAKBIGUJI-UHFFFAOYSA-N__NPNJQVRTLWNEAT-UHFFFAOYSA-N
53.022,-1864.387692529861,-938.381883138224,-925.921313029513,,GCBJOMFUSMHECE-UHFFFAOYSA-N__QNKWHHUFHYNOBK-UHFFFAOYSA-N
38.316,-1864.386562526366,-924.724829841144,-939.600672610132,,QNKWHHUFHYNOBK-UHFFFAOYSA-N__GCBJOMFUSMHECE-UHFFFAOYSA-N
59.696,-2052.2119853191393,-1027.639833036774,-1024.477019938909,,ZDPWVKIGYYWOKQ-UHFFFAOYSA-N__IHOKHXWGZDIMRK-UHFFFAOYSA-N
46.575,-2209.106569673445,-1330.924675589204,-878.107671716177,,ZPJRKVTZZOQQPH-SNVBAGLBSA-N__ZFBCSTMKNLBSGN-UHFFFAOYSA-N
51.182,-2209.104087584844,-876.897606627803,-1332.124917366824,,ZFBCSTMKNLBSGN-UHFFFAOYSA-N__ZPJRKVTZZOQQPH-SNVBAGLBSA-N
29.67,-3587.027704069253,-2151.436810191073,-1435.543611549088,,PFKOKIDVOJUVCV-UHFFFAOYSA-N__TWEUJMVZWZIPNK-HAVNEIBRSA-N
47.047,-3587.0338865981694,-1434.321947137331,-2152.636966030371,,TWEUJMVZWZIPNK-HAVNEIBRSA-N__PFKOKIDVOJUVCV-UHFFFAOYSA-N
64.359,-1967.7959884746222,-600.180455506066,-1367.512969934593,,QJWITKFWROWSBD-UHFFFAOYSA-N__UBXSHPCWWBRHCL-SNVBAGLBSA-N
47.571,-1967.7847453554812,-1366.30952228836,-601.399413291046,,UBXSHPCWWBRHCL-SNVBAGLBSA-N__QJWITKFWROWSBD-UHFFFAOYSA-N
46.156,-3321.584028498063,-1496.124478482835,-1825.385995100527,,BCZXDYGSQMPUFP-UHFFFAOYSA-N__BICPZNXUWKFQSR-UHFFFAOYSA-N
44.97,-2574.9906408770944,-1667.617804674916,-907.301171635765,,IOTAIWLKRMKDMZ-UHFFFAOYSA-N__QYTICMOONVCBEA-UHFFFAOYSA-N
58.51,-2574.993440558993,-906.083582562623,-1668.816616295354,,QYTICMOONVCBEA-UHFFFAOYSA-N__IOTAIWLKRMKDMZ-UHFFFAOYSA-N
69.765,-1897.5389268579152,-1336.356582666366,-561.071167056864,,BPRBZDVREQXJGD-UHFFFAOYSA-N__FHEWUALKWMLFEH-UHFFFAOYSA-N
55.047,-1897.537457438297,-559.876127517279,-1337.573607457073,,FHEWUALKWMLFEH-UHFFFAOYSA-N__BPRBZDVREQXJGD-UHFFFAOYSA-N
32.438,-3321.582718182935,-1824.191509758317,-1497.339515139949,,BICPZNXUWKFQSR-UHFFFAOYSA-N__BCZXDYGSQMPUFP-UHFFFAOYSA-N
45.264,-3032.229626944096,-1459.604519574175,-1572.552973858591,,AYWWRNQZTSGBAU-UHFFFAOYSA-N__KSXCYYFVAFQKRB-BJQOMGFOSA-N
63.16,-2440.846801042181,-1303.30084071701,-1137.445308774773,,GKGSLHYWLFBKIL-UHFFFAOYSA-N__ZGMYHILPAWWKRQ-UHFFFAOYSA-N
,-1597.0395617223603,,,determine_bonds_failed,ZERQQTBRBAOQHD-UHFFFAOYSA-N__OPJLTOHWUWVCBI-UHFFFAOYSA-N
63.66,-1854.3498594489,-1158.9542598682,-695.294150345753,,UTDZWIYNKCGRBZ-UHFFFAOYSA-N__AESFSHWWTINDAD-AWEZNQCLSA-N
49.848,-2440.844352994542,-1136.249477251437,-1304.515438531174,,ZGMYHILPAWWKRQ-UHFFFAOYSA-N__GKGSLHYWLFBKIL-UHFFFAOYSA-N
43.334,-5336.605879374914,-1649.167464520134,-3687.369358492625,,WODPREAPHGKKSJ-YMBRHYMPSA-N__VEHMQGQQADRNMI-UHFFFAOYSA-N
44.999,-5336.588051254302,-3686.148572363634,-1650.367768459774,,VEHMQGQQADRNMI-UHFFFAOYSA-N__WODPREAPHGKKSJ-YMBRHYMPSA-N
43.521,-3109.112695745545,-1417.224884318231,-1691.818456212109,,SXKDLQXZJRSBSD-UHFFFAOYSA-N__TUIBFIQTSHVGHQ-UHFFFAOYSA-N
53.855,-2554.339461230292,-1880.035109996139,-674.218527211884,,KBKUPKBUZRPGJG-UHFFFAOYSA-N__NHKOENZUIRMKFC-ZDUSSCGKSA-N
47.831,-3109.0940199734496,-1690.605572003912,-1418.412223807916,,TUIBFIQTSHVGHQ-UHFFFAOYSA-N__SXKDLQXZJRSBSD-UHFFFAOYSA-N
55.7,-2136.142758250766,-1057.784292862087,-1078.26970177074,,BBWLICHNTYUQOR-UHFFFAOYSA-N__PNWIYZGVKXWQIP-UHFFFAOYSA-N
56.651,-1855.6550318288248,-1002.414502092554,-853.1502507418,,KMUFZMVRNGUZDX-UHFFFAOYSA-N__QOXSRRDWUYBYGX-UHFFFAOYSA-N
44.926,-2136.1493964925708,-1077.074004724894,-1059.003798140477,,PNWIYZGVKXWQIP-UHFFFAOYSA-N__BBWLICHNTYUQOR-UHFFFAOYSA-N
50.473,-2554.357560984411,-673.021794691689,-1881.255333233922,,NHKOENZUIRMKFC-ZDUSSCGKSA-N__KBKUPKBUZRPGJG-UHFFFAOYSA-N
22.375,-1855.6488885991869,-851.981558349327,-1003.631673132986,,QOXSRRDWUYBYGX-UHFFFAOYSA-N__KMUFZMVRNGUZDX-UHFFFAOYSA-N
60.014,-1969.559747030872,-1042.86897258214,-926.595135441218,,GNMIRQJGHVDFFI-UHFFFAOYSA-N__SBTNZHTUAHFBNY-UHFFFAOYSA-N
53.345,-1969.565904910777,-925.399444314301,-1044.081450529856,,SBTNZHTUAHFBNY-UHFFFAOYSA-N__GNMIRQJGHVDFFI-UHFFFAOYSA-N
51.341,-2460.1002325721397,-884.651871243207,-1575.366544231749,,DDBSZDPIKQGMAX-UHFFFAOYSA-N__WMCRLLCHPRNUNU-OAQYLSRUSA-N
52.627,-2654.734988401362,-1021.696693621351,-1632.954428071624,,CTAMNZYDXPJGEK-UHFFFAOYSA-N__IHFVDEPUUPQJHY-UHFFFAOYSA-N
38.139,-2460.100901400623,-1574.168769209637,-885.87135364308,,WMCRLLCHPRNUNU-OAQYLSRUSA-N__DDBSZDPIKQGMAX-UHFFFAOYSA-N
63.659,-2654.733920244159,-1631.738006289107,-1022.894467040662,,IHFVDEPUUPQJHY-UHFFFAOYSA-N__CTAMNZYDXPJGEK-UHFFFAOYSA-N
