bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
51.652,-4429.450782636764,-3271.494628335771,-1157.873842189123,,NXTLSNUDDVOGRL-UHFFFAOYSA-N__AXKSOLAZBIFJNN-UHFFFAOYSA-N
35.577,-4762.960142356065,-1129.848528811135,-3633.054918697853,,KGTXJFBBLDGNOB-UHFFFAOYSA-N__WGHPTRUWZSSFBB-UHFFFAOYSA-N
32.626,-4762.950232043866,-3631.838482640257,-1131.059756773708,,WGHPTRUWZSSFBB-UHFFFAOYSA-N__KGTXJFBBLDGNOB-UHFFFAOYSA-N
48.484,-1829.2157044741712,-570.622865684921,-1258.515575099933,,KDPOOUQFAUOHHX-UHFFFAOYSA-N__PFZMIBLJVRFVFX-UHFFFAOYSA-N
33.758,-1829.21200068539,-1257.311081564119,-571.847122575707,,PFZMIBLJVRFVFX-UHFFFAOYSA-N__KDPOOUQFAUOHHX-UHFFFAOYSA-N
51.838,-1363.6144644335689,-611.663554593842,-751.868301362475,,RKIMIISNVCLRLA-UHFFFAOYSA-N__KZKIIFLDSKCNFC-UHFFFAOYSA-N
53.073,-1363.6158814506323,-750.648087505409,-612.88321686196,,KZKIIFLDSKCNFC-UHFFFAOYSA-N__RKIMIISNVCLRLA-UHFFFAOYSA-N
17.109,-1907.372868940535,-768.753989670127,-1138.591614082713,,NOQPYNDMTATNIY-UHFFFAOYSA-N__SKMCKEANCHNBEU-UHFFFAOYSA-N
50.115,-1907.3730509165969,-1137.362310292372,-769.930877161641,,SKMCKEANCHNBEU-UHFFFAOYSA-N__NOQPYNDMTATNIY-UHFFFAOYSA-N
40.294,-2681.90597256117,-1012.063851645402,-1669.77790892143,,IEBLVCALRBEILR-UHFFFAOYSA-N__GZJRGUDIPMGCFY-UHFFFAOYSA-N
51.477,-2681.916963851814,-1668.555600217312,-1013.279329531847,,GZJRGUDIPMGCFY-UHFFFAOYSA-N__IEBLVCALRBEILR-UHFFFAOYSA-N
42.412,-2043.712110341934,-677.430311154936,-1366.214211483809,,RXIXYFPZPRQTSI-UHFFFAOYSA-N__UMEODKORJOUGEN-UHFFFAOYSA-N
34.504,-2043.7130504606537,-1365.000252308012,-678.657811822965,,UMEODKORJOUGEN-UHFFFAOYSA-N__RXIXYFPZPRQTSI-UHFFFAOYSA-N
25.677,-1968.961894229054,-942.628392614189,-1026.292582826242,,HFVHWUXTJOXMRU-UHFFFAOYSA-N__XUMMAWMKFFMZAH-UHFFFAOYSA-N
