bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
6.795,-3270.681166906316,-2241.854438898961,-1028.815899547607,,LHICNIQDUSLKGT-WRWGMCAJSA-N__KFXCHGCDULOIRE-UHFFFAOYSA-N
33.677,-2180.414011779566,-1057.213553975429,-1123.146790676886,,BLBZZOSDXFVIAW-UHFFFAOYSA-N__LTUHULTYAHVJIP-UHFFFAOYSA-N
27.521,-2180.424153780682,-1121.93700742047,-1058.443288824024,,LTUHULTYAHVJIP-UHFFFAOYSA-N__BLBZZOSDXFVIAW-UHFFFAOYSA-N
52.76,-1787.113608114883,-676.644475188489,-1110.385054156294,,YOSSAAPHPAVRGW-UHFFFAOYSA-N__KHFRSICZYOYLKB-UHFFFAOYSA-N
48.858,-1787.112035604431,-791.182408837047,-995.851766251532,,KHFRSICZYOYLKB-UHFFFAOYSA-N__YOSSAAPHPAVRGW-UHFFFAOYSA-N
42.574,-2924.951142157779,-1788.322569009095,-1136.560727257811,,FUQLCJKCXBCKJS-UHFFFAOYSA-N__PFMFBMOYUALCRR-UHFFFAOYSA-N
42.318,-2493.4251270607947,-1341.6890116744,-1151.668677577155,,FZHWDHAUDBVNCB-UHFFFAOYSA-N__XXEWZCRZUXIHKM-UHFFFAOYSA-N
45.574,-2924.973862577028,-1135.343159384019,-1789.558077123569,,PFMFBMOYUALCRR-UHFFFAOYSA-N__FUQLCJKCXBCKJS-UHFFFAOYSA-N
48.501,-2493.4328430828405,-1150.449304570481,-1342.906247041445,,XXEWZCRZUXIHKM-UHFFFAOYSA-N__FZHWDHAUDBVNCB-UHFFFAOYSA-N
63.939,-2809.545580388998,-1453.80965934746,-1355.634027059228,,HOPBJNYFIRDVPW-CPUCHLNUSA-N__UPGIPEFNLUTQGC-LAUBAEHRSA-N
51.24,-2809.5358199026214,-1354.437645194413,-1455.016518135086,,UPGIPEFNLUTQGC-LAUBAEHRSA-N__HOPBJNYFIRDVPW-CPUCHLNUSA-N
43.865,-2138.378769204083,-1034.59855066573,-1103.710314745176,,VFEGSUSXYTVCKX-UHFFFAOYSA-N__GSWZGTLWVRFGIJ-UHFFFAOYSA-N
,-1720.831659888811,,,determine_bonds_failed,BVEOBMKJZIHYGY-UHFFFAOYSA-N__VNOFTCAFFCUILP-UHFFFAOYSA-N
52.971,-2138.378420755664,-1102.492139358683,-1035.801866642345,,GSWZGTLWVRFGIJ-UHFFFAOYSA-N__VFEGSUSXYTVCKX-UHFFFAOYSA-N
,-1720.8290579592149,,,determine_bonds_failed,VNOFTCAFFCUILP-UHFFFAOYSA-N__BVEOBMKJZIHYGY-UHFFFAOYSA-N
28.952,-1884.3561545352081,-858.018588073413,-1026.29142812487,,DXWXXGCWPKUYKE-UHFFFAOYSA-N__XUMMAWMKFFMZAH-UHFFFAOYSA-N
44.208,-1884.3619386776609,-1025.056229359633,-859.235259903931,,XUMMAWMKFFMZAH-UHFFFAOYSA-N__DXWXXGCWPKUYKE-UHFFFAOYSA-N
53.995,-1720.022086412125,-1102.493095754762,-617.442943444954,,GSWZGTLWVRFGIJ-UHFFFAOYSA-N__WIQKBRKNWRIBID-UHFFFAOYSA-N
37.582,-1720.018297926678,-616.249562440456,-1103.708845103149,,WIQKBRKNWRIBID-UHFFFAOYSA-N__GSWZGTLWVRFGIJ-UHFFFAOYSA-N
,-2251.492610930739,,,determine_bonds_failed,YLDPIDWBAFWXTC-UHFFFAOYSA-N__KQTBXLLQVPCSEN-UHFFFAOYSA-N
,-2251.4925541550956,,,determine_bonds_failed,KQTBXLLQVPCSEN-UHFFFAOYSA-N__YLDPIDWBAFWXTC-UHFFFAOYSA-N
53.29,-1906.62255633535,-463.994220501415,-1442.543413021244,,IMUMRIXLOYBAMK-UHFFFAOYSA-N__MFDGPAYKUZZSSM-UZVCWDTJSA-N
38.191,-7459.236907671893,-4034.807220134023,-3424.368826055356,,OZNRNXAZUTYDFI-UHFFFAOYSA-N__ZLJPZFCJCONZJB-UHFFFAOYSA-N
46.814,-7459.246602840122,-3423.14911469613,-4036.022885643589,,ZLJPZFCJCONZJB-UHFFFAOYSA-N__OZNRNXAZUTYDFI-UHFFFAOYSA-N
63.964,-2123.6656819038953,-1172.295030103828,-951.268717981888,,FPJRZKFBYYRPKI-UHNVWZDZSA-N__SATXVECIZUJFMC-UHFFFAOYSA-N
65.048,-1322.680002708902,-501.146144904081,-821.430196980859,,SIXBABMGEVZGKD-JGVFFNPUSA-N__KLAXFTNZGRGHDN-UHFFFAOYSA-N
59.542,-1540.557829870853,-445.34618985772,-1095.116753827683,,JVCNYPXIJLMPPU-UHFFFAOYSA-N__GYPSNQKCIULKDV-UHFFFAOYSA-N
69.927,-1540.572506637025,-1093.914815080644,-446.546256552336,,GYPSNQKCIULKDV-UHFFFAOYSA-N__JVCNYPXIJLMPPU-UHFFFAOYSA-N
61.816,-1322.663574837363,-820.219457463602,-502.345607818941,,KLAXFTNZGRGHDN-UHFFFAOYSA-N__SIXBABMGEVZGKD-JGVFFNPUSA-N
51.538,-1906.6165097956361,-1441.3404223365,-465.193956123684,,MFDGPAYKUZZSSM-UZVCWDTJSA-N__IMUMRIXLOYBAMK-UHFFFAOYSA-N
56.731,-2123.647285198165,-1057.751558456917,-1065.805319796217,,SATXVECIZUJFMC-UHFFFAOYSA-N__FPJRZKFBYYRPKI-UHNVWZDZSA-N
37.701,-5225.418164185265,-3377.938350310704,-1847.419733897935,,VEJPLARLFWIYNM-UHFFFAOYSA-N__MPCFXPUBAQKZRJ-BGPJRJDNSA-N
30.066,-5225.420877666406,-1846.218485490773,-3379.154478200495,,MPCFXPUBAQKZRJ-BGPJRJDNSA-N__VEJPLARLFWIYNM-UHFFFAOYSA-N
49.973,-2364.4536392331306,-690.73347582041,-1673.640526383558,,DSPIFYLRLXJCAU-UHFFFAOYSA-N__LQNNPIQEIXFXIW-UHFFFAOYSA-N
51.716,-2364.4453161699394,-1672.427913549439,-691.934988204284,,LQNNPIQEIXFXIW-UHFFFAOYSA-N__DSPIFYLRLXJCAU-UHFFFAOYSA-N
75.474,-2089.1029575840653,-841.247927393101,-1247.734754677736,,UHXGJMONBMYGFN-UHFFFAOYSA-N__BKGUIDRBICTAMS-JKSUJKDBSA-N
50.965,-2089.073607494924,-1246.530944115243,-842.46144591935,,BKGUIDRBICTAMS-JKSUJKDBSA-N__UHXGJMONBMYGFN-UHFFFAOYSA-N
18.342,-7750.913415780318,-5507.817696071827,-2243.06648963621,,GSFFLGODLKMVMT-UHFFFAOYSA-N__LHICNIQDUSLKGT-WRWGMCAJSA-N
