id,error,dE_r2_single,dE_r2_boltz,dE_wb_single,nconf_ald,nconf_prod,std_ald_kcal,std_prod_kcal,dG_orca_kcal,dG_gxtb_kcal,dG_gxtb_corrected_final,boltz_corr,func_shift,dG_boltz,dG_wb97x
39491,,-15.223465762130203,-14.94674801776916,-17.121360484992945,5,5,0.6092942745029948,1.882810207083585,9.634992970856532,-0.0747,9.072135484489836,0.27671774436104357,-1.8978947228627412,9.911710715217575,7.73709824799379
161356,,-21.365308672223357,-21.047804608128907,-19.756539464138555,5,5,0.1234548660024607,1.826823196580433,1.3098290481083712,2.8833,1.1228989809153476,0.3175040640944502,1.6087692080848015,1.6273331122028214,2.9185982561931727
130358,,-5.67193059419744,-5.63050380508905,-7.111814554854798,5,5,0.3031698066496296,2.447514630144404,11.627987926705355,8.9702,11.572321777282896,0.041426789108390594,-1.4398839606573581,11.669414715813746,10.188103966047997
132099,,-21.038991734553456,-20.58477893298872,-18.147988678976528,5,5,1.9088700345112009,2.207553000559329,0.23971632558576,3.5565,0.0065003928809304,0.4542128015647364,2.8910030555769275,0.6939291271504964,3.1307193811626877
73871,,-18.734264439542294,-15.214675062889912,-17.502437161785444,5,5,1.7484171540134692,1.7726137078798705,4.102187082252595,4.7489,5.969936538866526,3.519589376652382,1.2318272777568495,7.621776458904977,5.334014360009444
217743,,-0.6923464422653154,-0.9660860047959918,-1.573895011920628,5,5,2.437853272892496,5.568921272785716,8.171724853699754,5.997,7.828167119162293,-0.27373956253067644,-0.8815485696553127,7.8979852911690775,7.290176284044441
117221,,-18.289069312898715,-19.135168692755496,-15.614589139275322,5,5,1.673807227762459,5.054342491403782,4.483412701119559,9.5382,5.9950750344414185,-0.8460993798567813,2.674480173623392,3.637313321262778,7.157892874742951
169382,,-6.961465577176024,-6.352226953221679,-5.837903033555233,5,5,0.1095336341361911,2.138562489677482,10.307809043685886,13.8151,13.131271411283056,0.6092386239543446,1.1235625436207908,10.91704766764023,11.431371587306677
41264,,-4.293290499739634,-4.389365617823765,-7.436854642495032,5,5,1.4919715589963185,2.412092301604621,10.05294775761708,10.0029,8.94510856599722,-0.09607511808413083,-3.1435641427553973,9.95687263953295,6.9093836148616825
78399,,-15.537981028638564,-12.219755463526123,-19.244461062556898,5,5,1.3730291926120184,2.225892778411343,5.403671823055619,4.3887,5.147332824776522,3.3182255651124404,-3.706480033918334,8.72189738816806,1.6971917891372854
181151,,-17.772953212846254,-15.82212808671296,-17.742413022049984,5,5,0.5255700845823578,2.9379607222387976,3.36679228473801,-1.7574,0.0693935963369782,1.950825126133294,0.030540190796269684,5.3176174108713035,3.3973324755342795
173314,,-19.30786497066043,-16.73411773232084,-19.184220164976026,5,5,0.5112457660249077,1.3741437051978282,-1.5438016306231916,1.5327,-2.440038337234192,2.573747238339589,0.12364480568440328,1.0299456077163973,-1.4201568249387884
179722,,-13.862218192079164,-14.38659762517441,-14.184694454827593,5,5,1.226638328461534,1.6816782632839369,8.956932943131736,-0.7848,5.420901178397675,-0.5243794330952465,-0.3224762627484292,8.43255351003649,8.634456680383307
193634,,-15.945658455740684,-15.929479229615422,-15.74024510710702,5,5,0.0449648900960721,1.7958010224803878,0.2557202267348792,5.2907,0.6226713571458635,0.016179226125261792,0.20541334863366423,0.271899452860141,0.46113357536854344
