scope,n,raw_gxtb,Ridge(linear),MLP,GBT
all,152781,4.2056862952615575,2.7708925718407187,2.3353043461638783,2.378580157160593
aromatic,97520,4.203399069560249,2.3745474743898156,1.9139254393829346,1.951766668695772
aliphatic,54253,4.118504797020229,3.1718389564069103,2.878643056786653,2.808863184856469
