id,ald_smiles,smiles,cls,error,struct_cluster,ald_sulfonyl,ald_sulfonyl_F,ald_nitro,ald_nitrile,ald_imine,ald_has_B,ald_has_Si,ald_has_P,ald_soft_S_thioether,ald_furan_O,ald_thiophene_S,ald_azine_N,ald_halogen,ald_ester,ald_amide,prod_sulfonyl,prod_sulfonyl_F,prod_nitro,prod_nitrile,prod_imine,prod_has_B,prod_has_Si,prod_has_P,prod_soft_S_thioether,prod_furan_O,prod_thiophene_S,prod_azine_N,prod_halogen,prod_ester,prod_amide
102461,C1CC1C(=O)NC2=NC3=C(C=CN3)C(=C2)C4=CCN(CC4)C5(CC5C(F)(F)F)C=O,O=C(Nc1cc(C2=CCN(C3(C(=O)C(O)C4(N5CC=C(c6cc(NC(=O)C7CC7)nc7[nH]ccc67)CC5)CC4C(F)(F)F)CC3C(F)(F)F)CC2)c2cc[nH]c2n1)C1CC1,aliphatic,2.060193508546753,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
70669,C1CCNCC(C1)C(=O)N[C@@H](CC=O)C(COC2=C(C(=CC(=C2F)F)F)F)O,O=C(CC(NC(=O)C1CCCCNC1)C(O)COc1c(F)c(F)cc(F)c1F)C(O)CC(NC(=O)C1CCCCNC1)C(O)COc1c(F)c(F)cc(F)c1F,aliphatic,0.4339015361705501,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
73964,CC[C@@H](C(F)(F)F)NS(=O)(=O)C1=C(C(=C(C=C1)C2=C(N=CS2)C=O)Cl)Cl,CCC(NS(=O)(=O)c1ccc(-c2scnc2C(=O)C(O)c2ncsc2-c2ccc(S(=O)(=O)NC(CC)C(F)(F)F)c(Cl)c2Cl)c(Cl)c1Cl)C(F)(F)F,aromatic,0.1121537391532285,2,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False
119301,CCN(CC)S(=O)(=O)C1=C(N(C=N1)C2=CC=CC=C2)C=O,CCN(CC)S(=O)(=O)c1ncn(-c2ccccc2)c1C(=O)C(O)c1c(S(=O)(=O)N(CC)CC)ncn1-c1ccccc1,aromatic,2.7537500713227683,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9310,CC(C)OC1=CC(=NC=C1C#N)NC(=O)N(C)C2=NC(=C(C=C2)CN3CCOCC3=O)C=O,CC(C)Oc1cc(NC(=O)N(C)c2ccc(CN3CCOCC3=O)c(C(=O)C(O)c3nc(N(C)C(=O)Nc4cc(OC(C)C)c(C#N)cn4)ccc3CN3CCOCC3=O)n2)ncc1C#N,aromatic,2.199260512577311,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
185720,CC1=C(C=C(C=C1S(=O)(=O)F)N)C=O,Cc1c(C(=O)C(O)c2cc(N)cc(S(=O)(=O)F)c2C)cc(N)cc1S(=O)(=O)F,aromatic,3.0891467652674187,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
45620,CC1=NSC(=C1)NC2=CC(=C(C=C2C(=O)N)F)N(C(CC(F)(F)F)C=O)N,Cc1cc(Nc2cc(N(N)C(CC(F)(F)F)C(=O)C(O)C(CC(F)(F)F)N(N)c3cc(Nc4cc(C)ns4)c(C(N)=O)cc3F)c(F)cc2C(N)=O)sn1,aliphatic,0.564626117204055,2,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True
42086,C1C(C1(CC=O)C(=O)N)C2=C(C=CC=N2)C(F)(F)F,NC(=O)C1(CC(=O)C(O)CC2(C(N)=O)CC2c2ncccc2C(F)(F)F)CC1c1ncccc1C(F)(F)F,aliphatic,4.572837287239884,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
94233,CNC(=O)C(CCC=O)NC1=CC(=CC=C1)F,CNC(=O)C(CCC(=O)C(O)CCC(Nc1cccc(F)c1)C(=O)NC)Nc1cccc(F)c1,aliphatic,4.5902661300211065,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
131915,COC1=C(C2=C(C=C1)C(=CC(=O)N2)CCCC(F)F)C=O,COc1ccc2c(CCCC(F)F)cc(=O)[nH]c2c1C(=O)C(O)c1c(OC)ccc2c(CCCC(F)F)cc(=O)[nH]c12,aromatic,4.819365757754358,3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
6840,C1=CC=C(C=C1)OC2=CC=CC=C2S(=O)(=O)N[C@@H](CC(=O)O)C=O,O=C(O)CC(NS(=O)(=O)c1ccccc1Oc1ccccc1)C(=O)C(O)C(CC(=O)O)NS(=O)(=O)c1ccccc1Oc1ccccc1,aliphatic,1.1693646711351846,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99242,C1C2=C(C(N1CC3=CC=C(C=C3)OC(F)(F)F)C=O)C(=CC(=C2)[N+](=O)[O-])I,O=C(C(O)C1c2c(I)cc([N+](=O)[O-])cc2CN1Cc1ccc(OC(F)(F)F)cc1)C1c2c(I)cc([N+](=O)[O-])cc2CN1Cc1ccc(OC(F)(F)F)cc1,aliphatic,5.181048939718691,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
184853,CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=CC(=CC=C1)OC(F)(F)F,CN(C(=O)OC(C)(C)C)C(C)(C(=O)C(O)C(C)(c1cccc(OC(F)(F)F)c1)N(C)C(=O)OC(C)(C)C)c1cccc(OC(F)(F)F)c1,aliphatic,1.3955872479179448,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
171204,CC(C)(C)OC(=O)N[C@@]1([C@@H]([C@H]1S(=O)(=O)C2=CC=CC=C2)C3=CC(=CC=C3)F)C=O,CC(C)(C)OC(=O)NC1(C(=O)C(O)C2(NC(=O)OC(C)(C)C)C(c3cccc(F)c3)C2S(=O)(=O)c2ccccc2)C(c2cccc(F)c2)C1S(=O)(=O)c1ccccc1,aliphatic,1.4775091622876708,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True
