id,error,cluster
73248,6.059697186102723,0
56364,5.402855576293383,2
24360,3.542997790446438,0
160792,3.147455087166323,1
3830,14.478428093058692,1
1711,9.440390777213954,3
125233,3.698807824729677,2
203611,3.7172912435363505,1
93144,5.456291509587235,2
90850,4.301374850972772,2
58899,5.08568213272601,1
39683,3.1997019015534534,3
191190,3.588895601203327,2
188325,5.439064544960512,1
111959,3.1414754424521227,1
29499,4.819249871785708,0
26497,5.5281384408971,0
14264,7.787092961614228,2
53835,16.31996823822524,1
144795,3.2879518011166966,1
63911,6.118676861598439,3
26104,3.546202217673714,0
79241,7.129017559374098,2
65150,3.305537013735469,0
43673,3.4152840690293287,0
52633,7.057565071408938,2
193046,4.7898783689228885,0
77936,6.250228736768831,2
92954,5.089179510216942,1
14938,3.27302377280205,0
29955,4.6411404153785725,3
108720,7.127796647027292,2
107000,4.473168411451949,1
98206,4.266154323392038,0
79692,4.239909342329717,0
192537,4.06651553013436,1
55910,9.011097244991529,3
125689,4.808305734425492,3
113788,4.46150902979785,0
54178,4.157367382757883,1
117292,4.232291695283147,0
14029,6.923735775345973,3
93609,3.1711214937318033,3
147064,4.656971951810702,0
61425,4.890664322299274,2
26919,3.1689664866197775,0
46728,5.1801567120442416,0
45808,7.928635849798233,1
335,4.956852965131429,1
123977,6.074955874343555,2
147654,5.026419204669724,1
107562,5.0660033180638955,0
203900,3.1374449760819973,2
77939,7.007881895209605,2
59806,10.428838578702896,2
28006,4.157543846865369,0
49474,4.401933624196637,2
65071,4.615261654516059,0
216738,4.2102112548030295,2
208917,5.6058280135831255,0
61956,5.7762004115523595,3
16301,4.090480603198873,0
112643,5.89997500597324,2
211012,5.240914475279997,3
77179,6.8200213330716535,0
142635,4.518402634538607,1
1999,3.682418916513871,3
199902,6.063916121455228,3
80645,4.7984821321777344,2
172943,3.712210973854911,0
14529,4.279176557299458,3
131969,5.6012523880286915,0
181966,14.648020233652101,3
81851,5.766135523399862,3
148583,5.7115338616079105,0
100355,4.7095778217745154,0
107176,3.7417834197178905,0
17514,6.446306683777504,2
188728,9.793953211625357,2
152711,3.3504762525467244,1
77822,4.038598802411047,2
81391,10.099271262231888,1
126856,3.13167072416665,3
128582,3.197721190243467,1
131489,5.865641882142784,3
127120,7.3228745642630315,1
92068,10.6376645156334,2
9817,4.929796516588863,0
31791,5.341182330691506,0
215890,3.4626651201944636,3
53297,5.4226408224324985,3
15246,3.4371619399591173,0
30112,3.886962919108628,1
97431,5.312991929223616,3
67127,3.1721420083072687,2
23490,3.6835575068887394,0
91168,5.439527154172512,1
73553,3.628076615101895,1
114118,4.828610007655998,1
52869,7.572343534984951,2
67645,3.6915289193809997,1
58583,7.853134099808299,1
92147,3.1528039600901714,0
146973,4.060459321535872,0
46007,5.511071939410841,1
82967,3.6193687016452696,2
38409,5.847784558763767,2
132460,3.3289416671001693,0
189410,4.556490986132918,0
91798,6.301767652428607,2
212557,3.17877372515051,1
17296,3.64450155885521,0
3407,6.854297849522908,0
322,6.234887289498367,3
123480,10.187745902570335,2
80034,4.758116228820455,3
129483,6.468991909950886,2
65316,4.240890293960373,2
94495,4.413520404016977,0
114448,3.1756009794622475,0
