id,prod_smiles,ald_smiles,dG_orca_kcal,dG_gxtb_kcal
6400,COc1cc(Cl)c(C(=O)C(O)c2c(Cl)cc(OC)cc2OC)c(OC)c1,COC1=CC(=C(C(=C1)Cl)C=O)OC,5.986004083472513,1.0407
166732,CC(CC(=O)C(O)CC(C)c1ccc(OC2CCOCC2)c(F)c1)c1ccc(OC2CCOCC2)c(F)c1,CC(CC=O)C1=CC(=C(C=C1)OC2CCOCC2)F,-3.1381534169908103,0.38
208223,O=C1COc2ccc(C=Cc3cccc(C(=O)C(O)c4cccc(C=Cc5ccc6c(c5)NC(=O)CO6)c4)c3)cc2N1,C1C(=O)NC2=C(O1)C=CC(=C2)/C=C/C3=CC(=CC=C3)C=O,9.138667759090009,-0.0148
215277,CCCc1ccccc1-n1c2ccccc2c2cc(C(=O)C(O)c3ccc4c(c3)c3ccccc3n4-c3ccccc3CCC)ccc21,CCCC1=CC=CC=C1N2C3=C(C=C(C=C3)C=O)C4=CC=CC=C42,7.976121951079974,6.3845
20375,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)C(O)c3ccc(CNS(=O)(=O)c4ccc(C)cc4)o3)o2)cc1,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=C(O2)C=O,21.25207382728961,9.7785
48828,CC(OC1COCC(C(=O)C(O)C2COCC(OC(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2c2ccccc2)C1c1ccccc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@H]2COC[C@H]([C@H]2C3=CC=CC=C3)C=O,-3.02859792352453,-1.3918
200661,O=C(c1ccc(N2CCCC2)[se]1)C(O)c1ccc(N2CCCC2)[se]1,C1CCN(C1)C2=CC=C([Se]2)C=O,22.62193373795448,14.503
6430,O=C(c1c(F)ccc(O)c1F)C(O)c1c(F)ccc(O)c1F,C1=CC(=C(C(=C1O)F)C=O)F,-0.6877366541064125,3.264
38343,O=C(c1ccc(NCCOc2ccc(F)cc2)nc1)C(O)c1ccc(NCCOc2ccc(F)cc2)nc1,C1=CC(=CC=C1OCCNC2=NC=C(C=C2)C=O)F,9.665553887726473,8.247
217300,CC(C)(CN)CC(=O)C(O)CC(C)(C)CN,CC(C)(CC=O)CN,1.4791751320389417,-0.384
