hetero_tag,n,MAE,bias
simple_carbo_aromatic,6714,1.2677269928255868,0.032764208701985646
azine_or_azole_N,5835,1.3908269124709411,-0.0331515853282847
furan,563,1.3749603512968547,-0.051722079459795914
thiophene+azine_or_azole_N,554,1.4317686095340734,0.056900251633311576
furan+azine_or_azole_N,430,1.2221619164970203,-0.10294597382390881
thiophene,405,1.2754409609229391,0.06643599286472693
furan+thiophene+azine_or_azole_N,30,1.455148582007406,0.23761629627343275
furan+thiophene,3,3.885691362737267,3.1325115464986
