cluster,n,mean_error,ald_sulfonyl,ald_sulfonyl_F,ald_nitro,ald_nitrile,ald_imine,ald_has_B,ald_has_Si,ald_has_P,ald_soft_S_thioether,ald_furan_O,ald_thiophene_S,ald_azine_N,ald_halogen,ald_ester,ald_amide,prod_sulfonyl,prod_sulfonyl_F,prod_nitro,prod_nitrile,prod_imine,prod_has_B,prod_has_Si,prod_has_P,prod_soft_S_thioether,prod_furan_O,prod_thiophene_S,prod_azine_N,prod_halogen,prod_ester,prod_amide
0,497,2.9875093772067793,0.26156941649899396,0.012072434607645875,0.11670020120724346,0.05030181086519115,0.026156941649899398,0.02012072434607646,0.002012072434607646,0.026156941649899398,0.11871227364185111,0.08651911468812877,0.056338028169014086,0.45875251509054327,0.8088531187122736,0.15492957746478872,0.3199195171026157,0.26156941649899396,0.012072434607645875,0.11670020120724346,0.05030181086519115,0.026156941649899398,0.02012072434607646,0.002012072434607646,0.026156941649899398,0.11871227364185111,0.08651911468812877,0.056338028169014086,0.45875251509054327,0.8088531187122736,0.15492957746478872,0.3199195171026157
1,965,2.850979507488124,0.11502590673575129,0.0010362694300518134,0.04248704663212435,0.06839378238341969,0.08808290155440414,0.002072538860103627,0.012435233160621761,0.007253886010362694,0.11709844559585492,0.0538860103626943,0.05699481865284974,0.49637305699481865,0.8507772020725388,0.10569948186528498,0.46424870466321244,0.11502590673575129,0.0010362694300518134,0.04248704663212435,0.06839378238341969,0.08808290155440414,0.002072538860103627,0.012435233160621761,0.007253886010362694,0.11709844559585492,0.0538860103626943,0.05699481865284974,0.49637305699481865,0.8507772020725388,0.10569948186528498,0.46424870466321244
2,832,2.829026756003212,0.2800480769230769,0.003605769230769231,0.055288461538461536,0.052884615384615384,0.05048076923076923,0.002403846153846154,0.018028846153846152,0.02283653846153846,0.125,0.07211538461538461,0.0889423076923077,0.41466346153846156,0.7704326923076923,0.23197115384615385,0.3954326923076923,0.2800480769230769,0.003605769230769231,0.055288461538461536,0.052884615384615384,0.05048076923076923,0.002403846153846154,0.018028846153846152,0.02283653846153846,0.125,0.07211538461538461,0.0889423076923077,0.41466346153846156,0.7704326923076923,0.23197115384615385,0.3954326923076923
3,454,2.8554003362651894,0.15859030837004406,0.0022026431718061676,0.048458149779735685,0.05726872246696035,0.030837004405286344,0.01762114537444934,0.00881057268722467,0.022026431718061675,0.07929515418502203,0.05947136563876652,0.028634361233480177,0.47577092511013214,0.6541850220264317,0.17180616740088106,0.20484581497797358,0.15859030837004406,0.0022026431718061676,0.048458149779735685,0.05726872246696035,0.030837004405286344,0.01762114537444934,0.00881057268722467,0.022026431718061675,0.07929515418502203,0.05947136563876652,0.028634361233480177,0.47577092511013214,0.6541850220264317,0.17180616740088106,0.20484581497797358
4,216,3.3567825144936836,0.19444444444444445,0.0,0.0,0.004629629629629629,0.10648148148148148,0.0,0.0,0.032407407407407406,0.05092592592592592,0.013888888888888888,0.032407407407407406,0.20833333333333334,0.4027777777777778,0.2222222222222222,0.8842592592592593,0.19444444444444445,0.0,0.0,0.004629629629629629,0.10648148148148148,0.0,0.0,0.032407407407407406,0.05092592592592592,0.013888888888888888,0.032407407407407406,0.20833333333333334,0.4027777777777778,0.2222222222222222,0.8842592592592593
5,323,3.083809013382368,0.08978328173374613,0.0,0.034055727554179564,0.0,0.01238390092879257,0.0030959752321981426,0.009287925696594427,0.09597523219814241,0.034055727554179564,0.01238390092879257,0.0,0.009287925696594427,0.25077399380804954,0.14860681114551083,0.2260061919504644,0.08978328173374613,0.0,0.034055727554179564,0.0,0.01238390092879257,0.0030959752321981426,0.009287925696594427,0.09597523219814241,0.034055727554179564,0.01238390092879257,0.0,0.009287925696594427,0.25077399380804954,0.14860681114551083,0.2260061919504644
