,all,aromatic,aliphatic,ali_tail15
56,1.6675732745423797,1.4821970648566982,2.0656885408574586,5.926361999197089
56+prodG,1.631595839748585,1.445734819451031,2.030203252064731,5.8314458822422885
56+prod+reactG,1.6381162051186275,1.4528123691580195,2.035422059266844,5.820804209337603
