featset,all,aromatic,aliphatic,aliphatic_tail15%
56,1.5778954594512837,1.511871614573104,1.9890340377332385,5.797513433517491
56+global,1.5479266191564964,1.4714698793751086,1.975781911090056,5.733558585845197
