model,MAE,R2
"MLP(256,128) [champion]",1.7123225805524154,0.8337780361610377
"MLP(512,256,128) deeper",1.723219716252308,0.8328176756917354
"XGB(1200,d6,lr.03)",1.7709759049116158,0.8271140283601858
"XGB(1500,d8,lr.02)",1.691917763546395,0.8372738610353159
