trial,val_mae,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
0,1.614387479944788,6,0.08927180304353628,22,0.7693963178886665,0.48581025224334007,0.26364803038431645,0.0017073967431528124,4.330880728874676
1,1.587260957191487,7,0.051059032093947576,1,0.9364594334728974,0.8578434524402319,0.3741940611118496,0.005337032762603957,0.9170225492671691
2,1.7091749314016753,5,0.03347776308515933,13,0.6310531130891188,0.7365190920973087,0.23795221163877261,0.01474275315991467,1.8318092164684585
3,1.611568294729955,6,0.06097839109531514,6,0.7314054972861253,0.7258280128741234,0.13346527038305933,0.26926469100861794,0.8526206184364576
4,1.6906191072526044,4,0.08889667907018929,29,0.8637788066524075,0.5675375730453539,0.18349072049055454,0.5456725485601477,2.2007624686980067
5,1.7829677553554342,4,0.03127353036780371,2,0.9091941809354519,0.5423289898800093,6.139426050898151,0.017654048052495083,2.600340105889054
6,1.696458596521256,7,0.015305744365500184,30,0.8488097705125015,0.916724417860304,26.008312687264876,0.24637685958997463,4.609371175115584
7,1.860168266121674,4,0.015703008378806716,2,0.646398648843469,0.6137725093292151,0.5399616272305189,2.0651425578959257,1.7837666334679465
8,1.7131325265938102,5,0.03488960745139221,5,0.8609886413393177,0.44100285402387396,46.08697883952071,1.2273800987852967,0.993578407670862
9,1.709535217163557,4,0.06538248584518043,22,0.8280532256184443,0.8241986906772701,0.15843250684388685,0.02715581955282941,0.5793452976256486
10,1.648623888183958,9,0.010139048090380883,13,0.5080828440266688,0.9367265522851704,1.63150247025623,6.903717055434688,3.4498740332905546
11,1.562564730005558,8,0.052061660762580085,8,0.7007653171886942,0.7195890938503438,0.9062893538122175,0.0018675879840826402,0.0971772915511796
12,1.5777672916913894,8,0.04899762801858798,9,0.5060745361724328,0.7920935467552832,1.233132340604576,0.0012310907082674907,0.22547047049087932
13,1.563390828023552,9,0.0415618280249812,11,0.5074976208620411,0.6981334780453273,1.2906991017595957,0.001018040230614477,0.013751479826557
14,1.5713721991715206,9,0.02372946910538689,13,0.6007881766571083,0.659866512738299,3.1452197712524916,0.0035912972272153392,0.008264565339184534
15,1.5752841010179843,8,0.04232421315068697,17,0.5735888705072819,0.6719446325123907,0.8648367665405242,0.060513539547183595,0.009184542932710094
16,1.596095123844025,8,0.023546380096457487,9,0.706824902446533,0.7350929759157819,6.2462080248432335,0.004718043886564644,1.3752031840619194
17,1.5772939954628251,9,0.06856031665656741,17,0.7044627978164213,0.6702533295350801,2.5411683409884946,0.0011290595733876748,0.4893242440337606
18,1.5870047584231428,8,0.026943380410342478,9,0.5627524260827452,0.7713120056638941,0.6864819913376314,0.007726741140368488,1.3221798666136584
19,1.59524367541375,7,0.046536364192714647,17,0.6605167863686319,0.6001795867733882,9.513241487008047,0.06478454673088674,0.4905972161320358
20,1.5827183630307098,9,0.03976823212718198,6,0.7658397538400918,0.8721272668261171,2.2205586250492857,0.0025323102876835687,2.911104640587693
21,1.5778771934909868,9,0.02162605937849749,13,0.5904029465999904,0.6703532499752748,3.3434160039403866,0.003098615997832284,0.1767491278994533
22,1.5891916442623082,9,0.018830021409187055,11,0.5405482778230914,0.6368455232037447,4.087009706815388,0.007964583319433206,0.0011954713990275315
23,1.5898375818050554,8,0.027467466473971237,15,0.6046553437518078,0.7103931054584437,1.1434765148435535,0.0026773173555255337,0.5752947520180155
24,1.5823747629023763,9,0.060507681194083666,20,0.5351341134556744,0.5280742550157318,1.6673457500721838,0.001366961455244346,1.331615671524001
