model,MAE,RMSE,bias,R2
L0 raw g-xTB,4.352153236736004,6.112593727682179,-2.6243701282356073,0.17332682058261728
(ref) raw GFN2-xTB,15.598294932467835,16.510237402298618,-15.585417856008899,-5.031001282729278
L1 +constant bias,4.150852899189377,5.521532807505414,-0.10412028925472783,0.32546871275961864
L2 affine(a*g-xTB+b),4.034785326880659,5.3348959400814415,-0.08608258166596998,0.3702985546921568
L3 ridge Δ(descriptors),2.8700992565826895,4.078173214174275,-0.07618189990732124,0.6320285532048626
L4 GBT Δ(descriptors),2.4589508863050624,3.66781686804116,-0.05230227074857424,0.7023553562458226
