name,MAE,RMSE,R2,params
gine_hybrid,1.9910871982574463,3.0495009422302246,0.77001625,242689
gine_big,2.5746567249298096,3.7622718811035156,0.64994204,1133313
gat,2.5843842029571533,3.787339448928833,0.6452617,238849
gine,2.597808599472046,3.781017541885376,0.64644504,238337
nnconv,2.6234452724456787,3.811248779296875,0.64076865,964801
gcn,2.67600154876709,3.8438522815704346,0.6345963,106241
