id,prod_smiles,ald_smiles,dG_orca_kcal,dG_gxtb_kcal,dG_pred,error
32211,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(-c3ccc(C(=O)C(O)c4ccc(-c5cccc(C6(NCC(O)C(Cc7cc(F)cc(F)c7)NC(C)=O)CC6)c5)s4)s3)c2)CC1,CC(=O)NC(CC1=CC(=CC(=C1)F)F)C(CNC2(CC2)C3=CC=CC(=C3)C4=CC=C(S4)C=O)O,5.918390606460856,19.295,18.68231271813567,12.763922111674812
107445,CNC(=O)CCC(C(=O)C(O)C(CCC(=O)NC)n1nc(Cl)c2cc(N3CCNCC3)c(C(F)F)cc21)n1nc(Cl)c2cc(N3CCNCC3)c(C(F)F)cc21,CNC(=O)CCC(C=O)N1C2=CC(=C(C=C2C(=N1)Cl)N3CCNCC3)C(F)F,-8.239905142125444,1.1902,4.482195597619145,12.72210073974459
54241,CC(NC(=O)c1ccc(F)c(F)c1)C(=O)N1CCCC1C(=O)NC(CC(=O)O)C(=O)C(O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(C)NC(=O)c1ccc(F)c(F)c1,CC(C(=O)N1CCC[C@H]1C(=O)NC(CC(=O)O)C=O)NC(=O)C2=CC(=C(C=C2)F)F,19.01607005073497,-6.3365,6.753955453621294,12.26211459711368
36417,CC(C)(C)c1cc(C(=O)C(O)c2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)c(C(C)(C)C)c2)ccc1OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,CC(C)(C)C1=C(C=CC(=C1)C=O)OS(=O)(=O)C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,37.5208316182105,4.6378,25.268342993547336,12.252488624663163
187015,NC(=O)C(Oc1cccc(B(O)O)c1C(=O)C(O)c1c(OC(C(N)=O)c2ccc(F)cc2)cccc1B(O)O)c1ccc(F)cc1,B(C1=C(C(=CC=C1)OC(C2=CC=C(C=C2)F)C(=O)N)C=O)(O)O,11.391138321724256,7.1743,23.549063956462508,12.157925634738252
70774,CCN(CC)c1ccc(C(=O)C(O)c2ccc(N(CC)CC)cc2OS(=O)(=O)C(F)(F)F)c(OS(=O)(=O)C(F)(F)F)c1,CCN(CC)C1=CC(=C(C=C1)C=O)OS(=O)(=O)C(F)(F)F,56.53072410953504,63.5082,68.67702770382839,12.146303594293345
117158,O=C(C(O)C(OP(=O)(O)O)C(O)C(O)COP(=O)(O)O)C(OP(=O)(O)O)C(O)C(O)COP(=O)(O)O,C([C@H]([C@H]([C@H](C=O)OP(=O)(O)O)O)O)OP(=O)(O)O,0.2036145523792915,8.8748,12.34746038243446,12.143845830055168
67988,Cc1nc(C)n(CCC(NC(=O)c2ncn(Cc3ccccc3F)n2)C(=O)C(O)C(CCn2c(C)nc(C)c2N(C)C)NC(=O)c2ncn(Cc3ccccc3F)n2)c1N(C)C,CC1=C(N(C(=N1)C)CCC(C=O)NC(=O)C2=NN(C=N2)CC3=CC=CC=C3F)N(C)C,-17.615048633356885,-0.5605,-5.613300325350908,12.001748308005975
12635,O=C(c1cccn1C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O)C(O)c1cccn1C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,C1=CN(C(=C1)C=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,50.82884439361722,12.0613,38.91263761024662,11.916206783370598
213099,O=C(c1c(I)ccc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2)C(O)c1c(I)ccc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2,C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)Cl)C=CC(=C2C=O)I,18.59108772557441,-7.8849,6.766579274704677,11.824508450869734
90675,COC(C(F)C(O)COP(O)O)n1cc(C(=O)C(O)c2cn(C(OC)C(F)C(O)COP(O)O)c(=O)nc2NO)c(NO)nc1=O,COC(C(C(COP(O)O)O)F)N1C=C(C(=NC1=O)NO)C=O,34.18091323428626,15.8287,22.47663651459595,11.70427671969031
54464,CC(=O)NC1C(O)C(F)C(O)(C(=O)C(O)C2(O)OC(C(O)C(O)CO)C(NC(C)=O)C(O)C2F)OC1C(O)C(O)CO,CC(=O)N[C@@H]1C(C([C@@](OC1[C@@H]([C@@H](CO)O)O)(C=O)O)F)O,-0.4821855700416357,6.3074,11.0755962344079,11.557781804449537
5606,O=C(C(O)C(F)C(O)C(O)C(O)COP(=O)(O)O)C(F)C(O)C(O)C(O)COP(=O)(O)O,C([C@H]([C@H]([C@@H]([C@H](C=O)F)O)O)O)OP(=O)(O)O,22.270092558880325,3.9836,10.768547091132206,11.50154546774812
91095,O=C(c1c(N2CCN(C(=O)C(F)(F)F)CC2)cccc1S(=O)(=O)c1cccc(Cl)c1)C(O)c1c(N2CCN(C(=O)C(F)(F)F)CC2)cccc1S(=O)(=O)c1cccc(Cl)c1,C1CN(CCN1C2=C(C(=CC=C2)S(=O)(=O)C3=CC(=CC=C3)Cl)C=O)C(=O)C(F)(F)F,26.29391587567559,0.8749,14.807001940302284,11.486913935373307
