scope,n,MLP_MAE,XGB_MAE,ENSEMBLE_MAE,MLP_R2,XGB_R2,ENSEMBLE_R2
all,186185,1.6922806532360024,1.6811355317447163,1.6106498355929688,0.8401871680005832,0.8380222881865635,0.8509974947429686
aromatic,124766,1.4807492057319493,1.4528230443274548,1.404636083805861,0.8416668394995509,0.8436438693170961,0.8533489529381509
aliphatic,60429,2.1506625685649086,2.057885599463742,2.031105477445099,0.7950321567141847,0.7998169828720911,0.8088572557280561
