xtb_risk,mean,count
phosphorus,4.016574671944346,538
"nitro,selenium",3.9888555526880687,4
"phosphorus,selenium",2.5178440763534553,2
boron,2.2864238297441357,337
selenium,2.2701801634298966,110
nitro,2.2006404624807776,2474
n_oxide,1.9809001555404688,62
"nitro,phosphorus",1.0978623335928541,4
