index,SMILES,PubChem_CID,xtb_optimized,error,xyz_file,MW,ExactMW,LogP,MolMR,TPSA,HBD,HBA,RotBonds,ArRings,ArHetRings,AlRings,Rings,Heteroatoms,FractionCSP3,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,LabuteASA,NumStereocenters,n_CHO,gasteiger_CHO_C,gasteiger_CHO_O,gasteiger_maxpos,gasteiger_minneg,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,xtb_alpha0,xtb_C6,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,wfn_HOMO,wfn_LUMO,wfn_gap,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_rho_CO,qtaim_lap_CO,qtaim_ell_CO
176664,CC1(O[C@H]([C@H](O1)[C@@H](COS(=O)(=O)C)OCOC)CC=O)C,138983857,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000013_176664.xyz,326.367,326.103539,0.0608,72.0508,97.36,0,8,9,0,0,1,1,9,0.916667,432.53838,13.421453,8.241487,18.468972,7.612778,124.311434,3,1,0.122185,-0.303294,0.263982,-0.358646,-72.698953049954,-10.9573,-7.1447,3.8126,8.2775,-1.4902,-3.39365,4.88385,1.179076,3.64,0.219493,-0.317123,0.113922,0.000606,0.057264,0.113316,1.926462,195.7597,17741.91,45.6283,45.4103,8.7815,2.6696,7.0585,524.9758,18.5182,-10.957318,-7.144699,3.812619,0.159919,-0.328497,0.250247,0.014856,0.098788,0.405287,-0.004261,0.153968
286850,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCC(CC3)(OC4)C=O,18767721,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000014_286850.xyz,374.441,374.195405,1.486,100.0887,98.98,1,5,6,2,2,3,5,8,0.684211,974.999587,15.915945,9.831502,18.157687,6.438249,156.096754,0,1,0.151339,-0.300136,0.332233,-0.366474,-82.033009214473,-10.6354,-7.6883,2.9471,7.771,0.5106,-4.1408,3.6302,2.361609,1.112,0.204821,-0.308008,0.056833,0.001958,0.029396,0.054875,1.936004,248.6916,27630.8,35.4566,50.2289,15.3103,3.1598,5.343,600.9572,19.0179,-10.635356,-7.688273,2.947083,0.091954,-0.301554,0.096904,0.017476,0.074011,0.40477,-0.010572,0.146427
23451,C1COCCC1(CC=O)C#N,165495254,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000015_23451.xyz,153.181,153.078979,0.89578,38.78,50.09,0,3,2,0,0,1,1,3,0.75,177.021305,6.376594,3.755568,8.218814,3.493327,65.955662,0,1,0.121086,-0.303341,0.121086,-0.381333,-33.735896381607,-11.0862,-7.7618,3.3244,8.8114,-0.7749,-4.01825,4.79315,1.684313,2.567,0.21622,-0.308791,0.10396,0.003178,0.053569,0.100782,1.939335,101.0088,4633.5,24.6575,49.0991,6.8281,1.8854,5.2634,325.4972,16.476,-11.086181,-7.761803,3.324378,0.094665,-0.299918,0.165988,0.026857,0.130272,0.404574,0.031708,0.152405
164283,C(=O)C(C1=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,14613555,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000016_164283.xyz,287.913,285.875805,2.1266,57.33,51.21,0,3,2,0,0,1,1,7,0.125,421.602719,9.915019,5.121453,12.718259,4.660129,104.60644,1,1,0.142019,-0.301344,0.217353,-0.301344,-48.471563795665,-11.8662,-10.525,1.3412,9.0593,3.2559,-6.1576,2.9017,6.533418,1.326,0.215201,-0.280349,-0.004578,0.002225,-0.001176,-0.006803,1.956786,147.6734,9158.29,28.2817,52.7593,6.7001,1.9747,7.2884,391.2764,19.7469,-11.866215,-10.525021,1.341194,0.01029,-0.236512,-0.091618,-0.059854,0.122096,0.408033,0.035292,0.162457
262499,CCN(CC)CC1=C(SC2=C1CCCC2)C=O,44121813,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000017_262499.xyz,251.395,251.134385,3.2812,72.9735,20.31,0,3,5,1,1,1,2,3,0.642857,393.171628,11.607304,7.422679,12.778309,5.783691,107.636712,0,1,0.159847,-0.296979,0.159847,-0.299567,-50.929450952442,-9.6002,-7.7769,1.8233,7.4167,0.2963,-3.8565,3.5602,2.08873,5.742,0.204935,-0.357737,0.044707,0.000151,0.022429,0.044556,1.802851,187.4983,14905.4,64.2606,49.9977,8.6579,2.3344,7.6189,453.1193,18.897,-9.600196,-7.776858,1.823338,-0.18853,-0.335742,0.046768,-0.239587,0.105477,,,
171130,C(CCCCC1(SS1)C=O)CCCCS,129824040,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000018_171130.xyz,264.481,264.067628,4.3272,74.766,17.07,1,4,10,0,0,1,1,4,0.909091,180.671847,11.64069,8.551359,13.783613,7.906865,106.345612,0,1,0.147334,-0.300797,0.147334,-0.300797,-47.549660307281,-10.0715,-8.7894,1.2821,7.4072,1.2544,-4.3308,3.0764,3.04834,1.904,0.20482,-0.304953,0.02802,-0.005132,0.011444,0.033152,1.899601,189.122,14970.5,39.8976,52.4617,8.6688,2.4004,10.8248,496.0084,18.5179,-10.071498,-8.789428,1.28207,0.096951,-0.28568,0.040412,0.004155,0.046278,0.403665,0.008415,0.171755
140514,CC/C(=C/CCl)/C(=C\CC=C)/C1=NOC(=C1C=O)C2=C(N(N=C2)/C(=C/C/C=C\CCF)/C)C,173722133,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000019_140514.xyz,472.004,471.208883,7.36042,134.0295,60.92,0,4,13,2,2,0,2,7,0.346154,1073.476001,20.238545,11.515572,26.263822,13.53301,199.542215,0,1,0.155779,-0.297654,0.180972,-0.354739,-97.536449572925,-10.5878,-7.845,2.7428,7.2564,0.7975,-4.02695,3.22945,2.510695,5.716,0.205329,-0.363067,0.03294,0.00087,0.016905,0.03207,1.815418,333.6976,46335.47,62.1908,61.217,10.6052,3.9997,11.2603,766.1605,20.0082,-10.587818,-7.845036,2.742782,0.028524,-0.308688,0.05081,0.003847,0.04561,0.396289,-0.082229,0.166697
123994,C1C2=C(NC(=O)C3=C2C(=CS3)OCC1(F)F)C=O,162755487,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000020_123994.xyz,271.244,271.011471,1.9723,61.9792,59.16,1,4,1,2,2,1,3,7,0.272727,704.111617,9.774333,6.01808,11.337213,3.614516,103.194676,0,1,0.166157,-0.296234,0.284957,-0.485763,-54.972793465796,-11.0606,-8.9147,2.1459,8.5038,1.569,-5.0364,3.4674,3.657687,2.437,0.200641,-0.31946,0.042754,0.001738,0.022246,0.041016,1.849765,154.6976,10090.35,41.3255,46.493,8.361,1.8767,6.0684,396.8961,19.3205,-11.060576,-8.914746,2.14583,0.095034,-0.308082,0.080354,0.011667,0.090043,0.400245,-0.073452,0.180512
174275,C[C@@H]1[C@H]2C(C(C(=O)N1)(C(=O)O2)OCSC)C=O,134964722,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000021_174275.xyz,259.283,259.051444,-0.6789,59.2367,81.7,1,6,4,0,0,2,2,7,0.7,373.707758,10.282494,6.572047,12.378841,4.303059,102.396697,4,1,0.130481,-0.302775,0.349224,-0.456722,-54.552202171556,-10.3023,-7.8807,2.4216,8.2464,0.1534,-4.1999,4.0465,2.179558,6.498,0.214877,-0.295168,0.053992,-0.000882,0.026555,0.054874,1.950364,155.0346,10680.34,31.1484,53.7173,6.8857,2.4929,6.1712,410.8756,18.4449,-10.302329,-7.88074,2.421589,0.060011,-0.271023,0.02332,0.012672,0.095765,0.406271,0.015891,0.151828
290249,C1CSCN1CC=O,19748890,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000022_290249.xyz,131.2,131.040485,0.1916,34.962,20.31,0,3,2,0,0,1,1,3,0.8,80.497855,5.485984,3.824685,6.105313,3.095317,53.237654,0,1,0.133509,-0.30195,0.133509,-0.30195,-25.498854271262,-9.6728,-7.5496,2.1232,7.7561,-0.7226,-3.51675,4.23935,1.458659,5.248,0.210802,-0.29879,0.082473,0.00012,0.041296,0.082353,1.93793,89.4394,3404.89,7.992,43.5916,6.5188,2.0117,5.4954,290.4788,16.3141,-9.672795,-7.549636,2.123159,0.102208,-0.286707,0.138574,0.021114,0.063578,0.406686,0.010837,0.162879
134829,CCC(C1=C(C(=CC=C1)C(F)F)F)NC\2=NC(=N/C(=C/C=O)/C2=C\N(C)C3(CC3)C4=CC=NC=C4)C,170064539,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000023_134829.xyz,495.549,495.224595,4.15842,131.9367,71.01,1,6,9,3,2,1,4,9,0.333333,1359.812362,20.38052,11.788169,25.346122,10.474377,207.166628,1,1,0.144514,-0.298479,0.266176,-0.370013,-105.000887575006,-9.7091,-7.1931,2.516,7.0459,0.462,-3.75395,3.29195,2.140394,8.037,,,,,,,,333.5213,46910.34,,,,,,646.81,21.4496,-9.709108,-7.193121,2.515987,,,,,,,,
288407,CC1=CC=C(C=C1)S(=O)(=O)OC2=C3C(=C(C(=C2CC4=CC(CC4)(C)CC=O)OC)C)COC3=O,19046285,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000024_288407.xyz,484.57,484.155574,4.60814,125.6523,95.97,0,7,8,2,0,2,4,8,0.384615,1289.664604,20.582118,12.539781,24.009144,8.906564,199.394504,1,1,0.120347,-0.303368,0.342265,-0.496027,-101.7002797613,-9.9698,-7.6237,2.3461,7.2561,0.6424,-3.94925,3.30685,2.358222,4.952,0.221589,-0.337168,0.021795,-0.000703,0.010546,0.022498,1.899827,329.8877,45893.08,61.6923,48.9249,9.684,2.0458,10.8915,676.4087,21.1123,-9.969768,-7.623749,2.346019,0.094375,-0.317755,0.050499,0.026613,0.060807,0.403186,-0.036414,0.146507
180532,C(=O)C1(C2C3C(N=C(NC34C(C1OC(C4O)(O2)O)O)N)O)O,156021,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000025_180532.xyz,317.254,317.085914,-5.3132,64.7091,187.09,7,11,1,0,0,5,5,11,0.818182,587.684479,11.026829,6.628372,14.264871,3.761535,122.510204,9,1,0.156609,-0.299916,0.310965,-0.387689,-72.55011309406,-10.2374,-7.2945,2.9429,7.9503,-0.9384,-3.50595,4.44435,1.382844,3.096,0.209953,-0.317016,0.095301,-0.00219,0.046555,0.097491,1.908013,172.4651,14104.19,76.0114,62.6182,7.4333,2.5359,7.7281,419.8134,18.4974,-10.237376,-7.294503,2.942873,0.009418,-0.287252,0.136288,-0.024627,0.103381,0.40712,-0.089979,0.130172
31662,C1=CC(NC=C1)(C=O)N,55285225,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000026_31662.xyz,124.143,124.063663,-0.4866,34.3981,55.12,2,3,1,0,0,1,1,3,0.166667,173.896674,4.87235,2.640403,6.036422,2.027699,53.230199,1,1,0.163575,-0.298816,0.163575,-0.364347,-26.767981073059,-9.5373,-7.5655,1.9718,7.6735,-0.5697,-3.5519,4.1216,1.530473,2.027,0.200251,-0.318822,0.071002,0.002551,0.036776,0.068451,1.930122,88.5944,3227.16,81.3706,50.3011,5.7635,2.5071,4.0866,286.6793,16.3853,-9.537327,-7.565533,1.971794,0.080311,-0.295082,0.118121,0.010961,0.095016,0.402423,0.018415,0.130656
32445,C(=NN(C(=N)N)C(=N)N)C=O,85999199,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000027_32445.xyz,156.149,156.075959,-1.73996,40.2232,132.41,4,4,2,0,0,0,0,7,0.0,194.627823,5.612077,2.551798,9.08,3.986179,62.671375,0,1,0.162378,-0.296777,0.216409,-0.368136,-34.169270671959,-10.2705,-7.7916,2.4789,8.0691,-0.1686,-3.95025,4.11885,1.894276,4.903,0.211802,-0.31955,0.051933,0.0008,0.026367,0.051133,1.901778,99.9923,4242.61,111.7714,50.0844,6.326,1.8253,6.2077,312.5279,16.8979,-10.270518,-7.791597,2.478921,0.118798,-0.30252,-0.084819,-0.082782,0.159236,0.4,-0.013122,0.157337
176270,C(=O)C(=[N+]=[N-])Cl,137302767,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000028_176270.xyz,104.496,103.97774,0.0524,20.5434,53.47,0,1,1,0,0,0,0,4,0.0,104.115713,3.513919,1.514931,5.34,2.570415,39.151248,0,1,0.244151,-0.288641,0.42287,-0.359507,-19.155658074689,-11.3254,-9.3357,1.9897,9.6836,0.7893,-5.23645,4.44715,3.082919,2.843,0.201778,-0.329499,0.028075,0.008054,0.018065,0.020021,1.806632,53.506,1234.21,30.4202,41.7001,4.6374,1.7,3.6004,235.8379,15.3984,-11.325385,-9.335718,1.989667,0.067983,-0.32821,0.066827,0.039094,0.187852,0.40171,-0.13067,0.200818
95146,CC1=CC(=CC(N1)NCC2=CC(=CC(=C2)F)C3=CC(=CNC3)C)N(C)CCC(C=O)(C#N)C4CC4,139332782,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000029_95146.xyz,475.612,475.274739,3.96348,135.8211,80.19,3,6,10,1,0,3,4,7,0.428571,1140.492023,20.696783,12.210414,24.745042,10.490458,206.813281,2,1,0.140081,-0.301589,0.161673,-0.386578,-100.608226682208,-9.1611,-7.1215,2.0396,6.0897,0.4135,-3.2516,2.8381,1.862673,8.423,0.213656,-0.406973,0.020772,-0.000399,0.010186,0.021171,1.742198,345.9154,50392.47,80.4136,76.757,4.8139,3.33,14.8481,764.3008,20.2924,-9.161075,-7.121505,2.03957,0.053918,-0.379638,0.03064,0.003166,0.038458,0.396591,-0.216104,0.150792
