xtb_risk,mean,count
"nitro,selenium",4.20734231175465,4
phosphorus,4.137257010237257,506
boron,2.5268163168793696,257
nitro,2.3878183400417035,1950
selenium,2.33089629448161,104
n_oxide,2.1711258486951777,56
"phosphorus,selenium",2.058824127438808,2
"nitro,phosphorus",1.0658517150759828,4
