std_decile,mean_pred_std,mean_actual_err,n
0,0.3186765948457274,1.663432312630899,1143
1,0.38574205646537313,1.9121687193535064,1143
2,0.4202009913127112,1.9351019906369014,1143
3,0.44352628748377465,2.0198386894360665,1142
4,0.4723782224062284,2.0763395577061092,1143
5,0.5153040344303305,2.256115779966278,1143
6,0.6310204366719191,2.4367234544692886,1142
7,0.9374165475218843,3.093887054674703,1143
8,1.131154857098718,3.7440533381372973,1143
9,1.6039882730584925,3.9323682538963767,1143
