reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.524851984104146,4.27809219268803
aliph-carbo,1.7271693002568855,2.1916063107064754
aliph-hetero,2.494943775544724,3.1220081340955845
carbo-carbo,1.8242871970301255,3.4139317618403004
carbo-hetero,2.0942872062888824,3.181606593839843
hetero-hetero,2.396511214748032,4.284415076083576
