block,n_feats,MAE,RMSE,R2
2D_only,48,2.9052337456363997,3.7092014513588545,0.4543064146243945
aldehydes_only,54,2.7063190338849528,3.489964663999111,0.5169077547959402
product_only,54,2.2364350080480286,2.8903332660380627,0.6686523846637762
donor+acceptor,102,2.720306749898012,3.4882393318484195,0.5173852888889575
all_raw_blocks,140,2.0835463071283624,2.6859154374718113,0.7138638843002113
all+interaction,150,2.106373889665924,2.715494346047259,0.7075269781047102
