reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,2.367645876615245,3.5532453575162184
aliph-carbo,3.3157891979783938,4.753392433581158
aliph-hetero,3.296332859340055,4.565555150973955
carbo-carbo,2.1731430676543844,4.118104595561968
carbo-hetero,2.7929734304338014,5.2919778734315654
hetero-hetero,2.2830855189492647,4.742778561807889
