block,n_feats,MAE,RMSE,R2
2D_only,48,3.5677143549538237,4.830513053532125,0.5244442304909458
aldehydes_only,54,2.9683061375488373,4.128890514017712,0.6525585182487617
product_only,54,2.663705686964356,3.8133927691917386,0.7036274257720336
donor+acceptor,102,2.964670795615434,4.115505838314646,0.6548074778311043
all_raw_blocks,140,2.314874264309903,3.265356533129664,0.7826917824591189
all+interaction,150,2.316032309145487,3.2661852642772446,0.7825814649855716
