id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
HGBPOPCEDHDPKL-UHFFFAOYSA-N__SCPOTVZQCCZBTL-UHFFFAOYSA-N,HGBPOPCEDHDPKL-UHFFFAOYSA-N,SCPOTVZQCCZBTL-UHFFFAOYSA-N,HGBPOPCEDHDPKL-UHFFFAOYSA-N__SCPOTVZQCCZBTL-UHFFFAOYSA-N,hetero-hetero,C1C2=C(C=CC=C2C(N1)C=O)C3=NN(C(=C3)C4=CC(=CC(=C4)Cl)F)C5=CN=CC=C5,CC1(CCCC1)C(C=O)SC2=NC(=CC(=N2)OC)OC,COc1cc(OC)nc(SC(C(O)C(=O)C2NCc3c(-c4cc(-c5cc(F)cc(Cl)c5)n(-c5cccnc5)n4)cccc32)C2(C)CCCC2)n1,-6.4362,2.9519,7.255063951015472,0.5970519338064866,10.206963951015473
KLKAXSANZZPWNP-HZPDHXFCSA-N__ATZAADJHQOJCCT-UHFFFAOYSA-N,KLKAXSANZZPWNP-HZPDHXFCSA-N,ATZAADJHQOJCCT-UHFFFAOYSA-N,ATZAADJHQOJCCT-UHFFFAOYSA-N__KLKAXSANZZPWNP-HZPDHXFCSA-N,hetero-hetero,C[C@@H]1CC[C@H](CN1C2=CC(=CC(=C2N3N=CC=N3)C=O)C)C4=NC5=C(O4)C(=CC=C5)F,COC1=C(C=CC(=C1)CN2CC3=C(C2C=O)C=CN=C3Cl)OCC(F)F,COc1cc(CN2Cc3c(ccnc3Cl)C2C(O)C(=O)c2cc(C)cc(N3CC(c4nc5cccc(F)c5o4)CCC3C)c2-n2nccn2)ccc1OCC(F)F,-12.5408,-2.8926,6.2512926936149595,0.5968503353123243,3.3586926936149597
YOAUJAQFSQQOGE-UHFFFAOYSA-N__YLZGRTNYHJAWLF-RIYZIHGNSA-N,YOAUJAQFSQQOGE-UHFFFAOYSA-N,YLZGRTNYHJAWLF-RIYZIHGNSA-N,YLZGRTNYHJAWLF-RIYZIHGNSA-N__YOAUJAQFSQQOGE-UHFFFAOYSA-N,carbo-hetero,C1=C(C(=CN=C1C(F)(F)F)I)C=O,C1=CC=C(C(=C1)C=O)OC/C(=C/C2=CC(=CC=C2)Cl)/C#N,N#CC(=Cc1cccc(Cl)c1)COc1ccccc1C(O)C(=O)c1cc(C(F)(F)F)ncc1I,-11.0635,3.1511,2.12982214987278,0.5966569600873703,5.280922149872779
IYKOFDTUURXIKT-UHFFFAOYSA-N__AHFNRXMZYGUBTL-UHFFFAOYSA-N,IYKOFDTUURXIKT-UHFFFAOYSA-N,AHFNRXMZYGUBTL-UHFFFAOYSA-N,AHFNRXMZYGUBTL-UHFFFAOYSA-N__IYKOFDTUURXIKT-UHFFFAOYSA-N,carbo-carbo,C1=CC(=CC(=C1)F)CC(C=O)C#N,CC(C=O)C1=CC(=C(C=C1)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])C4=CC=CC=C4)F,CC(c1ccc(N2CCN(C(=O)c3cc([N+](=O)[O-])ccc3-c3ccccc3)CC2)c(F)c1)C(O)C(=O)C(C#N)Cc1cccc(F)c1,-12.4659,2.0749,-2.5503253906965258,0.5965888635457095,-0.4754253906965258
QOCVKBQPEVEQOB-UHFFFAOYSA-N__SQQPTMUNGHSICA-WOJGMQOQSA-N,QOCVKBQPEVEQOB-UHFFFAOYSA-N,SQQPTMUNGHSICA-WOJGMQOQSA-N,QOCVKBQPEVEQOB-UHFFFAOYSA-N__SQQPTMUNGHSICA-WOJGMQOQSA-N,carbo-hetero,CS(=O)C1=CN(C2=C1C(=CC(=C2)C=O)N3CCCCCN3)C4=NC=C(C=N4)C5=CC=CC=C5F,CC(=O)OC/C(=C\C1=CC=C(C=C1)C=O)/C2=CC=CC=C2,CC(=O)OCC(=Cc1ccc(C(O)C(=O)c2cc(N3CCCCCN3)c3c(S(C)=O)cn(-c4ncc(-c5ccccc5F)cn4)c3c2)cc1)c1ccccc1,-8.7551,2.2528,3.7424528896808624,0.5965058619458242,5.995252889680863
RAYGZDZFBQXWAF-UHFFFAOYSA-N__PCOBZJQJHKMFSO-UHFFFAOYSA-N,RAYGZDZFBQXWAF-UHFFFAOYSA-N,PCOBZJQJHKMFSO-UHFFFAOYSA-N,PCOBZJQJHKMFSO-UHFFFAOYSA-N__RAYGZDZFBQXWAF-UHFFFAOYSA-N,carbo-carbo,C1=CC=C2C(=C1)C=CC=C2COC3=CC=C(C=C3)C=O,COC1=CC(=CC(=C1OS(=O)(=O)C(F)(F)F)C=O)Cl,COc1cc(Cl)cc(C(O)C(=O)c2ccc(OCc3cccc4ccccc34)cc2)c1OS(=O)(=O)C(F)(F)F,-13.6716,-2.834,2.5811667501926423,0.5964617865718649,-0.2528332498073578
ZKDZPGWKPHOQPJ-LJQANCHMSA-N__DKSZCJNEBSTITI-UHFFFAOYSA-N,ZKDZPGWKPHOQPJ-LJQANCHMSA-N,DKSZCJNEBSTITI-UHFFFAOYSA-N,DKSZCJNEBSTITI-UHFFFAOYSA-N__ZKDZPGWKPHOQPJ-LJQANCHMSA-N,carbo-carbo,C[C@@H](CCO[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C(C)(C)C)CC=O,CC1CN2CCCCC2CN1C3=C(C(=CC=C3)F)C=O,CC(CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CC(=O)C(O)c1c(F)cccc1N1CC2CCCCN2CC1C,-6.5714,-1.7787,7.352739250659942,0.5956442751776734,5.5740392506599425
DPPNRIWLXAUVAL-UHFFFAOYSA-N__CWPCCQLMHHCHLZ-CYBMUJFWSA-N,DPPNRIWLXAUVAL-UHFFFAOYSA-N,CWPCCQLMHHCHLZ-CYBMUJFWSA-N,CWPCCQLMHHCHLZ-CYBMUJFWSA-N__DPPNRIWLXAUVAL-UHFFFAOYSA-N,hetero-hetero,CC1=CC(=C(C=C1)F)C2=CC(=NO2)C=O,CC1=NSC(=C1)NC2=CC(=C(C=C2C(=O)N)F)N([C@H](CC3=CN=CC=C3)C=O)N,Cc1ccc(F)c(-c2cc(C(=O)C(O)C(Cc3cccnc3)N(N)c3cc(Nc4cc(C)ns4)c(C(N)=O)cc3F)no2)c1,-15.84,-4.4299,3.7823340952396394,0.5956394251386922,-0.6475659047603606
IOZYZECHDHBKNO-UHFFFAOYSA-N__HLMPRBVUIFGDTB-UHFFFAOYSA-N,IOZYZECHDHBKNO-UHFFFAOYSA-N,HLMPRBVUIFGDTB-UHFFFAOYSA-N,HLMPRBVUIFGDTB-UHFFFAOYSA-N__IOZYZECHDHBKNO-UHFFFAOYSA-N,hetero-hetero,CC(C)NC(=O)C1CCC(CC1)N2C3=CC(=NC=C3N=C2NC(=O)C4=CC=C(C=C4)F)OCC=O,CC1(OCC2=C(O1)C(=NC=C2COC3=CC=C(C=C3)F)C=O)C,CC(C)NC(=O)C1CCC(n2c(NC(=O)c3ccc(F)cc3)nc3cnc(OCC(=O)C(O)c4ncc(COc5ccc(F)cc5)c5c4OC(C)(C)OC5)cc32)CC1,-10.6886,-3.3403,5.501553159952164,0.5955080738539535,2.161253159952164
LWSGVKXGZSGFDG-SMDDNHRTSA-N__PZFGCEANTZEKHN-UHFFFAOYSA-N,LWSGVKXGZSGFDG-SMDDNHRTSA-N,PZFGCEANTZEKHN-UHFFFAOYSA-N,LWSGVKXGZSGFDG-SMDDNHRTSA-N__PZFGCEANTZEKHN-UHFFFAOYSA-N,carbo-hetero,C[C@H]1CC(=CC[C@@H]1C=O)C2=CC=CC=C2,COC1=CC(=NC(=N1)SC(CC2=CC=CC=C2)C=O)OC,COc1cc(OC)nc(SC(Cc2ccccc2)C(O)C(=O)C2CC=C(c3ccccc3)CC2C)n1,-13.07,-1.2253,3.4409362256526945,0.5954809903086252,2.2156362256526947
