frac,n_pairs,n_rows,MAE,RMSE,R2,gxtb_MAE
0.25,3149,6295,2.324325723691734,3.1372558067248724,0.7181829382728498,4.32104384367268
0.5,6298,12587,2.2692886446352487,3.071682069376712,0.723850066899915,4.272287831546235
0.75,9448,18882,2.260498647591492,3.0765818623232777,0.7364429774564183,4.285471537764442
1.0,12597,25176,2.304225211302691,4.394766934421986,0.4643040322287151,4.291958847046688
