id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,reaction_type,is_homo,xtb_optimized,error,xyz_file,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,G_donor,G_acceptor,G_xtb,dG_xtb_kcal,G_donor_gxtb,G_acceptor_gxtb,G_gxtb,dG_gxtb_kcal
ROQHKWRNTPSMHC-UHFFFAOYSA-N__HVLHVNIQXNNWNH-UHFFFAOYSA-N,ROQHKWRNTPSMHC-UHFFFAOYSA-N,HVLHVNIQXNNWNH-UHFFFAOYSA-N,O=CC1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O,O=CC(OP(=O)(O)O)C(O)(O)OP(=O)(O)O,O=C(C(O)C(OP(=O)(O)O)C(O)(O)OP(=O)(O)O)C1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_ROQHKWRNTPSMHC-UHFFFAOYSA-N__HVLHVNIQXNNWNH-UHFFFAOYSA-N.xyz,-120.947913182185,-10.1211,-7.6053,2.5158,7.5797,0.6314,-4.10555,3.47415,2.425851,4.154,0.214021,-0.348979,0.080131,-0.421823,0.316731,1.837749,0.936777,1.012858,0.063984,0.010896,0.03744,0.053088,-0.001692,0.003534,0.000921,-0.005226,63.1834,76.9265,68.4734,5.3316,2.0649,8.4873,621.0804,21.6823,4.011,48.7519,-134.9876,,,,,,,,,,,,,,,,,-60.124287593622,-60.56541516361,-120.718393895539,-18.004,-1367.277471151263,-1629.625735686791,-2996.8896251572933,8.5226
HVLHVNIQXNNWNH-UHFFFAOYSA-N__ROQHKWRNTPSMHC-UHFFFAOYSA-N,HVLHVNIQXNNWNH-UHFFFAOYSA-N,ROQHKWRNTPSMHC-UHFFFAOYSA-N,O=CC(OP(=O)(O)O)C(O)(O)OP(=O)(O)O,O=CC1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O,O=C(C(O)C1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O)C(OP(=O)(O)O)C(O)(O)OP(=O)(O)O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_HVLHVNIQXNNWNH-UHFFFAOYSA-N__ROQHKWRNTPSMHC-UHFFFAOYSA-N.xyz,-120.935035014607,-10.4364,-8.2468,2.1896,7.8666,0.9754,-4.421,3.4456,2.836261,1.334,0.207108,-0.318963,0.083557,-0.432383,0.319104,1.840949,0.970544,1.024559,0.076453,0.001435,0.038944,0.075018,-0.004294,-0.000524,-0.002409,-0.00377,64.9174,80.5057,72.4498,8.8301,2.8962,9.6536,642.8291,21.6139,3.8445,67.0641,175.4606,,,,,,,,,,,,,,,,,-60.56541516361,-60.124287593622,-120.710823087555,-13.2532,-1629.625735686791,-1367.277471151263,-2996.90955925251,-3.9862
RYAMCTTZOYCZAF-XQRVVYSFSA-N__MMGCUBAUXNSZDW-UMOJZNBSSA-N,RYAMCTTZOYCZAF-XQRVVYSFSA-N,MMGCUBAUXNSZDW-UMOJZNBSSA-N,N#CC1OOC(/C=C\CCCCC=O)O1,C=CCOC/C=C\[C@@H](OC(C)=O)[C@@H]1O[C@@H]1C=O,C=CCOCC=CC(OC(C)=O)C1OC1C(O)C(=O)CCCCC=CC1OOC(C#N)O1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_RYAMCTTZOYCZAF-XQRVVYSFSA-N__MMGCUBAUXNSZDW-UMOJZNBSSA-N.xyz,-101.194700204897,-11.0736,-7.4384,3.6352,7.8725,0.5381,-4.2053,3.6672,2.411179,5.534,0.220975,-0.348051,0.083446,-0.437279,0.321967,1.854075,0.944212,1.017034,0.049443,0.009839,0.029641,0.039604,-0.00232,0.007314,0.002497,-0.009634,44.9627,64.2285,64.1825,8.0915,2.6734,10.0926,810.8142,18.2896,2.0773,115.201,15.8247,,,,,,,,,,,,,,,,,-46.914121704902,-53.901303931974,-100.845078218838,-18.6073,-744.2440856055749,-842.762544353999,-1587.014039917287,-4.6498
MMGCUBAUXNSZDW-UMOJZNBSSA-N__RYAMCTTZOYCZAF-XQRVVYSFSA-N,MMGCUBAUXNSZDW-UMOJZNBSSA-N,RYAMCTTZOYCZAF-XQRVVYSFSA-N,C=CCOC/C=C\[C@@H](OC(C)=O)[C@@H]1O[C@@H]1C=O,N#CC1OOC(/C=C\CCCCC=O)O1,C=CCOCC=CC(OC(C)=O)C1OC1C(=O)C(O)CCCCC=CC1OOC(C#N)O1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_MMGCUBAUXNSZDW-UMOJZNBSSA-N__RYAMCTTZOYCZAF-XQRVVYSFSA-N.xyz,-101.192869710825,-10.9781,-7.7873,3.1908,7.8007,0.6834,-4.24205,3.55865,2.528345,4.213,0.205959,-0.344341,0.096724,-0.439603,0.309949,1.849687,0.955598,1.009668,0.05837,0.01325,0.03581,0.04512,-0.00135,0.006534,0.002592,-0.007884,39.1001,63.0841,66.1998,11.2004,2.4208,9.5489,798.3434,18.356,3.9152,59.5226,-145.8007,,,,,,,,,,,,,,,,,-53.901303931974,-46.914121704902,-100.8383942164,-14.413,-842.762544353999,-744.2440856055749,-1587.006530544328,0.0624
AZILMBHGTWLNPG-UHFFFAOYSA-N__XFAVKRDNHKFRRI-UHFFFAOYSA-N,AZILMBHGTWLNPG-UHFFFAOYSA-N,XFAVKRDNHKFRRI-UHFFFAOYSA-N,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF,CC(C)CNC(=O)CCN(C)C(=O)C(CC(O)C(=O)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F)SF,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_AZILMBHGTWLNPG-UHFFFAOYSA-N__XFAVKRDNHKFRRI-UHFFFAOYSA-N.xyz,-123.288684003742,-10.6036,-8.3593,2.2443,8.0979,1.0282,-4.56305,3.53485,2.945164,17.719,0.21597,-0.253739,0.084408,-0.46291,0.392288,1.911906,0.975597,0.986163,0.063666,0.004032,0.033849,0.059634,-0.006767,-0.003217,-0.004992,-0.00355,77.477,71.9723,81.0997,9.33,4.1158,9.7845,729.2908,20.1369,4.2964,32.7797,-168.4336,,,,,,,,,,,,,,,,,-60.772727683006,-62.212999864468,-123.016367711559,-19.227,-1842.06354286639,-1302.902601551106,-3144.933855524674,20.2616
BPSFXGOPWGQITK-OQJHAAMPSA-N__MFRJYRMZPFBRPI-ZETCQYMHSA-N,BPSFXGOPWGQITK-OQJHAAMPSA-N,MFRJYRMZPFBRPI-ZETCQYMHSA-N,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O,NCC(=O)OCC1SC(CC(=O)C(O)C(N)(C(=O)O)C(=O)CCN=C(N)N)SC1COC(=O)CN,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_BPSFXGOPWGQITK-OQJHAAMPSA-N__MFRJYRMZPFBRPI-ZETCQYMHSA-N.xyz,-114.476005987443,-10.0231,-7.6032,2.4199,6.9074,0.6826,-3.795,3.1124,2.313653,6.136,0.228451,-0.321097,0.091905,-0.422288,0.324467,1.837605,0.952787,1.021546,0.020464,5.6e-05,0.01026,0.020408,-0.000884,0.000115,-0.000385,-0.000999,54.01,80.543,74.0397,6.5045,2.9788,8.5297,694.4826,20.5875,2.4991,95.8584,-40.146,,,,,,,,,,,,,,,,,-65.1837806209,-48.908360892228,-114.113067232246,-13.1311,-1711.837249691814,-793.809768346716,-2505.651873552088,-3.0469
XFAVKRDNHKFRRI-UHFFFAOYSA-N__AZILMBHGTWLNPG-UHFFFAOYSA-N,XFAVKRDNHKFRRI-UHFFFAOYSA-N,AZILMBHGTWLNPG-UHFFFAOYSA-N,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC(C)CNC(=O)CCN(C)C(=O)C(CC(=O)C(O)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F)SF,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_XFAVKRDNHKFRRI-UHFFFAOYSA-N__AZILMBHGTWLNPG-UHFFFAOYSA-N.xyz,-123.310414463519,-10.9112,-8.4312,2.48,8.1854,1.0311,-4.60825,3.57715,2.96828,15.475,0.215516,-0.33042,0.080557,-0.504318,0.383614,1.859391,0.935311,1.013488,0.071998,0.005075,0.038537,0.066923,-0.00184,-0.001123,-0.001482,-0.000717,52.163,81.4433,86.6299,7.8612,3.5565,7.333,642.0722,21.3167,2.8076,73.9993,22.0241,,,,,,,,,,,,,,,,,-62.212999864468,-60.772727683006,-123.026850529717,-25.8051,-1302.902601551106,-1842.06354286639,-3144.985206592181,-11.9617
MFRJYRMZPFBRPI-ZETCQYMHSA-N__BPSFXGOPWGQITK-OQJHAAMPSA-N,MFRJYRMZPFBRPI-ZETCQYMHSA-N,BPSFXGOPWGQITK-OQJHAAMPSA-N,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN,NCC(=O)OCC1SC(CC(O)C(=O)C(N)(C(=O)O)C(=O)CCN=C(N)N)SC1COC(=O)CN,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_MFRJYRMZPFBRPI-ZETCQYMHSA-N__BPSFXGOPWGQITK-OQJHAAMPSA-N.xyz,-114.468189632072,-9.8611,-7.4838,2.3773,6.9008,0.5722,-3.7365,3.1643,2.206085,5.722,0.216277,-0.324462,0.08371,-0.433916,0.300385,1.895953,0.934126,0.986696,0.033937,0.004764,0.01935,0.029173,-0.002864,0.000199,-0.001332,-0.003063,105.4409,79.8907,84.7681,8.9011,2.7011,10.9225,677.5123,20.9092,3.0008,89.4165,-89.4131,,,,,,,,,,,,,,,,,-48.908360892228,-65.1837806209,-114.110520418368,-11.5329,-793.809768346716,-1711.837249691814,-2505.6444691093457,1.5995
GEIHNNGRDSIJKQ-UHFFFAOYSA-N__JPMCDMYCTIBYFQ-DNVGACMVSA-N,GEIHNNGRDSIJKQ-UHFFFAOYSA-N,JPMCDMYCTIBYFQ-DNVGACMVSA-N,O=CC12C3CCC1C2C(=O)C3,CC1(C)O[C@H]2O[C@@H]3C(C=O)O[C@H]4CC(=O)O[C@]43[C@H]2O1,CC1(C)OC2OC3C(C(O)C(=O)C45C6CCC4C5C(=O)C6)OC4CC(=O)OC43C2O1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_GEIHNNGRDSIJKQ-UHFFFAOYSA-N__JPMCDMYCTIBYFQ-DNVGACMVSA-N.xyz,-93.883479224593,-11.1192,-7.8004,3.3188,8.2122,0.5675,-4.38985,3.82235,2.520803,6.27,0.21521,-0.375305,0.089687,-0.428213,0.323761,1.789092,0.944461,1.023235,0.060986,0.00647,0.033728,0.054516,-0.002127,0.005386,0.00163,-0.007513,41.1206,71.3689,70.0254,7.4107,2.5454,8.5069,587.2632,19.7013,2.1325,111.6105,-29.0209,,,,,,,,,,,,,,,,,-32.366180145135,-61.166410883524,-93.557999565035,-15.9441,-499.285657375466,-992.150482076303,-1491.430625649033,3.46
JPMCDMYCTIBYFQ-DNVGACMVSA-N__GEIHNNGRDSIJKQ-UHFFFAOYSA-N,JPMCDMYCTIBYFQ-DNVGACMVSA-N,GEIHNNGRDSIJKQ-UHFFFAOYSA-N,CC1(C)O[C@H]2O[C@@H]3C(C=O)O[C@H]4CC(=O)O[C@]43[C@H]2O1,O=CC12C3CCC1C2C(=O)C3,CC1(C)OC2OC3C(C(=O)C(O)C45C6CCC4C5C(=O)C6)OC4CC(=O)OC43C2O1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_JPMCDMYCTIBYFQ-DNVGACMVSA-N__GEIHNNGRDSIJKQ-UHFFFAOYSA-N.xyz,-93.880846901099,-10.9114,-8.2094,2.702,8.1922,0.6277,-4.40995,3.78225,2.570911,5.423,0.202868,-0.342086,0.0983,-0.4287,0.313298,1.858728,0.965044,1.009627,0.078115,0.007394,0.042755,0.070721,-0.003485,0.0023,-0.000592,-0.005785,35.5832,78.9892,75.0856,6.9479,2.9742,8.2627,579.0031,19.5794,2.2367,108.8289,-22.6888,,,,,,,,,,,,,,,,,-61.166410883524,-32.366180145135,-93.553909183342,-13.3773,-992.150482076303,-499.285657375466,-1491.4300524863602,3.8196
