id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,reaction_type,is_homo,xtb_optimized,error,xyz_file,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,G_donor,G_acceptor,G_xtb,dG_xtb_kcal,G_donor_gxtb,G_acceptor_gxtb,G_gxtb,dG_gxtb_kcal
RIJFEOICYLBHNO-UHFFFAOYSA-N__NAXMMJARHAXCCD-BQBZGAKWSA-N,RIJFEOICYLBHNO-UHFFFAOYSA-N,NAXMMJARHAXCCD-BQBZGAKWSA-N,O=CC12CC3CC1CC(Br)(C2)C31OCCO1,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O,NC(CC(=O)O)C(=O)N1CCCC1C(O)C(=O)C12CC3CC1CC(Br)(C2)C31OCCO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_RIJFEOICYLBHNO-UHFFFAOYSA-N__NAXMMJARHAXCCD-BQBZGAKWSA-N.xyz,-98.26760244385,-10.3769,-7.3179,3.059,7.4587,-0.1026,-3.67805,3.78065,1.789117,6.177,0.231107,-0.374991,0.088917,-0.434309,0.316001,1.823063,0.955212,1.010936,0.077918,0.002864,0.040391,0.075054,-0.004422,0.001405,-0.001508,-0.005827,74.9507,83.8771,77.4326,6.0067,2.6712,8.4866,615.717,20.1129,2.1534,110.8218,-34.4821,,,,,,,,,,,,,,,,,-49.484730550992,-48.386819747945,-97.890275790463,-11.7504,-3265.811571242808,-761.6712949786829,-4027.487063050374,-2.6335
NAXMMJARHAXCCD-BQBZGAKWSA-N__RIJFEOICYLBHNO-UHFFFAOYSA-N,NAXMMJARHAXCCD-BQBZGAKWSA-N,RIJFEOICYLBHNO-UHFFFAOYSA-N,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O,O=CC12CC3CC1CC(Br)(C2)C31OCCO1,NC(CC(=O)O)C(=O)N1CCCC1C(=O)C(O)C12CC3CC1CC(Br)(C2)C31OCCO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_NAXMMJARHAXCCD-BQBZGAKWSA-N__RIJFEOICYLBHNO-UHFFFAOYSA-N.xyz,-98.269068943502,-10.4475,-7.4579,2.9896,7.3362,-0.1646,-3.5858,3.7504,1.714212,5.155,0.219684,-0.342073,0.09168,-0.455646,0.329376,1.877948,0.957735,1.010464,0.080799,0.00846,0.044629,0.072339,-0.005823,0.000526,-0.002648,-0.006349,81.9604,79.3299,76.1083,6.6366,2.9809,8.0921,625.2372,20.1687,3.4912,83.0969,148.7053,,,,,,,,,,,,,,,,,-48.386819747945,-49.484730550992,-97.891274429386,-12.3771,-761.6712949786829,-3265.811571242808,-4027.485032704109,-1.3595
AZILMBHGTWLNPG-UHFFFAOYSA-N__XFAVKRDNHKFRRI-UHFFFAOYSA-N,AZILMBHGTWLNPG-UHFFFAOYSA-N,XFAVKRDNHKFRRI-UHFFFAOYSA-N,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF,CC(C)CNC(=O)CCN(C)C(=O)C(CC(O)C(=O)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F)SF,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_AZILMBHGTWLNPG-UHFFFAOYSA-N__XFAVKRDNHKFRRI-UHFFFAOYSA-N.xyz,-123.288684003742,-10.6036,-8.3593,2.2443,8.0979,1.0282,-4.56305,3.53485,2.945164,17.719,0.21597,-0.253739,0.084408,-0.46291,0.392288,1.911906,0.975597,0.986163,0.063666,0.004032,0.033849,0.059634,-0.006767,-0.003217,-0.004992,-0.00355,77.477,71.9723,81.0997,9.33,4.1158,9.7845,729.2908,20.1369,4.2964,32.7797,-168.4336,,,,,,,,,,,,,,,,,-60.772727683006,-62.212999864468,-123.016367711559,-19.227,-1842.06354286639,-1302.902601551106,-3144.933855524674,20.2616
BPSFXGOPWGQITK-OQJHAAMPSA-N__MFRJYRMZPFBRPI-ZETCQYMHSA-N,BPSFXGOPWGQITK-OQJHAAMPSA-N,MFRJYRMZPFBRPI-ZETCQYMHSA-N,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O,NCC(=O)OCC1SC(CC(=O)C(O)C(N)(C(=O)O)C(=O)CCN=C(N)N)SC1COC(=O)CN,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_BPSFXGOPWGQITK-OQJHAAMPSA-N__MFRJYRMZPFBRPI-ZETCQYMHSA-N.xyz,-114.476005987443,-10.0231,-7.6032,2.4199,6.9074,0.6826,-3.795,3.1124,2.313653,6.136,0.228451,-0.321097,0.091905,-0.422288,0.324467,1.837605,0.952787,1.021546,0.020464,5.6e-05,0.01026,0.020408,-0.000884,0.000115,-0.000385,-0.000999,54.01,80.543,74.0397,6.5045,2.9788,8.5297,694.4826,20.5875,2.4991,95.8584,-40.146,,,,,,,,,,,,,,,,,-65.1837806209,-48.908360892228,-114.113067232246,-13.1311,-1711.837249691814,-793.809768346716,-2505.651873552088,-3.0469
XFAVKRDNHKFRRI-UHFFFAOYSA-N__AZILMBHGTWLNPG-UHFFFAOYSA-N,XFAVKRDNHKFRRI-UHFFFAOYSA-N,AZILMBHGTWLNPG-UHFFFAOYSA-N,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC(C)CNC(=O)CCN(C)C(=O)C(CC(=O)C(O)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F)SF,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_XFAVKRDNHKFRRI-UHFFFAOYSA-N__AZILMBHGTWLNPG-UHFFFAOYSA-N.xyz,-123.310414463519,-10.9112,-8.4312,2.48,8.1854,1.0311,-4.60825,3.57715,2.96828,15.475,0.215516,-0.33042,0.080557,-0.504318,0.383614,1.859391,0.935311,1.013488,0.071998,0.005075,0.038537,0.066923,-0.00184,-0.001123,-0.001482,-0.000717,52.163,81.4433,86.6299,7.8612,3.5565,7.333,642.0722,21.3167,2.8076,73.9993,22.0241,,,,,,,,,,,,,,,,,-62.212999864468,-60.772727683006,-123.026850529717,-25.8051,-1302.902601551106,-1842.06354286639,-3144.985206592181,-11.9617
MFRJYRMZPFBRPI-ZETCQYMHSA-N__BPSFXGOPWGQITK-OQJHAAMPSA-N,MFRJYRMZPFBRPI-ZETCQYMHSA-N,BPSFXGOPWGQITK-OQJHAAMPSA-N,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN,NCC(=O)OCC1SC(CC(O)C(=O)C(N)(C(=O)O)C(=O)CCN=C(N)N)SC1COC(=O)CN,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_MFRJYRMZPFBRPI-ZETCQYMHSA-N__BPSFXGOPWGQITK-OQJHAAMPSA-N.xyz,-114.468189632072,-9.8611,-7.4838,2.3773,6.9008,0.5722,-3.7365,3.1643,2.206085,5.722,0.216277,-0.324462,0.08371,-0.433916,0.300385,1.895953,0.934126,0.986696,0.033937,0.004764,0.01935,0.029173,-0.002864,0.000199,-0.001332,-0.003063,105.4409,79.8907,84.7681,8.9011,2.7011,10.9225,677.5123,20.9092,3.0008,89.4165,-89.4131,,,,,,,,,,,,,,,,,-48.908360892228,-65.1837806209,-114.110520418368,-11.5329,-793.809768346716,-1711.837249691814,-2505.6444691093457,1.5995
JDJXXRJSUJZYDJ-OSMVPFSASA-N__FFXUFIFANUIOHE-UHFFFAOYSA-N,JDJXXRJSUJZYDJ-OSMVPFSASA-N,FFXUFIFANUIOHE-UHFFFAOYSA-N,CC(=O)N[C@@H](C=O)[C@@H](O)[C@@H](OS(=O)(=O)O)[C@H](O)COS(=O)(=O)O,CCOC(=O)CC1(C=O)C=CN(C(=O)OC)C=C1,CCOC(=O)CC1(C(O)C(=O)C(NC(C)=O)C(O)C(OS(=O)(=O)O)C(O)COS(=O)(=O)O)C=CN(C(=O)OC)C=C1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_JDJXXRJSUJZYDJ-OSMVPFSASA-N__FFXUFIFANUIOHE-UHFFFAOYSA-N.xyz,-139.754793173591,-11.061,-8.5291,2.5319,7.9156,1.3559,-4.63575,3.27985,3.276092,20.554,0.212228,-0.334307,0.075268,-0.436779,0.334382,1.851225,0.985845,0.989596,0.055721,0.000642,0.028181,0.055079,-0.004585,0.004339,-0.000123,-0.008924,51.0264,79.4388,81.66,7.8205,5.3456,8.5823,785.9288,20.9375,3.7755,70.5478,167.5541,,,,,,,,,,,,,,,,,-82.9526923812,-56.429515527968,-139.405145206483,-14.3934,-2067.6554796430287,-897.027140937014,-2964.67725441285,3.3673
FFXUFIFANUIOHE-UHFFFAOYSA-N__JDJXXRJSUJZYDJ-OSMVPFSASA-N,FFXUFIFANUIOHE-UHFFFAOYSA-N,JDJXXRJSUJZYDJ-OSMVPFSASA-N,CCOC(=O)CC1(C=O)C=CN(C(=O)OC)C=C1,CC(=O)N[C@@H](C=O)[C@@H](O)[C@@H](OS(=O)(=O)O)[C@H](O)COS(=O)(=O)O,CCOC(=O)CC1(C(=O)C(O)C(NC(C)=O)C(O)C(OS(=O)(=O)O)C(O)COS(=O)(=O)O)C=CN(C(=O)OC)C=C1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_FFXUFIFANUIOHE-UHFFFAOYSA-N__JDJXXRJSUJZYDJ-OSMVPFSASA-N.xyz,-139.777881677838,-10.4889,-7.6324,2.8565,7.7115,0.2202,-3.96585,3.74565,2.099498,8.639,0.229197,-0.347353,0.08083,-0.466592,0.336262,1.850874,0.95589,1.011677,0.059816,0.00697,0.033393,0.052846,-0.003527,0.001934,-0.000797,-0.005461,63.5048,82.9563,80.0229,9.6001,5.0186,9.1209,752.6194,21.2552,1.9767,118.152,-7.0459,,,,,,,,,,,,,,,,,-56.429515527968,-82.9526923812,-139.401200288305,-11.9179,-897.027140937014,-2067.6554796430287,-2964.683507027461,-0.5563
AKYQNKFCBYNIMA-UHFFFAOYSA-N__XJCGMVKVVSVDJW-WXLQGSQKSA-N,AKYQNKFCBYNIMA-UHFFFAOYSA-N,XJCGMVKVVSVDJW-WXLQGSQKSA-N,O=CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,COCO[C@@H]1COC(=O)/C1=C/CC(C)(C)C=O,COCOC1COC(=O)C1=CCC(C)(C)C(O)C(=O)C(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_AKYQNKFCBYNIMA-UHFFFAOYSA-N__XJCGMVKVVSVDJW-WXLQGSQKSA-N.xyz,-129.417750348862,-9.7942,-7.6063,2.1879,7.0255,0.8674,-3.94645,3.07905,2.529103,8.005,0.224719,-0.347474,0.084512,-0.44487,0.323144,1.861226,0.970317,1.022269,0.036564,2e-05,0.018292,0.036544,-0.002682,0.00117,-0.000756,-0.003852,49.4336,80.3922,79.5087,8.8137,2.6971,9.6463,782.6084,19.894,3.8274,66.6881,-157.708,,,,,,,,,,,,,,,,,-74.012411514727,-54.980976685724,-129.011459752761,-11.3401,-1215.268975246432,-843.9995976600819,-2059.265032770338,2.2215
XJCGMVKVVSVDJW-WXLQGSQKSA-N__AKYQNKFCBYNIMA-UHFFFAOYSA-N,XJCGMVKVVSVDJW-WXLQGSQKSA-N,AKYQNKFCBYNIMA-UHFFFAOYSA-N,COCO[C@@H]1COC(=O)/C1=C/CC(C)(C)C=O,O=CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,COCOC1COC(=O)C1=CCC(C)(C)C(=O)C(O)C(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_XJCGMVKVVSVDJW-WXLQGSQKSA-N__AKYQNKFCBYNIMA-UHFFFAOYSA-N.xyz,-129.417552320704,-9.8797,-7.425,2.4547,7.0994,0.7186,-3.909,3.1904,2.394728,6.807,0.228799,-0.343213,0.099265,-0.447223,0.3355,1.856836,0.958738,1.016337,0.032693,0.003608,0.01815,0.029085,-0.004278,0.001669,-0.001304,-0.005947,63.1592,80.3718,81.2494,11.5117,3.877,8.4027,804.7978,19.7164,4.2358,33.866,-144.3574,,,,,,,,,,,,,,,,,-54.980976685724,-74.012411514727,-129.014917835441,-13.51,-843.9995976600819,-1215.268975246432,-2059.267167299516,0.882
