bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
70.97,-1337.1521418547838,-421.33657025089,-915.702473878392,,GDIWKKVMJAAJFJ-IYSWYEEDSA-N__OOTDFPIDAKVGGK-JTQLQIEISA-N
63.283,-1337.14336843125,-914.502572426238,-422.539947377082,,OOTDFPIDAKVGGK-JTQLQIEISA-N__GDIWKKVMJAAJFJ-IYSWYEEDSA-N
76.046,-1585.023940765259,-966.262969580446,-618.639783552499,,RQSRKOAPJYMURR-UHFFFAOYSA-N__UDOIRGIJZBPKSW-UHFFFAOYSA-N
69.79,-3898.9002964824494,-488.280631104986,-3410.508448015199,,MKNXEFLFSSONOR-UHFFFAOYSA-N__LTNIQXHKDLGBTC-UHFFFAOYSA-N
66.683,-3898.896577808677,-3409.311486319283,-489.478825204059,,LTNIQXHKDLGBTC-UHFFFAOYSA-N__MKNXEFLFSSONOR-UHFFFAOYSA-N
65.856,-1585.01024105802,-617.442033544918,-967.463258927324,,UDOIRGIJZBPKSW-UHFFFAOYSA-N__RQSRKOAPJYMURR-UHFFFAOYSA-N
66.845,-1870.654370304412,-608.219495956876,-1262.328350659498,,BWHYEHMIIIZEIX-UHFFFAOYSA-N__QVRSPAQHKBFUFO-GFCCVEGCSA-N
66.242,-1870.6534795252269,-1261.13362535395,-609.414290624073,,QVRSPAQHKBFUFO-GFCCVEGCSA-N__BWHYEHMIIIZEIX-UHFFFAOYSA-N
58.315,-1731.193643887668,-1340.896461215252,-390.204252555026,,CWVATGIFMAYNIT-MTWMTYEUSA-N__XWODDVVXQUHRJR-UHFFFAOYSA-N
58.439,-1731.192616656306,-389.008131217176,-1342.09135634318,,XWODDVVXQUHRJR-UHFFFAOYSA-N__CWVATGIFMAYNIT-MTWMTYEUSA-N
37.312,-3250.1115484859247,-1571.831397147697,-1678.220690344767,,NHFKSWRSCSIUNI-UHFFFAOYSA-N__PENOXPRGVKSVCI-NRFANRHFSA-N
27.226,-2592.477828600799,-1371.451562867236,-1220.982877996653,,PNTVHTLNMIMGQX-VJTXAYNASA-N__XFZPIFCSGRJZPW-HNNXBMFYSA-N
72.25,-1843.259354293476,-424.441505496863,-1418.702711855611,,HPUGSIYPXPXOAP-UHFFFAOYSA-N__JRQLPRFIDGVAJC-XJFOESAGSA-N
33.324,-3250.113034195147,-1677.027461188098,-1573.032468015164,,PENOXPRGVKSVCI-NRFANRHFSA-N__NHFKSWRSCSIUNI-UHFFFAOYSA-N
30.702,-2592.494945391439,-1219.783497881095,-1372.662520872697,,XFZPIFCSGRJZPW-HNNXBMFYSA-N__PNTVHTLNMIMGQX-VJTXAYNASA-N
70.773,-1843.2604156287161,-1417.49983704985,-425.647795028054,,JRQLPRFIDGVAJC-XJFOESAGSA-N__HPUGSIYPXPXOAP-UHFFFAOYSA-N
74.36,-1233.218680811612,-383.208105162868,-849.892075196821,,HCNKYBNHDIUTPL-GOHHTPAQSA-N__DYZIQTVVTMAPCS-UHFFFAOYSA-N
72.092,-1233.217158801819,-848.696869108693,-384.405403229666,,DYZIQTVVTMAPCS-UHFFFAOYSA-N__HCNKYBNHDIUTPL-GOHHTPAQSA-N
39.486,-4065.6490373452857,-2400.668340424077,-1664.917772256184,,UFIQRFLRSNGYOL-JBZHPUCOSA-N__REUMVVMGZSNYLS-UHFFFAOYSA-N
29.417,-4065.68492567077,-1663.760759102955,-2401.877286805889,,REUMVVMGZSNYLS-UHFFFAOYSA-N__UFIQRFLRSNGYOL-JBZHPUCOSA-N
69.176,-1844.028524506905,-1066.839894559908,-777.07839163639,,PKZDQGPFJAPIPR-VIFPVBQESA-N__URXDAMPUPROUAR-UHFFFAOYSA-N
56.42,-2202.9275386609097,-1001.810235602351,-1201.027391687646,,OAUALLNOILEBAR-HOCLYGCPSA-N__PBBXDZWJRGBNTI-GJZGRUSLSA-N
56.935,-2202.924481814559,-1199.827008166878,-1003.00674255033,,PBBXDZWJRGBNTI-GJZGRUSLSA-N__OAUALLNOILEBAR-HOCLYGCPSA-N
66.383,-1844.040860726266,-775.884740802632,-1068.050331149878,,URXDAMPUPROUAR-UHFFFAOYSA-N__PKZDQGPFJAPIPR-VIFPVBQESA-N
,-2599.469759947909,,,determine_bonds_failed,MJPBZHBYHLFYTK-OIBJUYFYSA-N__YZFPDESEFZSBIN-UHFFFAOYSA-N
,-2599.469578563899,,,determine_bonds_failed,YZFPDESEFZSBIN-UHFFFAOYSA-N__MJPBZHBYHLFYTK-OIBJUYFYSA-N
69.823,-2228.860620471068,-1665.236238785542,-563.513111011939,,GKPIHXHNFKRSOF-UHFFFAOYSA-N__MBZTVURKPZVRMZ-UHFFFAOYSA-N
70.232,-2228.858137146884,-562.314689026258,-1666.431526578249,,MBZTVURKPZVRMZ-UHFFFAOYSA-N__GKPIHXHNFKRSOF-UHFFFAOYSA-N
60.947,-3307.525999962729,-1622.875335528347,-1684.553538942568,,GRKAJSJOYPGHSR-UHFFFAOYSA-N__GYYKOLBKCQIDER-CYBMUJFWSA-N
52.972,-3307.508504875691,-1683.344528407766,-1624.079560780534,,GYYKOLBKCQIDER-CYBMUJFWSA-N__GRKAJSJOYPGHSR-UHFFFAOYSA-N
51.449,-2147.004934375922,-1191.924814408334,-954.998130556827,,WDQSRSQCLVJPJE-ZDUSSCGKSA-N__WXLGEVZTYVIBOR-HNNXBMFYSA-N
55.899,-2147.007415628733,-1077.384326312999,-1069.534007805654,,WXLGEVZTYVIBOR-HNNXBMFYSA-N__WDQSRSQCLVJPJE-ZDUSSCGKSA-N
45.586,-2590.271550333315,-1485.492309419723,-1104.706595690237,,SZFYZPZXSLGKAQ-UHFFFAOYSA-N__JKAJIBQVWRIXMP-BYPYZUCNSA-N
57.539,-2590.2698547902946,-1103.490124390065,-1486.688036602581,,JKAJIBQVWRIXMP-BYPYZUCNSA-N__SZFYZPZXSLGKAQ-UHFFFAOYSA-N
57.277,-2062.206495080303,-1401.756491392003,-660.358726897072,,WALCBIPJEKETRJ-UHFFFAOYSA-N__YQKGZMMVQHJODE-UHFFFAOYSA-N
60.781,-2154.52635587671,-641.693487583643,-1512.736007524283,,NQRVBNROMMQDIP-UHFFFAOYSA-N__RLPYQTKDIQXSCY-UHFFFAOYSA-N
52.349,-2062.219940127947,-659.155966158225,-1402.980550333408,,YQKGZMMVQHJODE-UHFFFAOYSA-N__WALCBIPJEKETRJ-UHFFFAOYSA-N
57.905,-2154.521276707336,-1511.535004117504,-642.893994757982,,RLPYQTKDIQXSCY-UHFFFAOYSA-N__NQRVBNROMMQDIP-UHFFFAOYSA-N
66.072,-1261.483185008442,-383.215945304772,-878.161947224722,,WVHJBVPYIIBODU-UHFFFAOYSA-N__RSSXUFPRJLLCMA-CTIUBKRGSA-N
68.668,-1261.478037794515,-876.953839315211,-384.414769433171,,RSSXUFPRJLLCMA-CTIUBKRGSA-N__WVHJBVPYIIBODU-UHFFFAOYSA-N
50.154,-3001.030462243612,-2300.086473599387,-700.864063552836,,OEBOOUXAGSLQTO-UHFFFAOYSA-N__YLMWBKXCLQQFDU-UHFFFAOYSA-N
51.517,-3001.0263628651237,-699.660530271443,-2301.283735606189,,YLMWBKXCLQQFDU-UHFFFAOYSA-N__OEBOOUXAGSLQTO-UHFFFAOYSA-N
73.995,-2630.171803221467,-856.509964384794,-1773.543920984645,,ABYCPGYHUTUAIB-UHFFFAOYSA-N__LKAISGMGRTWEDW-UHFFFAOYSA-N
47.845,-2590.823232418569,-1712.945760193729,-877.801227065089,,NLIJZZRWKCPRIL-YOEHRIQHSA-N__NTSPWZVDGPXLPU-UHFFFAOYSA-N
52.944,-2675.1434020117895,-1674.629060762718,-1000.429969364418,,KIEJSMYXBUUVIV-AHRSYUTCSA-N__SNTHQAQUASHYPC-UHFFFAOYSA-N
92.366,-2630.1756417873653,-1772.3025326901,-857.72591449849,,LKAISGMGRTWEDW-UHFFFAOYSA-N__ABYCPGYHUTUAIB-UHFFFAOYSA-N
45.31,-2590.819018501115,-1827.487690453411,-763.259122143071,,NTSPWZVDGPXLPU-UHFFFAOYSA-N__NLIJZZRWKCPRIL-YOEHRIQHSA-N
53.826,-2675.145483487101,-999.228340767363,-1675.831365709562,,SNTHQAQUASHYPC-UHFFFAOYSA-N__KIEJSMYXBUUVIV-AHRSYUTCSA-N
47.941,-2418.434041508033,-857.066032503928,-1561.291610739758,,FCKTZCOVVQVDND-YUMQZZPRSA-N__LOQNPVGYGLLZBD-UHFFFAOYSA-N
51.589,-2418.4421109608897,-1560.091536336629,-858.268361605627,,LOQNPVGYGLLZBD-UHFFFAOYSA-N__FCKTZCOVVQVDND-YUMQZZPRSA-N
-33.866,-2309.8289667060567,-1419.437986044772,-890.444950227089,,QOOINMAYKYKAAU-UHFFFAOYSA-N__IHLAHPBZXZSPMX-VIFPVBQESA-N
70.652,-1457.8950127192938,-685.315396102906,-772.467024807865,,CEZHKNQRZJENDF-UHFFFAOYSA-N__KEMHNDXZGQABGU-UHFFFAOYSA-N
43.279,-1818.875707242215,-1588.259328630589,-230.547408599514,,VICRNLNIQVUYDG-UHFFFAOYSA-N__LSWWFTIBEPIETE-UHFFFAOYSA-N
-26.142,-2309.822466903629,-889.231381565054,-1420.632744665644,,IHLAHPBZXZSPMX-VIFPVBQESA-N__QOOINMAYKYKAAU-UHFFFAOYSA-N
73.77,-1457.8986043056868,-771.266074055493,-686.514970810159,,KEMHNDXZGQABGU-UHFFFAOYSA-N__CEZHKNQRZJENDF-UHFFFAOYSA-N
64.826,-1818.882729515095,-1473.713881660788,-345.065541384075,,LSWWFTIBEPIETE-UHFFFAOYSA-N__VICRNLNIQVUYDG-UHFFFAOYSA-N
50.331,-2318.691651312961,-1879.797344510249,-438.814099725209,,CKGYVFINIJOTKU-UHFFFAOYSA-N__YFWJYQZZYOHJPS-UHFFFAOYSA-N
59.513,-2318.705767966899,-437.609634194252,-1881.001293453423,,YFWJYQZZYOHJPS-UHFFFAOYSA-N__CKGYVFINIJOTKU-UHFFFAOYSA-N
56.382,-2564.20893480802,-1004.006527067804,-1560.112557841923,,VZCIZGRGJDPEGR-BHWOMJMDSA-N__CBINXMAOZUZXHV-UHFFFAOYSA-N
52.718,-1706.231438607984,-510.375067953154,-1195.772359222225,,DOMGDLGLPNNFSR-UHFFFAOYSA-N__XFRQCTRTZIMWEZ-UHFFFAOYSA-N
59.995,-1706.245376799141,-1194.576188896005,-511.573580080253,,XFRQCTRTZIMWEZ-UHFFFAOYSA-N__DOMGDLGLPNNFSR-UHFFFAOYSA-N
59.177,-2564.208700158819,-1558.915764335036,-1005.198630909305,,CBINXMAOZUZXHV-UHFFFAOYSA-N__VZCIZGRGJDPEGR-BHWOMJMDSA-N
49.292,-2230.587749724631,-1770.834854799423,-459.67434342042,,WWTGAXOPYHRLCU-PILWDZAYSA-N__YPCWFMYMKSRCAZ-CRCLSJGQSA-N
