reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.0310599175036055,4.219479071397569
aliph-carbo,2.5440717578499803,3.5888636599068438
aliph-hetero,2.5729901321774715,3.500388843700185
carbo-carbo,2.21687853821806,4.033249241467156
carbo-hetero,2.2003380054751305,4.2259770776694
hetero-hetero,2.158775441052553,4.631748004908742
