block,n_feats,MAE,RMSE,R2
2D_only,48,3.4309632832625763,4.549534225995866,0.4735101467454953
aldehydes_only,54,3.020553899972481,4.0847024583489056,0.5755984258767531
product_only,54,2.6987827741257884,3.680083511525597,0.6555140760551244
donor+acceptor,102,3.0310915195473926,4.093932045833745,0.5736783463199515
all_raw_blocks,140,2.286464144681575,3.154499305034797,0.74688551184134
all+interaction,150,2.2881237006705306,3.1568315980922166,0.7465110908378402
mordred_only,423,2.71664194226898,3.706639199636581,0.6505244788436684
all_raw_blocks+mordred,563,2.260958519300224,3.1271173249893978,0.7512606564282175
