bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
50.648,-2065.064039026779,-1015.567012233888,-1049.416313530055,,AMGARBILAAYTPY-UHFFFAOYSA-N__PNWRUDURUIFQGR-UHFFFAOYSA-N
37.58,-2424.271628125647,-1012.063818522424,-1412.147922032229,,IEBLVCALRBEILR-UHFFFAOYSA-N__JYEIEWGPWHBZAH-UHFFFAOYSA-N
55.325,-2415.752123862245,-1590.594551841989,-825.069406674224,,POLQAZNLJAFOGI-UHFFFAOYSA-N__HEYGELWPXMEPGC-UHFFFAOYSA-N
31.621,-2229.7220678906638,-820.901529923128,-1408.770146680364,,MJCNGMHJVUIHLI-UHFFFAOYSA-N__ASZFICZHYLHYOH-UHFFFAOYSA-N
59.503,-2065.0695470774467,-1048.180878230845,-1016.793844946286,,PNWRUDURUIFQGR-UHFFFAOYSA-N__AMGARBILAAYTPY-UHFFFAOYSA-N
37.235,-2424.2678061915667,-1410.927134296697,-1013.281333636691,,JYEIEWGPWHBZAH-UHFFFAOYSA-N__IEBLVCALRBEILR-UHFFFAOYSA-N
50.872,-2415.752109097535,-823.855003559332,-1591.816035794561,,HEYGELWPXMEPGC-UHFFFAOYSA-N__POLQAZNLJAFOGI-UHFFFAOYSA-N
55.902,-1682.6014024806802,-1150.629130570529,-531.883186629427,,RWTBGBVUFGAOQN-UHFFFAOYSA-N__MAOABMVKXVXKFA-UHFFFAOYSA-N
52.232,-1682.601063710486,-530.665167643699,-1151.852658327843,,MAOABMVKXVXKFA-UHFFFAOYSA-N__RWTBGBVUFGAOQN-UHFFFAOYSA-N
64.108,-2814.113837551151,-1723.319493654544,-1090.692181508855,,YCJFJWNMPXAQNV-UHFFFAOYSA-N__IJBQRFIZIPRSFN-UHFFFAOYSA-N
56.425,-2814.1126226248903,-1089.475613384855,-1724.547090963908,,IJBQRFIZIPRSFN-UHFFFAOYSA-N__YCJFJWNMPXAQNV-UHFFFAOYSA-N
