pid,grp,new_scaffold_split,label_stored,gxtb_stored,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode,error
explore_187867_140678,cross_explore_20260920,,,,0.1602125600262736,6.6740438371866135,1.0666174394375372,-0.9064048794112636,-6.51383127716034,,,cosmo,
explore_67986_59584,cross_explore_20260920,,,,-3.2840492828693693,2.6907472742943925,0.6899064144592076,-3.973955697328577,-5.974796557163762,,,cosmo,
explore_3650_16617,cross_explore_20260920,,,,6.631109774633391,11.284607104587565,5.228350015519475,1.4027597591139154,-4.653497329954172,,,cosmo,
explore_179617_143429,cross_explore_20260920,,,,-6.3185207788976125,-1.0849528979338587,-5.0814802365992255,-1.237040542298387,-5.233567880963754,,,cosmo,
explore_111230_133980,cross_explore_20260920,,,,-1.7965128991005312,4.369109037987539,2.4295824144862594,-4.226095313586791,-6.165621937088071,,,cosmo,
explore_161115_139642,cross_explore_20260920,,,,5.486517635203061,10.324757839011152,5.741442959851275,-0.2549253246482141,-4.838240203808091,,,cosmo,
explore_206519_123662,cross_explore_20260920,,,,5.363662462867168,10.116042216850229,3.4592417433071363,1.904420719560032,-4.75237975398306,,,cosmo,
explore_148169_180187,cross_explore_20260920,,,,-0.9514459872017212,4.0629501029964885,3.3808595049046595,-4.33230549210638,-5.014396090198209,,,cosmo,
explore_87050_189365,cross_explore_20260920,,,,-2.800772550146212,1.5465575485958982,-4.813462797825586,2.0126902476793744,-4.34733009874211,,,cosmo,
explore_7417_168932,cross_explore_20260920,,,,5.574332834627456,9.859547250140087,8.826922854340959,-3.2525900197135025,-4.285214415512631,,,cosmo,
explore_38795_186972,cross_explore_20260920,,,,-0.3769233365256917,4.448374966749561,1.2112137314884546,-1.5881370680141462,-4.825298303275252,,,cosmo,
explore_190639_4881,cross_explore_20260920,,,,3.0660255527048377,7.638958916550754,5.0971650572621074,-2.0311395045572698,-4.572933363845916,,,cosmo,
explore_66194_17756,cross_explore_20260920,,,,4.576488983118875,9.157901654271027,4.9130736214557365,-0.3365846383368618,-4.581412671152153,,,cosmo,
explore_89058_93353,cross_explore_20260920,,,,0.5118528443454115,6.41480097747918,2.510375954177084,-1.998523109831672,-5.902948133133768,,,cosmo,
explore_27449_1182,cross_explore_20260920,,,,4.940408493085309,10.208676943901931,6.925113803946205,-1.984705310860896,-5.268268450816622,,,cosmo,
explore_148112_116087,cross_explore_20260920,,,,-2.191254066418093,4.1612732126152325,-0.3592402677467514,-1.832013798671342,-6.352527279033327,,,cosmo,
explore_56826_135913,cross_explore_20260920,,,,1.445893575310391,6.882007777293607,0.7430551370674796,0.7028384382429114,-5.436114201983216,,,cosmo,
explore_84738_101798,cross_explore_20260920,,,,10.182918339211904,15.386475151743031,12.21014132618377,-2.027222986971866,-5.203556812531128,,,cosmo,
explore_216626_177788,cross_explore_20260920,,,,4.888869404929923,8.955367342340379,5.095709016827225,-0.2068396118973021,-4.066497937410456,,,cosmo,
explore_151407_209838,cross_explore_20260920,,,,1.1989324857186177,6.119701593237998,2.425294763429287,-1.2263622777106693,-4.920769107519381,,,cosmo,
explore_185589_152049,cross_explore_20260920,,,,-0.5673749222979129,4.447266683450709,2.7251681004429624,-3.292543022740875,-5.014641605748622,,,cosmo,
explore_193286_85896,cross_explore_20260920,,,,-4.632381350738537,0.5123122473342376,-4.112975617852495,-0.5194057328860424,-5.144693598072776,,,cosmo,
explore_127855_159347,cross_explore_20260920,,,,4.063684617183441,8.470916140392344,8.797277021167119,-4.733592403983678,-4.407231523208903,,,cosmo,
explore_82914_116028,cross_explore_20260920,,,,3.74702397097844,9.067111192302717,4.604104358290481,-0.857080387312041,-5.320087221324276,,,cosmo,
explore_93413_107301,cross_explore_20260920,,,,7.243256345828926,12.771429483011062,8.158734020036308,-0.9154776742073816,-5.528173137182136,,,cosmo,
explore_196450_16110,cross_explore_20260920,,,,6.080384557844871,10.825756144974845,5.2168808728504645,0.8635036849944067,-4.745371587129972,,,cosmo,
explore_117351_79022,cross_explore_20260920,,,,-2.337102222421459,2.4443623540130552,-1.0757486223168895,-1.261353600104569,-4.781464576434514,,,cosmo,
explore_56232_126226,cross_explore_20260920,,,,1.5682901037817976,6.538617768878852,1.9569963671402797,-0.3887062633584819,-4.970327665097054,,,cosmo,
explore_158909_131256,cross_explore_20260920,,,,8.776551732594832,13.003117546468248,7.299666693927202,1.4768850386676302,-4.226565813873416,,,cosmo,
explore_167998_74630,cross_explore_20260920,,,,-2.916615162752454,1.5115900118839762,-3.454226180468866,0.537611017716412,-4.42820517463643,,,cosmo,
explore_196625_72480,cross_explore_20260920,,,,1.9133761795295248,6.902999718688172,2.976598754421219,-1.063222574891694,-4.989623539158647,,,cosmo,
explore_50169_157731,cross_explore_20260920,,,,3.6646202272596216,8.146146140039528,2.4264783462126043,1.2381418810470173,-4.481525912779906,,,cosmo,
explore_18555_10721,cross_explore_20260920,,,,4.308909998541335,8.573607993182748,5.095783115809445,-0.7868731172681098,-4.264697994641413,,,cosmo,
