reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.465838808942403,4.640870929329785
aliph-carbo,3.165499898941669,4.753392433581158
aliph-hetero,3.273452083787283,4.565555150973955
carbo-carbo,2.8846355875116387,5.433623079547899
carbo-hetero,2.7463757228403933,5.2919778734315654
hetero-hetero,2.864200323693841,5.875818521462572
