id,dG_orca_kcal
NRZJMCLJHMQOJF-UHFFFAOYSA-N__CTNYCWIWBHELMQ-UHFFFAOYSA-N,-2.964544161676132
VTUJRUSQTNUDSZ-UHFFFAOYSA-N__XAERATIIOMWTFY-UHFFFAOYSA-N,-3.9271625333811184
OLDOSESIQZICCK-UHFFFAOYSA-N__HKQHBRVEVIOKCK-UHFFFAOYSA-N,-1.863836339216301
HKQHBRVEVIOKCK-UHFFFAOYSA-N__OLDOSESIQZICCK-UHFFFAOYSA-N,-1.080595613860268
AFNOWHJPGOBIMS-UHFFFAOYSA-N__NDFCGOALLYCWEI-UHFFFAOYSA-N,-1.2480703817419252
NDFCGOALLYCWEI-UHFFFAOYSA-N__AFNOWHJPGOBIMS-UHFFFAOYSA-N,-0.2783326344992111
DBDMHTXQWHVZHB-UHFFFAOYSA-N__PCHMMMCTVKNEGC-QFIPXVFZSA-N,-0.7651709620178145
IHUYETNQLCGWSV-UHFFFAOYSA-N__RDZXOFANRXUGCA-VKHMYHEASA-N,-1.7403231815246023
RDZXOFANRXUGCA-VKHMYHEASA-N__IHUYETNQLCGWSV-UHFFFAOYSA-N,3.1099028653022533
SXZUOGFGORGJDW-UHFFFAOYSA-N__YRTFLLAJRSQUPF-UHFFFAOYSA-N,-6.484153042313865
YRTFLLAJRSQUPF-UHFFFAOYSA-N__SXZUOGFGORGJDW-UHFFFAOYSA-N,-1.881911138664295
CABMLVCTMRFKHZ-UHFFFAOYSA-N__NRJXYEWBTXDJGH-UHFFFAOYSA-N,1.536848098321283
AOUWUXDUCLLPTB-UHFFFAOYSA-N__YFOXKGAEDFHNSR-UHFFFAOYSA-N,3.524816232770438
YFOXKGAEDFHNSR-UHFFFAOYSA-N__AOUWUXDUCLLPTB-UHFFFAOYSA-N,-0.2201541756581979
NRJXYEWBTXDJGH-UHFFFAOYSA-N__CABMLVCTMRFKHZ-UHFFFAOYSA-N,-0.0274391872732031
AYZKMGYYGJQKCF-UHFFFAOYSA-N__WFTFSGFLYZTCCC-UHFFFAOYSA-N,2.1675801368783114
