block,n_feats,MAE,RMSE,R2
2D_only,48,3.5209710360187234,5.215775107841806,0.3951078383101473
aldehydes_only,54,2.986890558414938,4.6604608859697585,0.5170546632100739
product_only,54,2.6996167199144923,4.389623844782024,0.5715552211174776
donor+acceptor,102,2.984159410456275,4.6553555572510295,0.518112174165676
all_raw_blocks,140,2.315551955230827,3.925489238668266,0.6573680764491769
all+interaction,140,2.315551955230827,3.925489238668266,0.6573680764491769
mordred_only,120,2.7797434626899657,4.430256178002729,0.5635867559043324
all_raw_blocks+mordred,260,2.2788708483003544,3.894351969916934,0.6627820819362966
