reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,2.3522850365283725,3.5518761089957884
aliph-carbo,2.580628837794667,3.72411310198107
aliph-hetero,2.641073160872437,3.536737538802161
carbo-carbo,2.1985396776201687,4.106347970137698
carbo-hetero,2.3152918351782366,4.606755543928752
hetero-hetero,2.225335455976351,4.725269572263214
