frac,n_pairs,n_rows,MAE,RMSE,R2,gxtb_MAE
0.25,7020,14034,1.8423697760122735,2.514625887549167,0.7645707456018266,3.718820786200577
0.5,14040,28063,1.7971791614450046,2.4657107377138185,0.7814328237168529,3.733598586780937
0.75,21061,42101,1.7699252762868614,2.435245166805062,0.7964031352285879,3.7404468046066284
1.0,28081,56136,1.7729500672927374,3.1906368868151755,0.6545087566293306,3.7479312774060696
