reaction_type,abs_err_ensemble,abs_err_gxtb
aliph-aliph,2.3167999277745075,3.7384431684154706
aliph-carbo,2.038054704146206,3.1754940136406975
aliph-hetero,2.133794574571698,3.1325027618288033
carbo-carbo,1.9088696481910352,3.6938121562935584
carbo-hetero,1.837429955071043,3.990858469078107
hetero-hetero,1.8005592574907703,4.3457534528134385
