reaction_type,abs_err_ensemble,abs_err_gxtb
aliph-aliph,2.528797591430135,3.981084873075982
aliph-carbo,2.207311303765568,3.4621399073399086
aliph-hetero,2.273783157589382,3.3931318979492358
carbo-carbo,2.106862310815976,4.139654712787996
carbo-hetero,1.97908709874482,4.377663574144724
hetero-hetero,1.9265715525618279,4.734539390922294
