index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704,-9.2,-9.04,-13.1
84514,[C-]#[N+]C1=CC(=CC(=C1)F)OC2=C(C=C(C=C2)C=O)F,123349988,-9.95,-9.83,1.62
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465,-10.79,-12.38,-2.55
93146,CN1C(=CC(=N1)C(=O)NCC=O)C2=CC3=C(N2)C=CC(C3)F,136472482,-10.47,-10.58,-4.53
94883,CONC1=C(C=C(C=C1)OCC=O)F,138699263,-13.85,-13.79,-5.6
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949,-9.19,-8.05,-0.5
96226,CC=CCN1C(=CC(=N1)C=O)C(F)(F)F,139674929,-12.1,-11.9,-1.92
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080,-13.41,-11.17,0.98
96596,C1=CC(=C(C(=C1OC(F)(F)F)C=O)OC(F)(F)F)OC(F)(F)F,139966058,-15.55,-15.24,0.37
96667,CC(=C)C(=O)OCC(C=O)C(=O)OC1=CC=C(C=C1)OC(F)(F)F,140027333,-12.92,-13.02,-10.35
97012,C1=CC=C(C(=C1)C=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,140201506,-12.06,-11.81,-2.99
102059,C=CCC(CC=C)(C=O)F,142907651,-9.65,-9.88,1.6
110738,COC1=C(C=CC(=C1)S(F)(F)(F)(F)F)C=O,146322672,-160.47,-161.03,-184.48
112387,C1=CC(=C(C=C1C=O)C(F)(F)F)N=[N+]=[N-],149738925,-8.85,-8.66,6.23
113106,C=C(COC1=CC=CC=C1C=O)CF,152544701,-6.67,-7.72,1.68
116246,C1CC(NC(C1N2C(C3=CC(=C(C=C3C2O)F)N4CC5C(C4)C5C=O)O)O)O,155212809,-2.09,-1.17,3.63
124338,C1CCN(C1)C2=NN=C(C=C2)NC(=O)C3=CC(=C(C(=C3)F)O)C=O,163229954,-10.9,-9.68,-5.71
126222,COC1=CC(=CC(=C1OC=C(F)F)OC)C=O,164932509,-7.43,-7.21,8.22
138777,CCOC(=O)/C=C/OC1=C(C=CC(=C1)C(F)(F)F)C=O,172392936,-9.8,-10.3,-0.61
140060,C1=C(C(=CO)C(=C(C1=CO)F)C=O)F,173437481,-1.53,-1.2,5.11
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693,-10.63,-9.82,2.28
142600,C[C@@H](C=O)NC(=O)CCC(=O)C1=CC=C(C=C1)F,174379190,-12.8,-14.52,-0.41
143685,CN1CCN(C1=O)C2=C(C=C(C=C2)N3C[C@@H](OC3C=O)CO)F,174485004,-14.64,-13.87,-5.93
146512,CSC1=C(C=C(C=C1)C(CBr)C=O)F,174661998,-12.7,-12.28,-5.07
148726,C1=CC(=C(C=C1C(F)(F)F)C=O)N=O,174873175,-24.3,-24.71,-20.28
149066,C1C(N(C2=C1C=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,174937158,-14.6,-14.68,-5.05
149752,C1=CC2=C(C=C1OC(F)(F)F)N=NN(C2C=O)CCCCBr,175073870,-11.5,-11.45,-8.37
152801,CC1CCC(N1C2=CC=C(C=C2)F)C=O,175609633,-10.89,-10.03,-1.05
153390,C1=CC(=C(C(=C1)OCC2=C(C=C(C=C2)Cl)F)F)C=O,175862936,-7.64,-7.19,1.63
162845,C/C=C(\C)/C[C@H](C)C=O,11228800,-9.88,-9.02,-0.74
163546,[2H]C1=C(SC(=C1)C=O)[2H],12198203,-10.47,-10.09,2.55
163666,COC1=CC(=C(C(=C1C=O)O)O)OC,12494699,1.94,2.28,13.84
163775,CC(=CCN1C=C(C2=CC=CC=C21)C=O)C,12689911,-5.75,-5.19,2.06
165349,C[C@H]1C[C@H]([C@@H]([C@H](C1)O)C=O)C,45083188,5.45,5.5,17.61
166389,C1C2C=CC1C3C2C=CC3CC=O,85157113,-17.09,-15.65,-7.42
166589,C1=CC(=C(C=C1C=O)N=[N+]=[N-])[N+](=O)[O-],86009304,-11.51,-11.36,-0.08
169564,C([C@H](C(=O)[C@H](C=O)O)O)O,129668275,-14.96,-14.8,-2.85
171140,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C(=C(C=C3C2)O)C=O)O,129824550,17.72,18.05,30.77
171657,C1=C(N=NC1=O)CCC=O,129871401,-14.48,-14.45,-6.26
174929,CC(C)(C)OC(=O)C(=C)C[C@@H](CC1=CC=CC=C1)C=O,135007208,-6.69,-5.5,0.32
175424,C1C2C=CC1C3[C@H]2C3(C=O)C4=CC=CC=C4,135038051,-5.16,-4.73,2.8
175604,C1=CC=C(C=C1)C(CC(=O)CC=O)C2=CC=CC=C2,135052732,-12.37,-11.53,-5.42
178021,COC(=O)C1=CC(=C(C(=C1)I)C=O)I,154707608,-8.37,-6.61,2.5
178423,COC(=O)/C(=C/C1=CC=CC=C1C=O)/CC=C,155933373,-8.57,-8.12,-0.69
178678,COC1=CC=C(C=C1)C/C(=N\O)/C=O,162405096,-11.87,-11.74,2.09
185701,CC1=CC(=C(N1C2=C(C=CC=C2F)F)C)C=O,28974630,-2.75,-2.79,12.01
186177,C1=CC(=CC=C1C=O)OCC(=O)NC2=CC(=CC(=C2)F)F,41880950,-8.76,-8.43,4.61
186833,C1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)F,43581616,-4.94,-4.87,9.55
189823,C1CC2CC1CN2C3=C(C=C(C=C3)C=O)F,61560891,-2.27,-2.0,10.8
190797,C1=CC(=C(C=C1[N+](=O)[O-])C=O)OC2=CC(=CC(=C2)F)F,62783939,-12.45,-12.31,-3.48
192274,CN1C(=NN=N1)SC2=C(C=C(C=C2)F)C=O,63802517,-8.31,-8.15,1.71
193923,C1=C(SC(=C1)C2=C(C=C(C=C2F)F)F)C=O,65656470,-10.27,-10.1,8.63
194079,CC(CC=O)(C1=CC(=CC(=C1)F)F)O,65986687,-13.11,-13.36,-5.75
194381,C1=CC(=C(C=C1Br)F)N2C=C(N=N2)C=O,66216219,-8.45,-8.11,3.22
194772,C1=CC(=NC(=C1)F)C2=CN=CC(=C2)C=O,71303550,-11.82,-11.56,3.95
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597,-7.78,-6.79,4.28
195465,C1=CC(=C(C=C1S(F)(F)(F)(F)F)C=O)Cl,73995187,-11.58,-11.37,3.4
