bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
55.025,-1816.359737129927,-887.888236154157,-928.383812505175,,ZOPCGIAGLDYKQL-UHFFFAOYSA-N__QSCOZLVSBNVCSD-UHFFFAOYSA-N
56.643,-1644.462051774015,-1035.315408382287,-609.0563772381,,NWNYQZLMYPFVHB-UHFFFAOYSA-N__CUIUBSWUFRYLSI-UHFFFAOYSA-N
60.864,-4642.831660607855,-3833.746298525723,-808.988368819967,,MEIQBVDXUMVDLL-UHFFFAOYSA-N__KIONBQPJVUNHHQ-UHFFFAOYSA-N
46.943,-1498.385353756622,-788.570792707707,-709.739752809782,,HTTODTBXBIXEAW-UHFFFAOYSA-N__JRRHWUIESCTAHZ-UHFFFAOYSA-N
62.39,-1498.3957525853411,-708.50851169926,-789.787816508944,,JRRHWUIESCTAHZ-UHFFFAOYSA-N__HTTODTBXBIXEAW-UHFFFAOYSA-N
46.55,-2118.098586943253,-951.70711944519,-1166.317285781919,,GALWJLPRTIKQGF-UHFFFAOYSA-N__MXWLKRSJJWPJHK-UHFFFAOYSA-N
39.093,-2880.657516924347,-1514.322824030397,-1366.272393915257,,VLSJEIIEWIUYQJ-UHFFFAOYSA-N__MCVQFZJMVFQPBV-UHFFFAOYSA-N
37.656,-2880.647816523012,-1365.041910290401,-1515.545897711192,,MCVQFZJMVFQPBV-UHFFFAOYSA-N__VLSJEIIEWIUYQJ-UHFFFAOYSA-N
51.404,-1501.5847977534659,-713.144950857575,-788.357929571959,,PRRIBNOYQPAWLA-UHFFFAOYSA-N__SQAQUJDPQSPLDX-UHFFFAOYSA-N
64.019,-1727.9088996662322,-978.766283253518,-749.040596424077,,UHYMTKYUCJFTRA-UHFFFAOYSA-N__XSAFKRYBVXJUBX-UHFFFAOYSA-N
60.275,-1727.903749413032,-747.817614074053,-979.990080646188,,XSAFKRYBVXJUBX-UHFFFAOYSA-N__UHYMTKYUCJFTRA-UHFFFAOYSA-N
56.153,-1501.587979385916,-787.124357154538,-714.374136032007,,SQAQUJDPQSPLDX-UHFFFAOYSA-N__PRRIBNOYQPAWLA-UHFFFAOYSA-N
59.313,-1457.871296483371,-594.210077590796,-863.566697102836,,NYHJTBZSBAKTSQ-UHFFFAOYSA-N__JUSKKYUAYYKQIP-UHFFFAOYSA-N
64.117,-1457.86864800737,-862.34115030244,-595.425321510006,,JUSKKYUAYYKQIP-UHFFFAOYSA-N__NYHJTBZSBAKTSQ-UHFFFAOYSA-N
63.892,-2287.328658653662,-1085.396244786854,-1201.830595513809,,BPEQXLHOXOBBNK-UHFFFAOYSA-N__XAKZNWYGVVGGLO-UHFFFAOYSA-N
55.457,-1318.131035383007,-471.691100677897,-846.35155791756,,FYDLRGFOAYUXIT-UHFFFAOYSA-N__YZDVVPBMNBUZHP-UHFFFAOYSA-N
53.767,-1318.130278314602,-845.131649333456,-472.912945960775,,YZDVVPBMNBUZHP-UHFFFAOYSA-N__FYDLRGFOAYUXIT-UHFFFAOYSA-N
52.13,-2287.3097574373455,-1200.602891079374,-1086.623791490617,,XAKZNWYGVVGGLO-UHFFFAOYSA-N__BPEQXLHOXOBBNK-UHFFFAOYSA-N
53.758,-5036.9487581064495,-3844.390119999824,-1192.472968560451,,ZADKKWNFEVMXDN-UHFFFAOYSA-N__RLFFPFSMIFTMJN-UHFFFAOYSA-N
33.042,-5036.947245926645,-1191.279196043718,-3845.615394712685,,RLFFPFSMIFTMJN-UHFFFAOYSA-N__ZADKKWNFEVMXDN-UHFFFAOYSA-N
53.177,-3503.315628893914,-1228.497445708651,-2274.73344093467,,AQIRTRONRLCHRX-UHFFFAOYSA-N__SDFZQJHKHJELNX-UHFFFAOYSA-N
51.056,-3503.316017227793,-2273.515896529858,-1229.718757093209,,SDFZQJHKHJELNX-UHFFFAOYSA-N__AQIRTRONRLCHRX-UHFFFAOYSA-N
42.307,-4213.385340395677,-945.198953290841,-3268.118967198579,,MNEKYQWCVNFLJU-UHFFFAOYSA-N__KLJXWTFJUYMQLU-UHFFFAOYSA-N
45.807,-4213.390436648828,-3266.901443294291,-946.415995884652,,KLJXWTFJUYMQLU-UHFFFAOYSA-N__MNEKYQWCVNFLJU-UHFFFAOYSA-N
54.006,-4688.430001132135,-1177.768415676162,-3510.575522010036,,MUSHRAARNNSPJN-UHFFFAOYSA-N__WQNQZJJVMXSXKL-UHFFFAOYSA-N
