bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
49.015,-1615.944160959013,-845.922822361696,-769.94322774076,,DWXGUOMQUHSDLF-UHFFFAOYSA-N__NIOWRCGXQAEWDN-UHFFFAOYSA-N
66.886,-2151.737763151717,-997.338371140346,-1154.292802656205,,BVYXAQJLBPBQLO-UHFFFAOYSA-N__WKNODICYADPXLC-UHFFFAOYSA-N
45.178,-1615.950270500311,-768.724400576001,-847.153874921675,,NIOWRCGXQAEWDN-UHFFFAOYSA-N__DWXGUOMQUHSDLF-UHFFFAOYSA-N
44.447,-2151.728916794457,-1153.084424530825,-998.573661033682,,WKNODICYADPXLC-UHFFFAOYSA-N__BVYXAQJLBPBQLO-UHFFFAOYSA-N
53.869,-1996.459848303185,-885.42183725076,-1110.952165859104,,VGRYYMOLGMWMAF-UHFFFAOYSA-N__SNIWNLFDJGGGQL-UHFFFAOYSA-N
49.754,-1996.46131707124,-1109.736827514789,-886.645200748157,,SNIWNLFDJGGGQL-UHFFFAOYSA-N__VGRYYMOLGMWMAF-UHFFFAOYSA-N
46.888,-2399.193227894518,-1586.282559808183,-812.835947355148,,KDPYDAXIVQQARI-UHFFFAOYSA-N__QDIXJHWFQHBTST-UHFFFAOYSA-N
45.225,-2399.198124646913,-811.608442898661,-1587.517611462895,,QDIXJHWFQHBTST-UHFFFAOYSA-N__KDPYDAXIVQQARI-UHFFFAOYSA-N
45.416,-3046.131473784895,-1919.134320570402,-1126.924777626386,,XGLPUDDKNSKCMC-UHFFFAOYSA-N__VYVXBGZSFNXCSP-UHFFFAOYSA-N
46.406,-1603.835990355462,-921.540341558982,-682.221695333566,,DQRSECXFNMOHGC-SECBINFHSA-N__DLXWGLICLICZTB-UHFFFAOYSA-N
52.844,-1645.107587930478,-952.729574573852,-692.293800489765,,PLCYUPMUDLMMAD-UHFFFAOYSA-N__QHNBBYXZVUPWSU-UHFFFAOYSA-N
46.673,-1645.0938374586049,-691.072406780996,-953.947052051628,,QHNBBYXZVUPWSU-UHFFFAOYSA-N__PLCYUPMUDLMMAD-UHFFFAOYSA-N
38.451,-3046.128123775299,-1125.705348930753,-1920.36149928165,,VYVXBGZSFNXCSP-UHFFFAOYSA-N__XGLPUDDKNSKCMC-UHFFFAOYSA-N
54.208,-4243.687720042831,-746.654796431892,-3496.94653801294,,MOEPIZIRZACNQW-UHFFFAOYSA-N__FOJGGXDQSOIVIH-UHFFFAOYSA-N
64.249,-4243.688098275134,-3495.714725094483,-747.870985150157,,FOJGGXDQSOIVIH-UHFFFAOYSA-N__MOEPIZIRZACNQW-UHFFFAOYSA-N
49.008,-2001.24681017915,-940.224301348038,-1060.944409726778,,BTTYPOJVOCMDBX-UHFFFAOYSA-N__DQRHKSYNNVGRCA-UHFFFAOYSA-N
43.083,-2001.242863502094,-1059.722288274707,-941.45191843954,,DQRHKSYNNVGRCA-UHFFFAOYSA-N__BTTYPOJVOCMDBX-UHFFFAOYSA-N
57.619,-1906.5139944154992,-972.843106004673,-933.579066946024,,HMWGAKWEOSHCBI-UHFFFAOYSA-N__MMIZMSFHNPSCOY-UHFFFAOYSA-N
54.577,-1906.511784944739,-932.35727237582,-974.067538677893,,MMIZMSFHNPSCOY-UHFFFAOYSA-N__HMWGAKWEOSHCBI-UHFFFAOYSA-N
38.689,-2128.688098226862,-1360.895852720537,-767.730590159487,,LWZNLVJBUZBWID-UHFFFAOYSA-N__SCJMBSNRKUHOFX-UHFFFAOYSA-N
48.265,-2128.6882715311062,-766.500428849856,-1362.110927591484,,SCJMBSNRKUHOFX-UHFFFAOYSA-N__LWZNLVJBUZBWID-UHFFFAOYSA-N
,-1613.710378442243,,,determine_bonds_failed,NPUKLAFNOPNIEO-UHFFFAOYSA-N__IMROVCLQVRIPAB-UHFFFAOYSA-N
,-1613.7167827811559,,,determine_bonds_failed,IMROVCLQVRIPAB-UHFFFAOYSA-N__NPUKLAFNOPNIEO-UHFFFAOYSA-N
49.73,-1464.1195838571118,-752.663428412581,-711.376906086339,,LJHQEWFDEYLZNS-UHFFFAOYSA-N__PBVJPCAKQHDQJZ-UHFFFAOYSA-N
