name,SMILES,molecular_formula,MW,InChIKey,PubChem_CID,cho_class,xtb_risk
3-[[2-[2-[(2-amino-5-fluoro-1-methanimidoyl-4-pyridinylidene)amino]ethyl]-2-azaspiro[3.3]heptan-6-yl]methyl]-6-chloro-2-[(Z)-2-(dimethylamino)ethenyl]benzaldehyde,CN(C)/C=C\C1=C(C=CC(=C1C=O)Cl)CC2CC3(C2)CN(C3)CCN=C4C=C(N(C=C4F)C=N)N,C26H32ClFN6O,499.0,ATHNHEAQHHKOER-UEBKHKQMSA-N,172298972,aromatic_carbo,
3-[[3-[(3-ethynyl-5-formylphenyl)methoxy]phenyl]methyldisulfanyl]propanoic acid,C#CC1=CC(=CC(=C1)C=O)COC2=CC=CC(=C2)CSSCCC(=O)O,C20H18O4S2,386.5,XYCIIHXASAIZJX-UHFFFAOYSA-N,44472836,aromatic_carbo,
"7-chloro-2-(2-chloro-6-fluorocyclohexa-1,3-dien-1-yl)-2,3-dihydro-1H-benzimidazole-5-carbaldehyde",C1C=CC(=C(C1F)C2NC3=C(N2)C(=CC(=C3)C=O)Cl)Cl,C14H11Cl2FN2O,313.2,IFUQTYUDFHOPBG-UHFFFAOYSA-N,123517264,aromatic_carbo,
"5-[2-tri(propan-2-yl)silylethynyl]-1,3-benzodioxole-4-carbaldehyde",CC(C)[Si](C#CC1=C(C2=C(C=C1)OCO2)C=O)(C(C)C)C(C)C,C19H26O3Si,330.5,LOKNTUNIFPQSAR-UHFFFAOYSA-N,134945844,aromatic_carbo,
"2-[[[(R)-[4-(1-cyclohexyl-1-hydroxypropyl)-2-fluoro-6-formylphenyl]-(2-hydroxyethoxy)methyl]-methylamino]methyl]-1,4-dihydropyrimidine-5-carbonitrile",CCC(C1CCCCC1)(C2=CC(=C(C(=C2)F)[C@H](N(C)CC3=NCC(=CN3)C#N)OCCO)C=O)O,C26H35FN4O4,486.6,LCHQJTVSDWHBDI-DCWQJPKNSA-N,137513316,aromatic_carbo,
"2-hydroxy-5,11-dihydroindolo[3,2-b]carbazole-6-carbaldehyde",C1=CC=C2C(=C1)C3=C(N2)C=C4C5=C(C=CC(=C5)O)NC4=C3C=O,C19H12N2O2,300.3,HGKLUBYTXRQWNO-UHFFFAOYSA-N,11324039,aromatic_carbo,
[5-(3-cyano-4-fluorophenoxy)-6-fluoro-4-formylindol-1-yl] thiohypoiodite,C1=CC(=C(C=C1OC2=C(C=C3C(=C2C=O)C=CN3SI)F)C#N)F,C16H7F2IN2O2S,456.2,ZDCZTWMGDOJNMY-UHFFFAOYSA-N,171076968,aromatic_carbo,
"6-[(1S,3S,4R,6R)-3-(fluoromethyl)-6-[[5-(trifluoromethyl)-2-pyridinyl]oxy]-2-azabicyclo[2.2.2]octan-2-yl]-3-methyl-2-(1,3-oxazol-2-yl)benzaldehyde",CC1=C(C(=C(C=C1)N2[C@H]3CC[C@@H]([C@H]2CF)C[C@H]3OC4=NC=C(C=C4)C(F)(F)F)C=O)C5=NC=CO5,C25H23F4N3O3,489.5,JVVVVXPHYIMXLH-CGRMTHRGSA-N,126735278,aromatic_carbo,
"4-[4-[2-(3,4-difluorophenyl)-2,3-dihydroimidazo[1,2-a]pyridin-3-yl]-2-pyridinyl]benzaldehyde",C1=CC2=NC(C(N2C=C1)C3=CC(=NC=C3)C4=CC=C(C=C4)C=O)C5=CC(=C(C=C5)F)F,C25H17F2N3O,413.4,ZDYRWDBPDCBYIX-UHFFFAOYSA-N,142857914,aromatic_carbo,
"3-[(3-aminosulfanyl-2-fluorophenyl)methylamino]-2-[(4,6-dioxo-1,2,5-oxadiazepan-2-yl)methyl]benzaldehyde",C1C(=O)NC(=O)CON1CC2=C(C=CC=C2NCC3=C(C(=CC=C3)SN)F)C=O,C19H19FN4O4S,418.4,XQIGKYPJFMACQH-UHFFFAOYSA-N,145070716,aromatic_carbo,
"3,5-dibromo-2-prop-2-enoxybenzaldehyde",C=CCOC1=C(C=C(C=C1Br)Br)C=O,C10H8Br2O2,319.98,QIQJQIHIQXHUEL-UHFFFAOYSA-N,4767039,aromatic_carbo,
"2-[1-(cyclopropylmethyl)-4-ethenyl-5-(1-hydroxyethenyl)pyrrol-2-yl]-6-[2-[3-fluoropropyl(methyl)amino]ethyl]-1-methyl-2,3-dihydrobenzimidazole-5-carbaldehyde",CN1C(NC2=C1C=C(C(=C2)C=O)CCN(C)CCCF)C3=CC(=C(N3CC4CC4)C(=C)O)C=C,C27H35FN4O2,466.6,PBCJGXGKPFLQLZ-UHFFFAOYSA-N,170604001,aromatic_carbo,
"4-[2-[5-(4-butyl-2,6-difluorophenyl)thieno[3,2-b]thiophen-2-yl]ethynyl]-2,6-difluorobenzaldehyde",CCCCC1=CC(=C(C(=C1)F)C2=CC3=C(S2)C=C(S3)C#CC4=CC(=C(C(=C4)F)C=O)F)F,C25H16F4OS2,472.5,MYRRYYRGPQYGCC-UHFFFAOYSA-N,156483537,aromatic_carbo,
"3-hydroxy-6-methoxy-8,8-dimethyl-1-oxo-3,4,7,9-tetrahydrocyclopenta[h]isochromene-5-carbaldehyde",CC1(CC2=C3C(=C(C(=C2C1)OC)C=O)CC(OC3=O)O)C,C16H18O5,290.31,PMLIQJUDZQZWIQ-UHFFFAOYSA-N,25147702,aromatic_carbo,
"(11S)-10-(2,2-dimethylbut-3-enyl)-11-methyl-2-sulfanylidene-1,3,10-triazatricyclo[6.4.1.04,13]trideca-4(13),5,7-triene-7-carbaldehyde",C[C@H]1CN2C3=C(C=CC(=C3CN1CC(C)(C)C=C)C=O)NC2=S,C18H23N3OS,329.5,OHGWAZTVVGEHKB-LBPRGKRZSA-N,3006156,aromatic_carbo,
"2-[C-ethenyl-N-[1-fluoro-3-(4-methyl-1,2,4-triazol-3-yl)but-3-enyl]carbonimidoyl]-7-methoxy-1,3-benzoxazole-5-carbaldehyde",CN1C=NN=C1C(=C)CC(N=C(C=C)C2=NC3=C(O2)C(=CC(=C3)C=O)OC)F,C19H18FN5O3,383.4,AHKAUYDZRQUBPW-UHFFFAOYSA-N,174031203,aromatic_carbo,
"N-[4-[2,2-difluoro-1-(2-hydroxyhydrazinyl)ethylidene]cyclohexa-1,5-dien-1-yl]-3-formyl-2,4-dimethylbenzenesulfonamide",CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CCC(=C(C(F)F)NNO)C=C2)C)C=O,C17H19F2N3O4S,399.4,TUTVWLUDKUFWLL-UHFFFAOYSA-N,91365932,aromatic_carbo,
N-[3-(benzotriazol-1-yl)propyl]-2-formylbenzamide,C1=CC=C(C(=C1)C=O)C(=O)NCCCN2C3=CC=CC=C3N=N2,C17H16N4O2,308.33,SFHMVMJOPDDMNQ-UHFFFAOYSA-N,118838544,aromatic_carbo,
"4-[2-(3-oxo-1lambda3,2-benziodoxol-1-yl)ethynyl]benzaldehyde",C1=CC=C2C(=C1)C(=O)OI2C#CC3=CC=C(C=C3)C=O,C16H9IO3,376.14,YDPXEPZYCKTFBQ-UHFFFAOYSA-N,138967360,aromatic_carbo,
"3-(2,4-dimethyl-5-nitrophenoxy)-5-fluorobenzaldehyde",CC1=CC(=C(C=C1[N+](=O)[O-])OC2=CC(=CC(=C2)C=O)F)C,C15H12FNO4,289.26,FNQRDMHONRITQM-UHFFFAOYSA-N,105599788,aromatic_carbo,nitro
