SMILES,PubChem_CID,cluster
C1CC(C2C1CN(C2)C3=C(C=C(C=C3)C=O)F)O,113399282,339
CSCC[C@@H](C=O)NC(=O)OCC1=CC=CC=C1,14264580,340
CC1C[C@H](CCN1C2=C(C=C(C=C2)C(F)(F)F)C=O)OC3=NC=C(C=C3)C(F)(F)F,88913204,341
COC1=CC=CN2C1=NC(=C2C=O)C(F)(F)F,115405111,342
COC1=CC=CC(=C1OP(=O)(O)O)C=O,5287488,343
C1=CC(=C(C(=C1)I)OC(F)F)CCC=O,134621114,344
C1=NN=C(N1C(F)(F)F)C=O,112711985,345
C1=CN2C(=NN=C2C=O)C=C1F,105432546,346
CCCCC1=C(C=CO1)C=O,101851597,347
C1=CC(=NN=C1N2C(=C(C(=N2)C(F)F)C=O)Cl)Cl,55127381,348
CN1C=CC(=N1)C2=C(C=CC(=C2)F)C=O,108257785,349
C1=C(C=C(C(=C1/C=C/C(=O)O)OC(F)F)C=O)C#N,171030864,350
C1=CC(=C(C(=C1C(F)(F)F)C=O)C(F)(F)F)C(F)(F)F,88059112,351
CC(C)(C=O)C1=C(C=C(C=C1)Br)F,58762561,352
C=CN1C=C(C2=CC=CC=C21)C=O,11332726,353
COC1=CC=C(C=C1)COC2=CN(C(=CC2=O)C=O)OC,15159535,354
CCCCOC1=C(C=CC(=C1)C=O)F,86812088,355
C1=CC(=C(C=C1C2=C(C(=C(C(=C2F)F)F)F)F)C=O)F,134627723,356
CC1CS(=O)(=O)CCN1C2=C(C=C(C=C2F)C=O)F,102884290,357
CN1CCC(CC1)C2CC2CCOC3=CC(=C(C=C3)CC=O)F,129309992,358
C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)I)C=O,2198598,359
CC1CS(=O)(=O)CCN1C2=CC(=C(C=C2)C=O)C(F)(F)F,102884297,360
CSC1=C(C=C(C=C1)C=O)F,11275257,361
C1=CC(=C(C=C1C=O)OCC(F)(F)F)[N+](=O)[O-],62114321,362
C1=CC(=C(C(=C1Cl)C2=C(C=C(C(=C2)Cl)C=O)F)Cl)Cl,134620357,363
C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153,364
CC1CS(=O)(=O)CCN1C2=C(C=CC=C2F)C=O,108318713,365
CCC1=C(C=CC(=C1)O)C=O,45082911,366
COC1=C2C(=CC(=C1)F)C=C(N2CC3CC3)C=O,170344166,367
C1CN(CCN1C2=CC=C(C=C2)F)C(CCl)C=O,174496566,368
CC(=O)C1=CC(=C(C=C1)C=O)OC(F)(F)F,88873809,369
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C4=C5C=CC=CC5=C(C6=CC=CC=C64)C=O,14937941,370
CC(C[Se]C1=CC=CC=C1)(C=O)F,139265054,371
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,101453931,372
COC1=CC(=C(C=C1)C=O)OCCF,79035429,373
CCOC(=O)C1=C(C=C(N1CC(=O)C)C=O)F,177070455,374
C1=CC=C(C=C1)/C(=C(\CC=O)/C(F)(F)F)/C2=CC=C(C=C2)C(F)(F)F,177529363,375
CC1CCC(CC1)OC2=NCC(C=N2)C3=CC(=C(C=C3)C=O)F,123867802,376
CC1(CC1)C2=CC(=C(C=C2C=O)F)F,118117445,377
C1=CC(=C(C=C1SC(F)(F)F)CCC=O)S,118814333,378
C/C(=N\NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])/OCC=O,9577329,379
CN(C)/C(=N\C(CC=O)S/C(=C(\C=C)/C1=CC(=C(C=C1)F)C#N)/C=C)/N,145460676,380
CC(=O)N1CCN(CC1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,88947032,381
COC1=C(C(=C(C=C1)OC)OC)C=O,79675,382
CC=CCOC1=C(C=C(C=C1F)C=O)F,79892220,383
CC(CC=O)C1=C(C(=CC(=C1OC)Cl)F)F,117374867,384
C1CC1=CC2=CC=CC=C2C=O,13774884,385
CC1=NN=C2N1C=CC(=C2C(F)(F)F)C=O,87691369,386
CNC(=O)COC1=CC(=C2CC(CC2=C1F)C=O)F,156861991,387
COC1=C(C(=CC(=C1)C=O)F)S,129914001,388
CC1C=CCC(CN1C)N2C=C(C(=O)C(=C2C=O)O)C(=O)NCC3=C(C=C(C=C3)F)F,155155273,389
C1=CC(=CC=C1OC2=C(C=CC(=C2)C(F)(F)F)C=O)I,166001239,390
CC(C)C1=NC(=NC(=C1C=O)C2=CC=C(C=C2)F)CS,88261015,391
C1=CC(=C(C=C1C=O)OCC2=CC(=CC(=C2)F)F)[N+](=O)[O-],105403663,392
C1=CC2=C(C=C1C(F)(F)F)S(=O)(=O)C(=C2)CC=O,117195730,393
CC1(C(CC2C1(O2)C)CC=O)C,101418270,394
C1=CC(=C(C=C1F)C=O)C=CCS,169455019,395
COC1=CC(=CC(=C1O)OC)CC=O,13726059,396
COCCC(=O)N1C=C(C2=C1C=CC(=C2)F)C=O,58005989,397
COC1=CC=CC(C1)(C=O)OC,129721822,398
C1=CC(=CC(=C1)C=O)CCOC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,122476256,399
