SMILES,PubChem_CID,cluster
CC1=CC(=CC(C1)F)C2=CC(=NN2C3=CC(=NC=C3)C)C(=O)N(CC=O)CNC,145584955,81
C1=C(C(=C(C(=N1)I)I)C(F)F)C=O,118801756,82
CCN1C(=NN=N1)C=O,83872204,83
C1=CC(=CC=C1C2=CN=NC(=N2)C=O)C(F)(F)F,105509887,84
C1C=C(C=C[C@@H]1C=O)F,129173671,85
C1CCC(CC1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)N3C=CC(=CC3=O)F,163513431,86
CC1(CCC(C1C=O)(C)C)C,9793878,87
CCCC1=CC=C(C=C1)C2=CC(=C(C=C2)C3=CC(=C(C(=C3)F)C=O)F)F,59592414,88
C1=CC(=C(C=C1I)C=O)Cl,22115269,89
CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=CC(=C(C=C1F)F)F,165623007,90
C1=CC(=CC=C1C(CF)C=O)F,84765718,91
COCOC1=C(C=C(C=C1)C=O)OC,79661,92
C1=CC(=CC=C1C2=NN=C(C=C2)C=O)F,82282443,93
CNC1=CC(=NN2C1=NC=C2C(=O)N[C@@H]3C[C@@H]3F)C4=CC=C(C=C4)C5=NC=C(C=C5)C=O,168242896,94
C1CC(=C1)/C=C(/CC=O)\C(=O)C2=CC=CC=C2C(F)(F)F,162570789,95
C1C(C1C2=CC=CC(=C2)C=O)CF,115015118,96
C1=C(NC(=CC1=O)OC(F)(F)F)C=O,130093004,97
COC1=CC(=CC(=C1OC=C(F)F)OC)C=O,164932509,98
CSC1=C(C=CC(=C1C=O)F)F,177689197,99
CS(=O)C1=C(C2=CC=CC=C2N1)C=O,10655936,100
COC1=C(C=C(C=C1)C2=NN=C(C=C2)C=O)F,82289466,101
B(C1=CC(=C(C=C1)C=O)OC)(O)O,53216721,102
C1=CC(=C(C=C1F)Cl)C=O,145024,103
C1=C(C(=C(C(=C1Br)Br)Br)Br)C=O,20035273,104
COC(=O)/C(=C/C1=CC=C(O1)C=O)/F,167729167,105
CC(C)SC1=C(C=C(C=C1)C(C=O)F)Br,105526415,106
C([C@H]([C@@H]([C@H](C=O)O)O)O)S,87090529,107
C1=CC(=C2C=CN(C2=C1)CC3=C(C=CC=C3F)F)C=O,18973470,108
