reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,2.969005294636194,3.981084873075982
aliph-carbo,2.4873599408378047,3.4621399073399086
aliph-hetero,2.52246118079552,3.3931318979492358
carbo-carbo,2.354270467185884,4.139654712787996
carbo-hetero,2.2147185370715756,4.377663574144724
hetero-hetero,2.1542297109810926,4.734539390922294
