reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.3968529141174826,4.640870929329785
aliph-carbo,3.141739185419708,4.753392433581158
aliph-hetero,3.2206111834737907,4.565555150973955
carbo-carbo,2.8605253952423797,5.433623079547899
carbo-hetero,2.7378183300851275,5.2919778734315654
hetero-hetero,2.8345316316373825,5.875818521462572
