id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_orca_kcal,donor_G_xtb,donor_G_gxtb,donor_xtb_energy,donor_xtb_HOMO,donor_xtb_LUMO,donor_xtb_gap,donor_xtb_IP,donor_xtb_EA,donor_xtb_mu,donor_xtb_eta,donor_xtb_omega,donor_xtb_dipole,donor_mulliken_CHO_C,donor_mulliken_CHO_O,donor_fukui_plus_CHO_C,donor_fukui_minus_CHO_C,donor_fukui_0_CHO_C,donor_dual_descriptor_CHO_C,donor_wbo_CO,donor_pa_CHO_O,donor_vbur_CHO_C,donor_sterimol_L,donor_sterimol_B1,donor_sterimol_B5,donor_SASA_total,donor_P_int,donor_bde_gxtb_kcal,acceptor_G_xtb,acceptor_G_gxtb,acceptor_xtb_energy,acceptor_xtb_HOMO,acceptor_xtb_LUMO,acceptor_xtb_gap,acceptor_xtb_IP,acceptor_xtb_EA,acceptor_xtb_mu,acceptor_xtb_eta,acceptor_xtb_omega,acceptor_xtb_dipole,acceptor_mulliken_CHO_C,acceptor_mulliken_CHO_O,acceptor_fukui_plus_CHO_C,acceptor_fukui_minus_CHO_C,acceptor_fukui_0_CHO_C,acceptor_dual_descriptor_CHO_C,acceptor_wbo_CO,acceptor_pa_CHO_O,acceptor_vbur_CHO_C,acceptor_sterimol_L,acceptor_sterimol_B1,acceptor_sterimol_B5,acceptor_SASA_total,acceptor_P_int,acceptor_bde_gxtb_kcal,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,bde_gxtb_kcal,donor_MW,donor_LogP,donor_TPSA,donor_HBD,donor_HBA,donor_RotBonds,donor_ArRings,donor_ArHetRings,donor_AlRings,donor_Rings,donor_Heteroatoms,donor_FractionCSP3,donor_BertzCT,donor_Kappa2,donor_NumStereocenters,donor_n_CHO,acceptor_MW,acceptor_LogP,acceptor_TPSA,acceptor_HBD,acceptor_HBA,acceptor_RotBonds,acceptor_ArRings,acceptor_ArHetRings,acceptor_AlRings,acceptor_Rings,acceptor_Heteroatoms,acceptor_FractionCSP3,acceptor_BertzCT,acceptor_Kappa2,acceptor_NumStereocenters,acceptor_n_CHO,product_MW,product_LogP,product_TPSA,product_HBD,product_HBA,product_RotBonds,product_ArRings,product_ArHetRings,product_AlRings,product_Rings,product_Heteroatoms,product_FractionCSP3,product_BertzCT,product_Kappa2,product_NumStereocenters,product_n_CHO,interaction_gap_HOMOd_LUMOa,interaction_fukui_match,interaction_absdiff_xtb_gap,interaction_absdiff_xtb_dipole,interaction_absdiff_sterimol_L,interaction_absdiff_sterimol_B1,interaction_absdiff_sterimol_B5,interaction_absdiff_SASA_total,interaction_absdiff_MW,interaction_absdiff_TPSA
LKSDMUFQRPSOCZ-UHFFFAOYSA-N__HOEMIFLJMACYNB-UHFFFAOYSA-N,LKSDMUFQRPSOCZ-UHFFFAOYSA-N,HOEMIFLJMACYNB-UHFFFAOYSA-N,HOEMIFLJMACYNB-UHFFFAOYSA-N__LKSDMUFQRPSOCZ-UHFFFAOYSA-N,hetero-hetero,Nc1cc(F)c(F)cc1-c1cc(C=O)ccn1,O=Cc1ccc2ccn(Cc3cc(C(F)(F)F)ccc3C(F)(F)F)c2c1,Nc1cc(F)c(F)cc1-c1cc(C(=O)C(O)c2ccc3ccn(Cc4cc(C(F)(F)F)ccc4C(F)(F)F)c3c2)ccn1,-6.3986,5.8976,12.994634862754191,-49.018904524705,-846.445843529364,-49.120233468849,-10.2881,-8.6391,1.649,7.8536,1.2139,-4.53375,3.31985,3.095756,7.55,0.207003,-0.316732,0.039974,0.003897,0.021936,0.036077,1.893895,40.8,43.4035,8.9309,1.8153,7.4889,406.8489,18.6735,81.788,-79.395361417529,-1421.569000298431,-79.562090251467,-10.6241,-8.3869,2.2372,8.1908,1.2942,-4.7425,3.4483,3.261217,4.157,0.204182,-0.352668,0.026248,0.005709,0.015978,0.020539,1.841774,55.3191,43.7174,8.0597,1.7399,9.2474,539.537,19.4812,86.182,-128.73660147695,-10.2205,-8.5189,1.7016,7.2222,1.7266,-4.4744,2.7478,3.642961,4.342,0.214486,-0.359709,0.09743,-0.441884,0.314767,1.813,0.962909,1.003981,0.037242,0.002396,0.019819,0.034846,-0.002088,-0.001868,-0.001978,-0.00022,46.9613,67.2533,67.364,10.1124,2.1192,10.0849,666.2063,22.9694,2.0067,117.6126,1.4411,48.777,234.205,2.4215,55.98,1,3,2,2,1,0,2,5,0.0,584.713466,4.288212,0,1,371.28,5.5397,22.0,0,1,3,3,1,0,3,8,0.166667,967.952263,6.190695,0,1,605.485,7.5659,81.14,2,4,6,5,2,0,5,13,0.133333,1861.300725,10.806281,1,0,-1.9011999999999993,0.000102288456,0.5882000000000001,3.393,0.8712,0.07539999999999991,1.7585000000000006,132.68810000000002,137.07499999999996,33.98
NHNWAJHYQLFVNL-UHFFFAOYSA-N__PBUKDCFXXHVVDP-YOWRRBNZSA-N,NHNWAJHYQLFVNL-UHFFFAOYSA-N,PBUKDCFXXHVVDP-YOWRRBNZSA-N,NHNWAJHYQLFVNL-UHFFFAOYSA-N__PBUKDCFXXHVVDP-YOWRRBNZSA-N,carbo-hetero,Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1C=O,CC1(C)[C@@H](Br)CC[C@@]2(C)[C@H]1CC[C@@]1(C)Oc3cc(C=O)c(O)cc3C[C@@H]21,Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1C(=O)C(O)c1cc2c(cc1O)CC1C(C)(CCC3C(C)(C)C(Br)CCC13C)O2,-3.6028,5.6518,13.836527948066443,-74.186858504324,-1220.388557147334,-74.4186442042,-10.1233,-8.2333,1.89,7.2511,1.0962,-4.17365,3.07745,2.83016,3.555,0.19439,-0.389268,0.037863,0.00329,0.020577,0.034573,1.753997,54.1595,49.6908,7.4637,1.9634,12.0969,589.0815,20.1073,79.487,-77.874000689162,-3655.098266151168,-78.25296868192,-10.2493,-7.9871,2.2622,7.4427,0.6278,-4.03525,3.40745,2.389359,3.75,0.203162,-0.384218,0.04712,0.000619,0.02387,0.046501,1.764387,51.6359,45.6654,14.3627,2.652,5.6874,561.02,20.2196,86.653,-152.705076967119,-9.8534,-7.5783,2.2751,6.591,0.8251,-3.70805,2.88295,2.384647,5.164,0.215777,-0.351399,0.096835,-0.451094,0.330711,1.843673,0.898494,0.985631,0.038467,0.002416,0.020442,0.036051,5e-06,-0.000366,-0.00018,0.000371,67.1548,75.039,72.9652,7.0006,4.8076,14.3262,1010.8623,21.7092,2.989,84.7833,79.8774,28.092,361.38,3.87822,72.7,1,5,5,4,2,0,4,7,0.1,1138.387431,6.950874,0,1,421.375,5.5143,46.53,1,3,1,1,0,3,4,4,0.681818,757.99941,5.732564,5,1,782.755,8.99722,122.39,3,8,7,5,2,3,8,11,0.428571,2258.324821,12.902255,6,0,-2.1362000000000005,0.0001550248,0.3722000000000001,0.19499999999999984,6.899,0.6886000000000001,6.4094999999999995,28.061500000000024,59.995000000000005,26.17
YHQJPXRYRCCAEK-UHFFFAOYSA-N__MHTCBLZAFPXIDX-UHFFFAOYSA-N,YHQJPXRYRCCAEK-UHFFFAOYSA-N,MHTCBLZAFPXIDX-UHFFFAOYSA-N,MHTCBLZAFPXIDX-UHFFFAOYSA-N__YHQJPXRYRCCAEK-UHFFFAOYSA-N,carbo-hetero,O=Cc1ccc(-c2ccc(F)cc2)c([N+](=O)[O-])c1,CCCCCn1nnc(C=O)c1-c1ccc(C(F)(F)F)cc1,CCCCCn1nnc(C(O)C(=O)c2ccc(-c3ccc(F)cc3)c([N+](=O)[O-])c2)c1-c1ccc(C(F)(F)F)cc1,-10.3028,3.6592,5.124305933223523,-51.534955814108,-880.31222085865,-51.641850481747,-11.5112,-9.1584,2.3528,8.8101,1.8763,-5.3432,3.4669,4.11748,2.936,0.20674,-0.313844,0.024788,0.008217,0.016502,0.016571,1.888507,39.1972,43.3598,11.7034,2.4363,4.9634,422.837,18.8482,84.132,-67.097115035035,-1120.0656515273672,-67.304097208401,-11.0523,-8.257,2.7953,8.5678,0.9712,-4.7695,3.7983,2.994515,5.277,0.203594,-0.345266,0.039983,0.006702,0.023342,0.033281,1.85065,42.0062,45.3288,8.0636,1.951,8.8663,521.6673,18.8307,92.028,-118.99553376997,-10.8679,-9.2169,1.651,8.048,2.0791,-5.06355,2.98445,4.295522,3.745,0.2231,-0.342438,0.098052,-0.439183,0.32146,1.825306,0.957072,1.005258,0.023593,0.002613,0.013103,0.02098,-0.001924,0.001879,-2.2e-05,-0.003803,42.5867,65.8696,70.3142,10.1058,2.4329,10.0291,795.2251,20.8003,2.0564,115.8714,0.4685,,245.209,3.2134,60.21,0,3,3,2,0,0,2,5,0.0,608.133464,4.747342,0,1,311.307,3.9666,47.78,0,3,6,2,1,0,2,7,0.4,632.472496,6.720781,0,1,556.516,6.7847,111.15,1,6,10,4,1,0,4,12,0.25,1517.054228,11.74201,1,0,-3.254200000000001,0.000328540311,0.44250000000000034,2.341,3.639800000000001,0.48530000000000006,3.9029000000000007,98.83029999999997,66.09800000000001,12.43
WSXIBCRETBRQRW-UHFFFAOYSA-N__AQIRTRONRLCHRX-UHFFFAOYSA-N,WSXIBCRETBRQRW-UHFFFAOYSA-N,AQIRTRONRLCHRX-UHFFFAOYSA-N,AQIRTRONRLCHRX-UHFFFAOYSA-N__WSXIBCRETBRQRW-UHFFFAOYSA-N,hetero-hetero,N#Cc1cc2cc(C=O)ccc2o1,COCCn1c(Cl)c(C=O)c2cccc(F)c21,COCCn1c(Cl)c(C(O)C(=O)c2ccc3oc(C#N)cc3c2)c2cccc(F)c21,-6.7998,7.7668,7.853181080149803,-34.889252171501,-589.204849837333,-34.95170046475,-11.2575,-8.4394,2.8181,8.9959,1.1165,-5.0562,3.9397,3.244556,1.359,0.206744,-0.327372,0.032475,0.008254,0.020364,0.024221,1.873718,40.7184,43.6126,10.083,1.7005,4.3081,347.2097,17.8658,91.421,-51.513292088441,-1229.004100172268,-51.649091473267,-10.6873,-7.7075,2.9798,8.0247,0.3537,-4.1892,3.8355,2.287759,4.006,0.208494,-0.364177,0.037948,0.00306,0.020504,0.034888,1.804712,60.83,47.1941,7.8516,1.749,6.1904,414.9295,18.815,93.002,-86.641666729614,-10.5665,-8.4358,2.1307,7.6799,1.3814,-4.53065,3.14925,3.258996,0.891,0.215338,-0.36512,0.103535,-0.441172,0.317904,1.798991,0.955948,1.003734,0.035897,0.002489,0.019193,0.033408,-0.003973,-0.001451,-0.002712,-0.002522,44.758,71.193,70.2537,7.7512,1.8719,9.5782,632.0787,20.4997,1.9891,118.184,0.6228,54.602,171.155,2.11698,54.0,0,3,1,2,1,0,2,3,0.0,505.10937,2.757025,0,1,255.676,2.8927,31.23,0,2,4,2,1,0,2,5,0.25,565.121237,4.854835,0,1,426.831,4.61438,88.39,1,5,6,4,2,0,4,8,0.181818,1318.407061,7.918011,1,0,-3.5500000000000007,0.00031322279199999997,0.16170000000000018,2.6470000000000002,2.2314,0.04850000000000021,1.8823000000000008,67.71980000000002,84.52099999999999,22.77
AQIRTRONRLCHRX-UHFFFAOYSA-N__WSXIBCRETBRQRW-UHFFFAOYSA-N,AQIRTRONRLCHRX-UHFFFAOYSA-N,WSXIBCRETBRQRW-UHFFFAOYSA-N,AQIRTRONRLCHRX-UHFFFAOYSA-N__WSXIBCRETBRQRW-UHFFFAOYSA-N,hetero-hetero,COCCn1c(Cl)c(C=O)c2cccc(F)c21,N#Cc1cc2cc(C=O)ccc2o1,COCCn1c(Cl)c(C(=O)C(O)c2ccc3oc(C#N)cc3c2)c2cccc(F)c21,-8.9363,4.7412,5.833611343232156,-51.513292088441,-1229.004100172268,-51.649091473267,-10.6873,-7.7075,2.9798,8.0247,0.3537,-4.1892,3.8355,2.287759,4.006,0.208494,-0.364177,0.037948,0.00306,0.020504,0.034888,1.804712,60.83,47.1941,7.8516,1.749,6.1904,414.9295,18.815,93.002,-34.889252171501,-589.204849837333,-34.95170046475,-11.2575,-8.4394,2.8181,8.9959,1.1165,-5.0562,3.9397,3.244556,1.359,0.206744,-0.327372,0.032475,0.008254,0.020364,0.024221,1.873718,40.7184,43.6126,10.083,1.7005,4.3081,347.2097,17.8658,91.421,-86.645102674736,-10.9189,-8.001,2.9179,7.8269,1.2881,-4.5575,3.2694,3.176547,5.026,0.217138,-0.387373,0.094721,-0.439934,0.317493,1.752671,0.939709,1.01364,0.029518,0.003264,0.016391,0.026254,-0.003124,-0.000724,-0.001924,-0.0024,56.3458,71.6758,69.0394,6.5755,2.0562,9.5005,619.8388,20.6586,1.9876,118.3765,13.0849,56.217,255.676,2.8927,31.23,0,2,4,2,1,0,2,5,0.25,565.121237,4.854835,0,1,171.155,2.11698,54.0,0,3,1,2,1,0,2,3,0.0,505.10937,2.757025,0,1,426.831,4.61438,88.39,1,5,6,4,2,0,4,8,0.181818,1318.407061,7.918011,1,0,-2.2479000000000013,9.937349999999998e-05,0.16170000000000018,2.6470000000000002,2.2314,0.04850000000000021,1.8823000000000008,67.71980000000002,84.52099999999999,22.77
MHTCBLZAFPXIDX-UHFFFAOYSA-N__YHQJPXRYRCCAEK-UHFFFAOYSA-N,MHTCBLZAFPXIDX-UHFFFAOYSA-N,YHQJPXRYRCCAEK-UHFFFAOYSA-N,MHTCBLZAFPXIDX-UHFFFAOYSA-N__YHQJPXRYRCCAEK-UHFFFAOYSA-N,carbo-hetero,CCCCCn1nnc(C=O)c1-c1ccc(C(F)(F)F)cc1,O=Cc1ccc(-c2ccc(F)cc2)c([N+](=O)[O-])c1,CCCCCn1nnc(C(=O)C(O)c2ccc(-c3ccc(F)cc3)c([N+](=O)[O-])c2)c1-c1ccc(C(F)(F)F)cc1,-14.2276,3.666,2.0557898081775963,-67.097115035035,-1120.0656515273672,-67.304097208401,-11.0523,-8.257,2.7953,8.5678,0.9712,-4.7695,3.7983,2.994515,5.277,0.203594,-0.345266,0.039983,0.006702,0.023342,0.033281,1.85065,42.0062,45.3288,8.0636,1.951,8.8663,521.6673,18.8307,92.028,-51.534955814108,-880.31222085865,-51.641850481747,-11.5112,-9.1584,2.3528,8.8101,1.8763,-5.3432,3.4669,4.11748,2.936,0.20674,-0.313844,0.024788,0.008217,0.016502,0.016571,1.888507,39.1972,43.3598,11.7034,2.4363,4.9634,422.837,18.8482,84.132,-118.997300520358,-11.1376,-8.7632,2.3744,8.0265,2.013,-5.01975,3.00675,4.19022,10.358,0.212789,-0.373572,0.094618,-0.431398,0.317715,1.782152,0.94315,1.016689,0.029228,0.006238,0.017733,0.02299,-0.002731,0.003781,0.000525,-0.006512,40.8653,69.8699,65.7135,7.037,3.0001,10.7883,821.9447,20.3307,2.0531,116.6326,11.7644,,311.307,3.9666,47.78,0,3,6,2,1,0,2,7,0.4,632.472496,6.720781,0,1,245.209,3.2134,60.21,0,3,3,2,0,0,2,5,0.0,608.133464,4.747342,0,1,556.516,6.7847,111.15,1,6,10,4,1,0,4,12,0.25,1517.054228,11.74201,1,0,-1.8939000000000004,0.000166129176,0.44250000000000034,2.341,3.639800000000001,0.48530000000000006,3.9029000000000007,98.83029999999997,66.09800000000001,12.43
PBUKDCFXXHVVDP-YOWRRBNZSA-N__NHNWAJHYQLFVNL-UHFFFAOYSA-N,PBUKDCFXXHVVDP-YOWRRBNZSA-N,NHNWAJHYQLFVNL-UHFFFAOYSA-N,NHNWAJHYQLFVNL-UHFFFAOYSA-N__PBUKDCFXXHVVDP-YOWRRBNZSA-N,carbo-hetero,CC1(C)[C@@H](Br)CC[C@@]2(C)[C@H]1CC[C@@]1(C)Oc3cc(C=O)c(O)cc3C[C@@H]21,Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1C=O,Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1C(O)C(=O)c1cc2c(cc1O)CC1C(C)(CCC3C(C)(C)C(Br)CCC13C)O2,-1.8219,12.3217,10.895771035558166,-77.874000689162,-3655.098266151168,-78.25296868192,-10.2493,-7.9871,2.2622,7.4427,0.6278,-4.03525,3.40745,2.389359,3.75,0.203162,-0.384218,0.04712,0.000619,0.02387,0.046501,1.764387,51.6359,45.6654,14.3627,2.652,5.6874,561.02,20.2196,86.653,-74.186858504324,-1220.388557147334,-74.4186442042,-10.1233,-8.2333,1.89,7.2511,1.0962,-4.17365,3.07745,2.83016,3.555,0.19439,-0.389268,0.037863,0.00329,0.020577,0.034573,1.753997,54.1595,49.6908,7.4637,1.9634,12.0969,589.0815,20.1073,79.487,-152.704944024939,-9.6832,-8.2372,1.446,6.5598,1.2881,-3.92395,2.63585,2.920762,3.128,0.20304,-0.447856,0.105265,-0.430004,0.294382,1.640704,0.950793,0.99483,0.049601,0.00168,0.025641,0.047921,-0.001179,-0.001413,-0.001296,0.000234,53.0211,71.6467,71.0346,6.4084,5.0879,13.1594,1002.6721,21.711,3.8348,67.6279,159.2931,31.781,421.375,5.5143,46.53,1,3,1,1,0,3,4,4,0.681818,757.99941,5.732564,5,1,361.38,3.87822,72.7,1,5,5,4,2,0,4,7,0.1,1138.387431,6.950874,0,1,782.755,8.99722,122.39,3,8,7,5,2,3,8,11,0.428571,2258.324821,12.902255,6,0,-2.016,2.3437196999999998e-05,0.3722000000000001,0.19499999999999984,6.899,0.6886000000000001,6.4094999999999995,28.061500000000024,59.995000000000005,26.17
QDVZWHGBRKDZAJ-UHFFFAOYSA-N__RNTGKVWRJOXFMR-UHFFFAOYSA-N,QDVZWHGBRKDZAJ-UHFFFAOYSA-N,RNTGKVWRJOXFMR-UHFFFAOYSA-N,QDVZWHGBRKDZAJ-UHFFFAOYSA-N__RNTGKVWRJOXFMR-UHFFFAOYSA-N,hetero-hetero,O=Cc1c(I)cc(C(F)F)nc1F,O=Cc1cc(F)ccc1N1CCN(c2ccccn2)CC1,O=C(c1c(I)cc(C(F)F)nc1F)C(O)c1cc(F)ccc1N1CCN(c2ccccn2)CC1,-8.3371,13.5339,13.99457204299919,-41.459015627854,-995.789081169392,-41.486925985663,-11.5772,-9.5409,2.0363,9.3757,1.9485,-5.6621,3.7136,4.316482,1.999,0.214046,-0.277142,0.039756,0.007941,0.023849,0.031815,1.892091,23.3965,48.5656,8.1353,2.4041,5.0632,352.7689,18.9527,84.945,-59.772852000649,-958.431362524534,-59.987012192601,-9.8039,-7.962,1.8419,7.034,0.65,-3.842,3.192,2.312181,5.016,0.200118,-0.351657,0.039733,-0.002162,0.018786,0.041895,1.831295,60.7296,51.1607,6.747,2.2154,10.6746,485.5602,19.363,83.919,-101.522722472866,-10.1821,-8.7046,1.4775,7.4732,1.5325,-4.50285,2.97035,3.413008,5.062,0.199833,-0.437436,0.102489,-0.443506,0.322966,1.573648,0.937216,1.005976,0.015253,0.002627,0.00894,0.012626,-0.00151,0.00241,0.00045,-0.00392,54.4744,84.0576,71.2985,6.9607,2.883,10.5388,656.5094,21.8357,1.9112,120.1695,0.8996,34.87,301.005,2.5754,29.96,0,2,2,1,1,0,1,6,0.142857,319.504694,4.032329,0,1,285.322,2.3598,36.44,0,4,3,2,1,1,3,5,0.25,624.674145,5.91012,0,1,586.327,4.5399,69.56,1,6,6,3,2,1,4,11,0.26087,1167.837687,10.217984,1,0,-3.6151999999999997,0.00031551975299999997,0.19440000000000013,3.017,1.388300000000001,0.1887000000000003,5.6114,132.79130000000004,15.682999999999993,6.479999999999997
RNTGKVWRJOXFMR-UHFFFAOYSA-N__QDVZWHGBRKDZAJ-UHFFFAOYSA-N,RNTGKVWRJOXFMR-UHFFFAOYSA-N,QDVZWHGBRKDZAJ-UHFFFAOYSA-N,QDVZWHGBRKDZAJ-UHFFFAOYSA-N__RNTGKVWRJOXFMR-UHFFFAOYSA-N,hetero-hetero,O=Cc1cc(F)ccc1N1CCN(c2ccccn2)CC1,O=Cc1c(I)cc(C(F)F)nc1F,O=C(c1cc(F)ccc1N1CCN(c2ccccn2)CC1)C(O)c1c(I)cc(C(F)F)nc1F,-13.314,1.3336,4.162458267980432,-59.772852000649,-958.431362524534,-59.987012192601,-9.8039,-7.962,1.8419,7.034,0.65,-3.842,3.192,2.312181,5.016,0.200118,-0.351657,0.039733,-0.002162,0.018786,0.041895,1.831295,60.7296,51.1607,6.747,2.2154,10.6746,485.5602,19.363,83.919,-41.459015627854,-995.789081169392,-41.486925985663,-11.5772,-9.5409,2.0363,9.3757,1.9485,-5.6621,3.7136,4.316482,1.999,0.214046,-0.277142,0.039756,0.007941,0.023849,0.031815,1.892091,23.3965,48.5656,8.1353,2.4041,5.0632,352.7689,18.9527,84.945,-101.528445449093,-9.8909,-8.4732,1.4177,7.085,1.478,-4.2815,2.8035,3.269349,5.562,0.21913,-0.346658,0.104866,-0.421822,0.329661,1.821625,0.912088,1.019092,0.03802,-0.005888,0.016066,0.043908,-0.006285,-0.002057,-0.004171,-0.004228,49.9225,79.0166,76.8875,6.3849,2.9133,10.8818,667.5789,21.7256,2.0157,116.6317,3.8858,48.337,285.322,2.3598,36.44,0,4,3,2,1,1,3,5,0.25,624.674145,5.91012,0,1,301.005,2.5754,29.96,0,2,2,1,1,0,1,6,0.142857,319.504694,4.032329,0,1,586.327,4.5399,69.56,1,6,6,3,2,1,4,11,0.26087,1167.837687,10.217984,1,0,-0.2629999999999999,-8.595247199999999e-05,0.19440000000000013,3.017,1.388300000000001,0.1887000000000003,5.6114,132.79130000000004,15.682999999999993,6.479999999999997
NLOGCEUABHNOGR-UHFFFAOYSA-N__RNDLXPAVFHJQQP-UHFFFAOYSA-N,NLOGCEUABHNOGR-UHFFFAOYSA-N,RNDLXPAVFHJQQP-UHFFFAOYSA-N,NLOGCEUABHNOGR-UHFFFAOYSA-N__RNDLXPAVFHJQQP-UHFFFAOYSA-N,carbo-hetero,N#Cc1ccc(C=O)c(OS(=O)(=O)CF)c1,N#Cc1ncc(I)c(C(F)F)c1C=O,N#Cc1ccc(C(=O)C(O)c2c(C#N)ncc(I)c2C(F)F)c(OS(=O)(=O)CF)c1,-16.7988,5.7423,8.204935677957565,-49.362968299836,-1200.195217941411,-49.428197528522,-11.7182,-8.9311,2.7871,9.3225,1.4861,-5.4043,3.9182,3.727025,4.763,0.223097,-0.359757,0.040689,0.005226,0.022958,0.035463,1.852413,51.1212,55.9623,8.7586,1.9842,6.162,393.8364,18.94,88.415,-41.735139131062,-988.758844116092,-41.762683773511,-11.7135,-9.5157,2.1978,9.3416,2.0205,-5.68105,3.66055,4.408399,4.626,0.214118,-0.283397,0.032581,0.008241,0.020411,0.02434,1.924576,24.1171,54.1209,7.3142,2.1425,5.0471,364.6796,19.6369,76.68,-91.255157773432,-11.4235,-9.2192,2.2043,8.6786,2.3203,-5.49945,3.17915,4.75661,2.49,0.239501,-0.380808,0.104111,-0.422533,0.315272,1.807469,0.911197,1.00703,0.034272,0.009103,0.021687,0.025169,-0.002354,0.005825,0.001736,-0.008179,47.3643,82.6378,78.3673,5.8418,2.6082,7.5155,572.9175,22.4474,2.4163,104.4644,-51.8251,41.99,243.215,1.00638,84.23,0,5,4,1,0,0,1,7,0.111111,547.11768,4.720369,0,1,308.025,2.30798,53.75,0,3,2,1,1,0,1,6,0.125,414.537686,4.412593,0,1,551.24,2.91906,141.14,1,8,7,2,1,0,2,13,0.176471,1192.345629,9.375591,1,0,-2.202499999999999,0.00017026830599999997,0.5893000000000002,0.13699999999999957,1.4444,0.1583000000000001,1.1148999999999996,29.156800000000032,64.80999999999997,30.480000000000004
JBJBZOUBGMLWEA-UHFFFAOYSA-N__ACCZHYMSOGXQNP-UHFFFAOYSA-N,JBJBZOUBGMLWEA-UHFFFAOYSA-N,ACCZHYMSOGXQNP-UHFFFAOYSA-N,ACCZHYMSOGXQNP-UHFFFAOYSA-N__JBJBZOUBGMLWEA-UHFFFAOYSA-N,carbo-hetero,O=Cc1ccccc1OCC(=O)NC(Cc1cccc(F)c1)c1cccc(F)c1,O=Cc1cnc(F)c(-c2cccc(Cl)c2Cl)c1,O=C(COc1ccccc1C(=O)C(O)c1cnc(F)c(-c2cccc(Cl)c2Cl)c1)NC(Cc1cccc(F)c1)c1cccc(F)c1,-8.6839,4.16,5.689990378413875,-83.254836161705,-1367.789797748231,-83.521390384847,-10.8275,-8.2705,2.557,7.7754,0.9311,-4.35325,3.42215,2.768842,5.625,0.211042,-0.364892,0.040041,0.002616,0.021329,0.037425,1.813281,55.1493,51.1246,6.815,2.4783,9.5354,611.2508,20.6234,82.188,-49.478809616382,-1611.047870142125,-49.556416171217,-11.1586,-8.7121,2.4465,8.3517,1.2452,-4.79845,3.55325,3.240009,2.267,0.208012,-0.313919,0.040855,0.006226,0.023541,0.034629,1.888214,36.5253,43.2433,9.1314,2.0328,6.7515,423.4194,19.5471,88.679,-133.125573533073,-10.951,-8.3592,2.5918,7.5501,1.4458,-4.49795,3.05215,3.314312,3.903,0.228365,-0.375747,0.097701,-0.431481,0.317491,1.791044,0.950253,1.014164,0.040427,0.000505,0.020466,0.039922,-0.002837,-0.000475,-0.001656,-0.002362,54.494,80.6129,68.5613,6.5189,4.5638,10.118,845.2882,22.841,2.0388,116.8198,1.1199,43.68,395.405,4.2563,55.4,1,3,8,3,0,0,3,6,0.130435,1006.672937,9.593497,1,1,270.09,4.007,29.96,0,2,2,2,1,0,2,5,0.0,586.713466,4.816813,0,1,665.495,7.868,88.52,2,5,11,5,1,0,5,11,0.114286,1906.285727,14.597006,2,0,-2.115400000000001,0.00010687668,0.11050000000000004,3.358,2.316399999999999,0.4455,2.783899999999999,187.83140000000003,125.315,25.439999999999998
